,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,site_name,lat,lon
30,2023-06-03 20:00:00+00:00,0.04634401,0.04700000000000001,0.04641803,0.043669768,0.043912422,0.040748414,0.040840555,0.041027695,0.040193956,Five Points,39.751184,-104.987625
31,2023-06-03 21:00:00+00:00,0.044432215,0.048,0.04381984,0.043877013,0.041783918,0.04197564,0.039554354,0.03962335,0.039753985,Five Points,39.751184,-104.987625
32,2023-06-03 22:00:00+00:00,0.045294724,0.054,0.041996803,0.04152781,0.041571982,0.03987306,0.040025435,0.038107205,0.038159225,Five Points,39.751184,-104.987625
33,2023-06-03 23:00:00+00:00,0.050192878,0.054,0.04190243,0.03935054,0.03898209,0.039018493,0.03764226,0.03776636,0.036241744,Five Points,39.751184,-104.987625
34,2023-06-04 00:00:00+00:00,0.04917629,0.04900000000000001,0.045481015,0.03909789,0.03710914,0.036804765,0.03683438,0.035708513,0.03580975,Five Points,39.751184,-104.987625
35,2023-06-04 01:00:00+00:00,0.043752402,0.045,0.043930583,0.041126795,0.03623891,0.03461204,0.03436792,0.03439214,0.033468034,Five Points,39.751184,-104.987625
36,2023-06-04 02:00:00+00:00,0.03952393,0.041,0.03832187,0.03845733,0.036441192,0.032625306,0.03139041,0.031197598,0.031216882,Five Points,39.751184,-104.987625
37,2023-06-04 03:00:00+00:00,0.035845853,0.04,0.034464013,0.033546053,0.03364766,0.032070216,0.029117562,0.028140115,0.027985914,Five Points,39.751184,-104.987625
38,2023-06-04 04:00:00+00:00,0.035674013,0.042,0.031782735,0.030720254,0.030018704,0.030100178,0.028845865,0.026443144,0.02564819,Five Points,39.751184,-104.987625
39,2023-06-04 05:00:00+00:00,0.037646685,0.042,0.0316896,0.028637838,0.027812999,0.02724319,0.027308855,0.026280023,0.024296561,Five Points,39.751184,-104.987625
40,2023-06-04 06:00:00+00:00,0.03735356,0.041,0.033142902,0.028360238,0.025978493,0.02531234,0.02485776,0.024911,0.02406649,Five Points,39.751184,-104.987625
41,2023-06-04 07:00:00+00:00,0.035993863,0.04900000000000001,0.03246778,0.02900555,0.02519909,0.023271346,0.022745093,0.022380728,0.022423921,Five Points,39.751184,-104.987625
42,2023-06-04 08:00:00+00:00,0.04425984,0.038,0.031251356,0.028335907,0.025561877,0.022467231,0.02095473,0.02053771,0.02024653,Five Points,39.751184,-104.987625
43,2023-06-04 09:00:00+00:00,0.031583954,0.034,0.038095705,0.026828863,0.024487615,0.022221914,0.019804372,0.01861307,0.01828333,Five Points,39.751184,-104.987625
44,2023-06-04 10:00:00+00:00,0.028796785,0.034,0.026444837,0.03201019,0.022690415,0.02080612,0.019069256,0.017213231,0.016293844,Five Points,39.751184,-104.987625
45,2023-06-04 11:00:00+00:00,0.028954152,0.037,0.023951812,0.022103563,0.026523426,0.018932957,0.017526664,0.016226584,0.01483362,Five Points,39.751184,-104.987625
46,2023-06-04 12:00:00+00:00,0.03163699,0.034,0.023878193,0.02015726,0.018844562,0.022207616,0.016621314,0.015602919,0.014651153,Five Points,39.751184,-104.987625
47,2023-06-04 13:00:00+00:00,0.029473726,0.037,0.02726224,0.021671273,0.01914737,0.018209916,0.0205835,0.016548261,0.015799485,Five Points,39.751184,-104.987625
48,2023-06-04 14:00:00+00:00,0.034358714,0.036,0.027568804,0.02603056,0.022263383,0.02046698,0.019805532,0.021531677,0.018539988,Five Points,39.751184,-104.987625
49,2023-06-04 15:00:00+00:00,0.03477072,0.042,0.03327694,0.028694691,0.027675543,0.024975354,0.023704983,0.023223432,0.024486845,Five Points,39.751184,-104.987625
50,2023-06-04 16:00:00+00:00,0.04102959,0.042,0.03455924,0.033554688,0.030462762,0.02971055,0.027734742,0.026791899,0.026443075,Five Points,39.751184,-104.987625
51,2023-06-04 17:00:00+00:00,0.040306777,0.039,0.039421972,0.034952622,0.034258112,0.031908374,0.031345014,0.029847864,0.029161185,Five Points,39.751184,-104.987625
52,2023-06-04 18:00:00+00:00,0.03787845,0.042,0.039037067,0.038415786,0.035228815,0.034688868,0.032895155,0.032463826,0.031368937,Five Points,39.751184,-104.987625
53,2023-06-04 19:00:00+00:00,0.041395083,0.043,0.03776032,0.03856439,0.038117826,0.03561255,0.03519906,0.03382064,0.033505768,Five Points,39.751184,-104.987625
54,2023-06-04 20:00:00+00:00,0.041935798,0.044,0.040421158,0.037766807,0.038354523,0.038001347,0.036079492,0.035765424,0.034778744,Five Points,39.751184,-104.987625
55,2023-06-04 21:00:00+00:00,0.042596426,0.04700000000000001,0.04067594,0.039546963,0.03756915,0.038032755,0.037764546,0.03632794,0.036108255,Five Points,39.751184,-104.987625
