,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_12,50.979424,o3_sim_Evergreen_12,39.6203151,-105.33872,9.29e-05
o3_sim_Idaho Springs_12,55.907345,o3_sim_Idaho Springs_12,39.7924538,-105.49127,6.52e-05
o3_sim_Five Points_12,56.104828,o3_sim_Five Points_12,39.7511281,-104.987625,5.59e-05
o3_sim_Welby_12,55.7875,o3_sim_Welby_12,39.8380796,-104.94984,3.94e-05
o3_sim_Highlands Ranch_12,59.6505,o3_sim_Highlands Ranch_12,39.567869099999996,-104.957193,1.79e-05
o3_sim_Rocky Flats_12,60.983414,o3_sim_Rocky Flats_12,39.9127624,-105.188587,3.66e-05
o3_sim_Boulder_12,55.46026,o3_sim_Boulder_12,40.069927400000005,-105.220238,8.86e-05
o3_sim_Chatfield Reservoir_12,56.976547,o3_sim_Chatfield Reservoir_12,39.534421300000005,-105.070358,6.67e-05
o3_sim_Sunnyside_12,57.437546,o3_sim_Sunnyside_12,39.779403800000004,-105.00518,8.62e-05
o3_sim_East Plains_12,57.64789,o3_sim_East Plains_12,39.638511300000005,-104.569335,1.07e-05
