,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_12,61.915558,o3_sim_Evergreen_12,39.6203809,-105.33872,2.71e-05
o3_sim_Idaho Springs_12,50.62313,o3_sim_Idaho Springs_12,39.7925013,-105.49127,1.77e-05
o3_sim_Five Points_12,54.6055,o3_sim_Five Points_12,39.751097300000005,-104.987625,8.67e-05
o3_sim_Welby_12,56.97128,o3_sim_Welby_12,39.8380237,-104.94984,9.53e-05
o3_sim_Highlands Ranch_12,62.63421,o3_sim_Highlands Ranch_12,39.5678105,-104.957193,7.65e-05
o3_sim_Rocky Flats_12,67.117546,o3_sim_Rocky Flats_12,39.9127106,-105.188587,8.84e-05
o3_sim_Boulder_12,59.058792,o3_sim_Boulder_12,40.0699279,-105.220238,8.81e-05
o3_sim_Chatfield Reservoir_12,65.6481,o3_sim_Chatfield Reservoir_12,39.5344423,-105.070358,4.57e-05
o3_sim_Sunnyside_12,55.404663,o3_sim_Sunnyside_12,39.7794289,-105.00518,6.11e-05
o3_sim_East Plains_12,58.752636,o3_sim_East Plains_12,39.6384862,-104.569335,3.58e-05
