,site,1 Hour RMSE,1 Hour R2,2 Hour RMSE,2 Hour R2,3 Hour RMSE,3 Hour R2,4 Hour RMSE,4 Hour R2,5 Hour RMSE,5 Hour R2,6 Hour RMSE,6 Hour R2
0,Evergreen,4.084595327180506,0.9354495862284593,6.009602833680155,0.8647396091477304,7.081156932778378,0.8177790228238286,7.733728276908217,0.7889055413734918,8.222002609437416,0.767852798251071,8.596888845611257,0.7523276251420281
1,Idaho Springs,3.366059861087584,0.8896143626998163,4.949859984540697,0.7667562414262473,5.846174480392779,0.6826254597208075,6.463132217186734,0.6209993339485926,6.861552726264822,0.5811713365349356,7.145458941888042,0.5539750520416322
2,Five Points,4.904927055835324,0.8869486790500772,6.798231400042657,0.7886449078989555,7.87025330039531,0.7263069966606858,8.573249308068956,0.6853138912148016,9.104165961493216,0.6545208938548783,9.494536305699498,0.6326310094427581
3,Welby,4.894334434627669,0.9294095420039173,7.495436490230877,0.83839143799232,9.19442279408745,0.7645228156735191,10.421307814382093,0.708204272021721,11.360022813325319,0.6654397758861976,12.049343901357718,0.6347104693805723
4,Highlands Ranch,3.5006553184463134,0.9163565054177873,5.200761472069015,0.8246511330819367,6.173199597242756,0.7657333786071194,6.809761997281055,0.7281167340344302,7.279811670844334,0.7015391310952273,7.663350694133523,0.6801284969521723
5,Rocky Flats,4.01824822789887,0.8721599688751518,5.488988643160363,0.7682545177595144,6.410918849979831,0.6966511906025165,7.0753297041042496,0.6471042891514357,7.573022378738416,0.6127595460886293,7.958840513730487,0.5877355552497351
6,Boulder,3.9544068274305144,0.9162583907443871,5.533723615935559,0.8390270069152512,6.386176085878209,0.7904595724580304,6.992442306775805,0.7551780586155893,7.375628989315682,0.733972045830122,7.653386153183683,0.7193966121476689
7,Chatfield Reservoir,4.161062136348997,0.9188896359130359,6.039687119839638,0.8369319777164639,7.1379753922841624,0.7827013097587671,7.875895226064111,0.7460864471431607,8.406327235855356,0.7208010687456483,8.822504568737243,0.7015941287452998
8,Sunnyside,5.306055723989614,0.9093274858305234,7.70557655138243,0.8224772556974547,9.07124430503399,0.7714000105607222,9.994110978242741,0.7388375451724694,10.661587728376462,0.7165567496939014,11.153159782170517,0.7011561894562939
9,East Plains,3.623404847069474,0.8907980593213367,5.26552116680004,0.7810500656651294,6.236481285573997,0.7079238329437886,6.8722925610933725,0.6604355857136954,7.325700982916704,0.6280289231981604,7.690524498604647,0.6025966559257303
10,South Table,3.9261574035417723,0.9005558493580389,5.355867731954935,0.821649604274292,6.1951585260485365,0.7697781992773398,6.743447370284255,0.735954811282418,7.157278305493621,0.7107777466885172,7.465328682944364,0.6926528397437226
