,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_12,36.15358,o3_sim_Evergreen_12,39.620356,-105.33872,5.2e-05
o3_sim_Idaho Springs_12,48.058685,o3_sim_Idaho Springs_12,39.792419599999995,-105.49127,9.94e-05
o3_sim_Five Points_12,26.30097,o3_sim_Five Points_12,39.751181,-104.987625,3e-06
o3_sim_Welby_12,24.014849,o3_sim_Welby_12,39.838113,-104.94984,6e-06
o3_sim_Highlands Ranch_12,39.490654,o3_sim_Highlands Ranch_12,39.5678322,-104.957193,5.48e-05
o3_sim_Rocky Flats_12,46.355774,o3_sim_Rocky Flats_12,39.9127757,-105.188587,2.33e-05
o3_sim_Boulder_12,35.335922,o3_sim_Boulder_12,40.069985200000005,-105.220238,3.08e-05
o3_sim_Chatfield Reservoir_12,34.89663,o3_sim_Chatfield Reservoir_12,39.534478,-105.070358,1e-05
o3_sim_Sunnyside_12,26.889801,o3_sim_Sunnyside_12,39.7794402,-105.00518,4.98e-05
o3_sim_East Plains_12,45.908195,o3_sim_East Plains_12,39.638448100000005,-104.569335,7.39e-05
o3_sim_Evergreen_12,36.15358,o3_sim_Evergreen_12,39.620387,-105.33872,2.1e-05
o3_sim_Idaho Springs_12,48.058685,o3_sim_Idaho Springs_12,39.792487,-105.49127,3.2e-05
o3_sim_Five Points_12,26.30097,o3_sim_Five Points_12,39.7511774,-104.987625,6.6e-06
o3_sim_Welby_12,24.014849,o3_sim_Welby_12,39.8380867,-104.94984,3.23e-05
o3_sim_Highlands Ranch_12,39.490654,o3_sim_Highlands Ranch_12,39.5678565,-104.957193,3.05e-05
o3_sim_Rocky Flats_12,46.355774,o3_sim_Rocky Flats_12,39.9127893,-105.188587,9.7e-06
o3_sim_Boulder_12,35.335922,o3_sim_Boulder_12,40.0699939,-105.220238,2.21e-05
o3_sim_Chatfield Reservoir_12,34.89663,o3_sim_Chatfield Reservoir_12,39.534456600000006,-105.070358,3.14e-05
o3_sim_Sunnyside_12,26.889801,o3_sim_Sunnyside_12,39.779395,-105.00518,9.5e-05
o3_sim_East Plains_12,45.908195,o3_sim_East Plains_12,39.6384294,-104.569335,9.26e-05
