,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_1,55.85735,o3_sim_Evergreen_1,39.620401699999995,-105.33872,6.3e-06
o3_sim_Idaho Springs_1,53.33376,o3_sim_Idaho Springs_1,39.7924353,-105.49127,8.37e-05
o3_sim_Five Points_1,58.11813,o3_sim_Five Points_1,39.751105700000004,-104.987625,7.83e-05
o3_sim_Welby_1,47.36946,o3_sim_Welby_1,39.8381106,-104.94984,8.4e-06
o3_sim_Highlands Ranch_1,56.11811,o3_sim_Highlands Ranch_1,39.5678738,-104.957193,1.32e-05
o3_sim_Rocky Flats_1,57.72153,o3_sim_Rocky Flats_1,39.9127919,-105.188587,7.1e-06
o3_sim_Boulder_1,55.423477,o3_sim_Boulder_1,40.0699248,-105.220238,9.12e-05
o3_sim_Chatfield Reservoir_1,54.465366,o3_sim_Chatfield Reservoir_1,39.5344866,-105.070358,1.4e-06
o3_sim_Sunnyside_1,50.855232,o3_sim_Sunnyside_1,39.7794785,-105.00518,1.15e-05
o3_sim_East Plains_1,38.064037,o3_sim_East Plains_1,39.638509500000005,-104.569335,1.25e-05
o3_sim_Evergreen_1,55.85735,o3_sim_Evergreen_1,39.6203973,-105.33872,1.07e-05
o3_sim_Idaho Springs_1,53.33376,o3_sim_Idaho Springs_1,39.7924703,-105.49127,4.87e-05
o3_sim_Five Points_1,58.11813,o3_sim_Five Points_1,39.751131400000006,-104.987625,5.26e-05
o3_sim_Welby_1,47.36946,o3_sim_Welby_1,39.838032399999996,-104.94984,8.66e-05
o3_sim_Highlands Ranch_1,56.11811,o3_sim_Highlands Ranch_1,39.567841099999995,-104.957193,4.59e-05
o3_sim_Rocky Flats_1,57.72153,o3_sim_Rocky Flats_1,39.9127357,-105.188587,6.33e-05
o3_sim_Boulder_1,55.423477,o3_sim_Boulder_1,40.0700048,-105.220238,1.12e-05
o3_sim_Chatfield Reservoir_1,54.465366,o3_sim_Chatfield Reservoir_1,39.5344586,-105.070358,2.94e-05
o3_sim_Sunnyside_1,50.855232,o3_sim_Sunnyside_1,39.779394700000005,-105.00518,9.53e-05
o3_sim_East Plains_1,38.064037,o3_sim_East Plains_1,39.638502800000005,-104.569335,1.92e-05
o3_sim_140,49.704624,o3_sim_140,40.2452011,-105.7200012,6.3e-05
o3_sim_1,54.922077,o3_sim_1,39.3174019,-104.3799973,4.06e-05
o3_sim_2,56.506092,o3_sim_2,39.3174019,-104.4830017,4.9e-06
o3_sim_3,51.69999,o3_sim_3,39.3174019,-104.5859985,5.94e-05
o3_sim_4,49.984745,o3_sim_4,39.3174019,-104.6900024,4.96e-05
o3_sim_5,51.94463,o3_sim_5,39.3174019,-104.7929993,9.35e-05
o3_sim_6,50.350853,o3_sim_6,39.3174019,-104.8960037,6.04e-05
o3_sim_7,52.088604,o3_sim_7,39.3174019,-104.9990005,7.95e-05
o3_sim_8,51.798344,o3_sim_8,39.3174019,-105.1019974,3e-05
o3_sim_9,53.188263,o3_sim_9,39.3174019,-105.2050018,9.83e-05
o3_sim_10,48.91695,o3_sim_10,39.3174019,-105.3079987,7.53e-05
o3_sim_11,52.257706,o3_sim_11,39.3174019,-105.4110031,8.5e-06
o3_sim_12,50.43352,o3_sim_12,39.3174019,-105.5139999,5.35e-05
o3_sim_13,48.895172,o3_sim_13,39.3174019,-105.6169968,6.52e-05
o3_sim_14,52.271393,o3_sim_14,39.3174019,-105.7200012,8.62e-05
o3_sim_15,58.99088,o3_sim_15,39.4205017,-104.3799973,5.16e-05
o3_sim_16,57.2036,o3_sim_16,39.4205017,-104.4830017,6.29e-05
o3_sim_17,55.28204,o3_sim_17,39.4205017,-104.5859985,6.27e-05
o3_sim_18,50.71749,o3_sim_18,39.4205017,-104.6900024,5.27e-05
o3_sim_19,55.7164,o3_sim_19,39.4205017,-104.7929993,3.25e-05
o3_sim_20,55.57489,o3_sim_20,39.4205017,-104.8960037,6.73e-05
o3_sim_21,58.079525,o3_sim_21,39.4205017,-104.9990005,8.4e-05
o3_sim_22,45.480392,o3_sim_22,39.4205017,-105.1019974,9.4e-05
o3_sim_23,55.00103,o3_sim_23,39.4205017,-105.2050018,3.13e-05
o3_sim_24,50.494717,o3_sim_24,39.4205017,-105.3079987,2.26e-05
o3_sim_25,49.525696,o3_sim_25,39.4205017,-105.4110031,2.88e-05
o3_sim_26,49.510815,o3_sim_26,39.4205017,-105.5139999,2.1e-06
o3_sim_27,41.827736,o3_sim_27,39.4205017,-105.6169968,7.2e-05
o3_sim_28,51.12963,o3_sim_28,39.4205017,-105.7200012,2.51e-05
o3_sim_29,56.535664,o3_sim_29,39.5236015,-104.3799973,2.24e-05
