,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_1,55.734035,o3_sim_Evergreen_1,39.6203791,-105.33872,2.89e-05
o3_sim_Idaho Springs_1,54.727245,o3_sim_Idaho Springs_1,39.7924925,-105.49127,2.65e-05
o3_sim_Five Points_1,65.284836,o3_sim_Five Points_1,39.7511525,-104.987625,3.15e-05
o3_sim_Welby_1,63.89907,o3_sim_Welby_1,39.838112,-104.94984,7e-06
o3_sim_Highlands Ranch_1,60.630646,o3_sim_Highlands Ranch_1,39.567806,-104.957193,8.1e-05
o3_sim_Rocky Flats_1,56.012928,o3_sim_Rocky Flats_1,39.9127341,-105.188587,6.49e-05
o3_sim_Boulder_1,55.10157,o3_sim_Boulder_1,40.069962700000005,-105.220238,5.33e-05
o3_sim_Chatfield Reservoir_1,68.23285,o3_sim_Chatfield Reservoir_1,39.5344069,-105.070358,8.11e-05
o3_sim_Sunnyside_1,70.33982,o3_sim_Sunnyside_1,39.7794563,-105.00518,3.37e-05
o3_sim_East Plains_1,34.06942,o3_sim_East Plains_1,39.638463,-104.569335,5.9e-05
o3_sim_Evergreen_1,55.734035,o3_sim_Evergreen_1,39.620399299999995,-105.33872,8.7e-06
o3_sim_Idaho Springs_1,54.727245,o3_sim_Idaho Springs_1,39.792449,-105.49127,7e-05
o3_sim_Five Points_1,65.284836,o3_sim_Five Points_1,39.7511662,-104.987625,1.78e-05
o3_sim_Welby_1,63.89907,o3_sim_Welby_1,39.8380709,-104.94984,4.81e-05
o3_sim_Highlands Ranch_1,60.630646,o3_sim_Highlands Ranch_1,39.5678136,-104.957193,7.34e-05
o3_sim_Rocky Flats_1,56.012928,o3_sim_Rocky Flats_1,39.9127657,-105.188587,3.33e-05
o3_sim_Boulder_1,55.10157,o3_sim_Boulder_1,40.0699774,-105.220238,3.86e-05
o3_sim_Chatfield Reservoir_1,68.23285,o3_sim_Chatfield Reservoir_1,39.5343895,-105.070358,9.85e-05
o3_sim_Sunnyside_1,70.33982,o3_sim_Sunnyside_1,39.7794401,-105.00518,4.99e-05
o3_sim_East Plains_1,34.06942,o3_sim_East Plains_1,39.6384892,-104.569335,3.28e-05
o3_sim_140,48.37622,o3_sim_140,40.2452011,-105.7200012,4.64e-05
o3_sim_1,63.12523,o3_sim_1,39.3174019,-104.3799973,9.24e-05
o3_sim_2,56.137188,o3_sim_2,39.3174019,-104.4830017,8.18e-05
o3_sim_3,55.780613,o3_sim_3,39.3174019,-104.5859985,6.59e-05
o3_sim_4,56.643227,o3_sim_4,39.3174019,-104.6900024,6.94e-05
o3_sim_5,57.398716,o3_sim_5,39.3174019,-104.7929993,1.1e-05
o3_sim_6,56.35654,o3_sim_6,39.3174019,-104.8960037,9.82e-05
o3_sim_7,69.53493,o3_sim_7,39.3174019,-104.9990005,1.07e-05
o3_sim_8,45.20761,o3_sim_8,39.3174019,-105.1019974,7.06e-05
o3_sim_9,56.21175,o3_sim_9,39.3174019,-105.2050018,8.77e-05
o3_sim_10,48.805004,o3_sim_10,39.3174019,-105.3079987,7.78e-05
o3_sim_11,50.942883,o3_sim_11,39.3174019,-105.4110031,2.2e-06
o3_sim_12,50.021545,o3_sim_12,39.3174019,-105.5139999,4.53e-05
o3_sim_13,47.684586,o3_sim_13,39.3174019,-105.6169968,1.05e-05
o3_sim_14,50.95367,o3_sim_14,39.3174019,-105.7200012,3.61e-05
o3_sim_15,58.33966,o3_sim_15,39.4205017,-104.3799973,2.59e-05
o3_sim_16,60.179405,o3_sim_16,39.4205017,-104.4830017,3.03e-05
o3_sim_17,57.856846,o3_sim_17,39.4205017,-104.5859985,8.98e-05
o3_sim_18,58.7593,o3_sim_18,39.4205017,-104.6900024,3.41e-05
o3_sim_19,62.213455,o3_sim_19,39.4205017,-104.7929993,1.2e-06
o3_sim_20,63.31671,o3_sim_20,39.4205017,-104.8960037,2.35e-05
o3_sim_21,70.777054,o3_sim_21,39.4205017,-104.9990005,1.81e-05
o3_sim_22,70.509705,o3_sim_22,39.4205017,-105.1019974,9.47e-05
o3_sim_23,61.49788,o3_sim_23,39.4205017,-105.2050018,3.64e-05
o3_sim_24,50.889618,o3_sim_24,39.4205017,-105.3079987,4.3e-05
o3_sim_25,51.084076,o3_sim_25,39.4205017,-105.4110031,2.36e-05
o3_sim_26,51.21646,o3_sim_26,39.4205017,-105.5139999,1.59e-05
o3_sim_27,42.355328,o3_sim_27,39.4205017,-105.6169968,1.23e-05
