,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004354985584384367,0.005993299801013383,0.00695064142741696,0.007628319535384002,0.008113516883062123,0.00848985988974991,0.908556411245769,0.8376215994800206,0.7941559103909819,0.7643235663583259,0.7451939482570857,0.7315076484288703
1,Chatfield Reservoir,0.004662274426077258,0.006315263839131728,0.007283610177279949,0.007909764563936,0.008351386228133776,0.00867694406437761,0.8994535938932143,0.8208121361543299,0.7681979451343208,0.7338185994464065,0.7104950013878893,0.6943523764917032
2,East Plains,0.004422273436174878,0.006071619020784844,0.00705227038228307,0.007736377505737217,0.008230607001156742,0.008605990642868327,0.868972259627843,0.7538995758555752,0.6709555830846985,0.6089047646984511,0.5632633153588319,0.5284630144878677
3,Evergreen,0.004496689024467983,0.006512740703544576,0.007699068851575983,0.008482657848303845,0.009075239683776036,0.009543022451108241,0.9265245683446656,0.850521768246685,0.7968106625322484,0.7601644489994963,0.7325634759988584,0.7112059448228771
4,Five Points,0.009051118272594558,0.010613008954762472,0.01097089028372834,0.01170938211002996,0.012235569216269969,0.012557853857862185,0.7170444060737351,0.6129075834053694,0.5903809805616802,0.5396143970906595,0.5030353782392236,0.48162315814571754
5,Highlands Ranch,0.003953158996323183,0.005409576855243349,0.00613760266841418,0.006606364209028043,0.0069704326018553385,0.007262866421803281,0.8871313985178135,0.7891437590445564,0.7294262862618452,0.6877250613402031,0.6539882781518624,0.6262244701871126
6,Idaho Springs,0.004288860095238509,0.005793843108050183,0.006659795001855031,0.007242743243049293,0.0076487149815559425,0.007926330619280761,0.8339706165683736,0.7036171994544251,0.6164930820496124,0.5548404005665493,0.5115575864828144,0.4827605357906055
7,Rocky Flats,0.005452096342791845,0.007331238862517457,0.008475491088834906,0.009319695880659222,0.00998381452653639,0.010506672528110855,0.8802986302001863,0.7841289052271948,0.7105185390395153,0.6480682033145304,0.594150706419737,0.5491706713326953
8,South Table,0.004457077974844332,0.005798182401539139,0.006551934579085252,0.007009560338275648,0.007314257642078044,0.007507789517091582,0.8742677983138726,0.7880426771148312,0.7307821339750259,0.6935306255691884,0.6681177157078353,0.65197652381853
9,Sunnyside,0.0053606459534010775,0.00751043705842719,0.0085667066707403,0.009233920983876348,0.009731007531697285,0.010095944789216193,0.9044964351883195,0.818170241041589,0.7704600121585492,0.7404613012817689,0.7180984718304482,0.7021736773307898
10,Welby,0.0056186537135886104,0.008000419935948072,0.009395063217890524,0.010345485297501525,0.011037515152694055,0.011525349694879113,0.9044199075453749,0.8071802704422208,0.7357101573457264,0.6816827392240636,0.6402061818990784,0.6103325409383483
