,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004235536202664889,0.0057317047439409815,0.006519391565245832,0.007036156186916894,0.007359824421244142,0.007589281972132771,0.9097070102902605,0.8383842172743756,0.7949795559629025,0.7650140503465365,0.7456830409963444,0.7314449650326111
1,Chatfield Reservoir,0.004631687404431951,0.006247019844014485,0.007144323579268981,0.007677210764046113,0.008014670556399232,0.008232806611718692,0.8998105284485235,0.8203235995578332,0.7673908956412365,0.7329277994035415,0.7095366560404242,0.6934557125108209
2,East Plains,0.004512014712067971,0.006317640919665159,0.007422446084722655,0.008193039879704538,0.008753193550171554,0.009177883793132155,0.8675514824574584,0.7504745950288619,0.6680429917167414,0.6080109727856366,0.5637545673137249,0.5297318668181226
3,Evergreen,0.0043928934298454,0.006263083309025934,0.007318723836542368,0.007964170811542479,0.008425075345216233,0.00877400496479953,0.9270300933777442,0.8528876020888425,0.8010845552866805,0.7664725689507045,0.7406241453968974,0.7205518216628313
4,Five Points,0.009759757004700303,0.01066344171930386,0.010973399884513181,0.01171536762816188,0.012262345177996348,0.01258924976640996,0.6848437993611892,0.6110843635008739,0.5868796733181096,0.5358355572419043,0.4978313452009896,0.4751663587198136
5,Highlands Ranch,0.004048031766301094,0.0056772352937425104,0.0065674032129693525,0.007177616320150931,0.007658238801391274,0.008044039491642705,0.8911301839635254,0.8011350944283974,0.7500918041685507,0.7162668625951218,0.6895814203292568,0.6681540125538283
6,Idaho Springs,0.004224071032372542,0.005816011424320032,0.0067546623614612635,0.007392092731707757,0.007824471690075047,0.008110668808496467,0.8383127603155562,0.7016661074822056,0.6089759510329027,0.54338331608104,0.4982587447633502,0.4683147543858365
7,Rocky Flats,0.00546071955667936,0.0072899498133679255,0.008414978548881737,0.009249154679123942,0.009901029194428977,0.010429743798108267,0.8782273862310537,0.783389346226291,0.711800233182301,0.652579645415304,0.6030741852926305,0.5611312317038105
8,South Table,0.004483867465732648,0.005894747695473032,0.006702795425325761,0.007201539598126647,0.007527384771382162,0.00773316899492677,0.8749514245088884,0.7879989462142691,0.7301105737568734,0.691887876515443,0.6657967431146778,0.6486154065570682
9,Sunnyside,0.005379582373453898,0.00763743759807225,0.008802843773317737,0.00955160387251256,0.01009156888698834,0.01048057889796565,0.9067281544499746,0.8224788616762582,0.7755331855882593,0.7460544128584844,0.7252114015133457,0.7109913209300902
10,Welby,0.0055744648098795795,0.007923114973135114,0.009301663369176625,0.010242561618773158,0.010924265091748228,0.011422382206811243,0.9060375039050999,0.8116417128253992,0.7422591969710326,0.689397373915484,0.6484861287094473,0.6173672896512317
