,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004345158376273762,0.005916712484663011,0.006786227024376937,0.007367298668954993,0.007766132566272679,0.00807257192303941,0.9089237720814756,0.8382693934223777,0.7948605811116204,0.7657419815855694,0.7474783771216428,0.7344406908502408
1,Chatfield Reservoir,0.004596634596539774,0.006163316148818555,0.007025711094174942,0.007528634423283753,0.007845684265587818,0.008061695587180142,0.9011456532341129,0.8233975636568222,0.771651161598701,0.7387296186944241,0.7169594611819126,0.7018933311175605
2,East Plains,0.00442126246781174,0.006034342843686342,0.006967336221453702,0.0076099729227720085,0.008080935036439627,0.008447282519434279,0.8700028589930308,0.7584253886278711,0.6805824067098466,0.6231024402553148,0.5800403229944382,0.5463291337071278
3,Evergreen,0.00480151443248937,0.0069995690980994224,0.008275204334969017,0.009150448668904488,0.009846419831298454,0.010420953837860831,0.9241909988843966,0.8476868036432715,0.7972509089413734,0.7643615541698398,0.7401462409020442,0.7215264540456761
4,Five Points,0.009669041586899584,0.011681389396454194,0.011448060919416702,0.011867518062728104,0.01221920532086923,0.012507671970439354,0.6886445843604652,0.5568403045198465,0.5652149932625875,0.5308946249571413,0.5045380464120013,0.48552391041791965
5,Highlands Ranch,0.0040070385207714035,0.005514041131917122,0.006286975576860591,0.006790819192510584,0.007182682140791118,0.00749613840648325,0.8863700743252088,0.7887846701154878,0.730680650055064,0.6920312571167411,0.6623492642200781,0.638990901114282
6,Idaho Springs,0.00443889767801015,0.006131438937274705,0.007173551956250781,0.007941368425099916,0.00852524295000828,0.008971468476801067,0.8320897574305106,0.6995255423924942,0.6117903775644773,0.5501356123829046,0.508566272646368,0.4819065024601503
7,Rocky Flats,0.005687886131366262,0.007791055000726324,0.009134812273652404,0.010157380330861731,0.010986269775807586,0.011660230703511028,0.8788860928323073,0.7817189659249087,0.7084000629312976,0.647166329536435,0.5951588055304724,0.5522177646874222
8,South Table,0.004456495403420082,0.005837322636080865,0.006624301619736583,0.007093342543827535,0.007391061081419362,0.007575110519409555,0.8748822866629204,0.7869051627994059,0.7274823590352313,0.6896674344302515,0.6653001432893806,0.6505369596466112
9,Sunnyside,0.005341610159486912,0.007498282755799971,0.008572551299934575,0.009249979964627496,0.009757237947997452,0.01014068344415376,0.9049512395771702,0.8184681056612089,0.770698854294595,0.741867939923735,0.7213113842770744,0.7065679268274858
10,Welby,0.005639836033391791,0.007980435924334115,0.009357909834968543,0.010277494538272,0.010944057529450423,0.011435994178387018,0.9033527816883288,0.8072753351739811,0.7371376565269981,0.6862298179940468,0.6481620251788891,0.6200595361351191
