,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.004273981782888301,0.005739170932038502,0.00648795095788193,0.0069616104065722524,0.007255940255112461,0.007461590675566225,0.9074329604716852,0.8341628863712807,0.7892880729515577,0.7586002215773067,0.7385749555614746,0.7240752261294521
1,Chatfield Reservoir,0.004642056220353812,0.006275298219844784,0.007196108407851182,0.007765451570819632,0.008143754571822585,0.008402757107890554,0.8995347231863297,0.8180758351759101,0.7622084000576728,0.7237043876148526,0.6959679027276577,0.6757094246391684
2,East Plains,0.004489455731701657,0.006159384702735322,0.007111957897377574,0.00776534487000593,0.008239816864209304,0.008603197473245049,0.8663183774510135,0.750135133374063,0.6709686679000948,0.6130523357374089,0.5700573850528392,0.5367117929808879
3,Evergreen,0.00457999462079081,0.006609737755585497,0.007693843430219034,0.00834937516350856,0.008813458795807324,0.00916076739508489,0.9219616987679691,0.8379229356448727,0.7811775361253306,0.7434176330954843,0.7152600765453532,0.6933775290546749
4,Five Points,0.009127261005568361,0.010604215629604424,0.010881173755429241,0.0115996835116422,0.012084834373429356,0.0123662465816928,0.7124698131239569,0.6080025670401974,0.5831611290516823,0.5286205888178375,0.4908887705755932,0.4686735975407287
5,Highlands Ranch,0.0039736685559154505,0.00541069185128714,0.006081325079729178,0.006501673682685118,0.006822313195360713,0.007075332253280864,0.8869773982339508,0.7934406862156169,0.7418214211565048,0.707565207905535,0.6807379502344477,0.659101258767659
6,Idaho Springs,0.004430935964550838,0.006042885606441973,0.006966453785561974,0.007596733338351055,0.008039834099375169,0.008347506677175561,0.8265969136081317,0.688518747961248,0.5993971138070179,0.5381746656971711,0.4968251565695254,0.47017694840281743
7,Rocky Flats,0.005472599195897987,0.007334916718873364,0.008454485020543707,0.009285095421520973,0.009931707210668729,0.01043307813193171,0.8796635844152811,0.78386266648747,0.7119498589591059,0.6510488204989561,0.5991202813797396,0.5563037395175447
8,South Table,0.004481359814795126,0.0058864987394321696,0.006689012623027092,0.007179662119970626,0.007505752040294266,0.007723938229932945,0.8741443486879342,0.7856950682588577,0.7261390247105857,0.6868452894759829,0.6596421384462188,0.6410581181429584
9,Sunnyside,0.005299850239235634,0.0073194935196048486,0.008236220186645146,0.008758946430103307,0.009120058795969985,0.009364492019939786,0.9038615203169738,0.8170720720091391,0.7691347419307455,0.7397910156020198,0.7188126394604908,0.704408064217866
10,Welby,0.005700504879871365,0.00811941270947621,0.009527092105425513,0.010480070341998821,0.011172771631753675,0.011672507365382825,0.9014470318467214,0.8013016053052748,0.7283052354701963,0.6733601889522693,0.6309251564771192,0.5991204913313797
