,site,rms0,rms1,rms2,rms3,rms4,rms5,rsq0,rsq1,rsq2,rsq3,rsq4,rsq5
0,Boulder,0.0043513606874098,0.005866385957166806,0.006643444613847457,0.007121586297047323,0.007423854577969874,0.007632274217346374,0.90537301646819,0.8334135439155677,0.7927560885534309,0.7668362175189127,0.7497788676346853,0.7362468262912467
1,Chatfield Reservoir,0.004687019034312469,0.006345505147662288,0.007307325476951873,0.007914668072740704,0.008323300484569952,0.008598123575375524,0.8970418047383415,0.8158364999361238,0.7619153241962184,0.7269700786292728,0.7029839942369721,0.6857337943259065
2,East Plains,0.004493220427583553,0.006184991273308629,0.007151734637611077,0.007789260692660894,0.008224428128268025,0.008533979088789433,0.8704241490141451,0.7580706701946933,0.6759209929478274,0.6115074246017657,0.5621205189974465,0.5240392826768759
3,Evergreen,0.004787943845198838,0.007161413922626741,0.008547629385817357,0.009427666970004115,0.010055796552707512,0.010510790487731935,0.922970756338772,0.8403140413028252,0.7848261108455709,0.748171249488222,0.7178191762627153,0.691101633171201
4,Five Points,0.009352753452544342,0.01116200079016791,0.01107738344003934,0.01166710990270374,0.012086857040935572,0.012303296772124661,0.6915468857086209,0.5559146832391502,0.5628097093018185,0.5200783802243529,0.4876347093781853,0.47025531219542804
5,Highlands Ranch,0.00400787703544918,0.005515640820404435,0.006268071312536373,0.006737365750041019,0.007072486051985818,0.007309168548862746,0.8878856329346442,0.7935863936272505,0.7421454711325112,0.7078786822763181,0.6787396353451325,0.6537079200906988
6,Idaho Springs,0.004322917996914682,0.005798032785425959,0.0066285810016439555,0.007180045764540048,0.007541475380606721,0.00776631390229167,0.8303680321717319,0.6995565817126786,0.6097728317179754,0.5440188586075987,0.49866977067404117,0.4697674844456552
7,Rocky Flats,0.0056387899566800225,0.007705559680934073,0.008986010250752036,0.00990029468099986,0.01058124235779498,0.011085055550340795,0.8806183532837755,0.7866683403535308,0.7156315739509747,0.6540059103731697,0.5998205457435364,0.5543283253205882
8,South Table,0.0045813035726518575,0.006090009692463686,0.006990541724011347,0.007557590351780284,0.007937253684181909,0.008184524027388423,0.8714691961582115,0.7821804962972259,0.7237241300592627,0.6877831853420129,0.6654371308594272,0.6529776232389366
9,Sunnyside,0.005402329987503073,0.007551337367845409,0.00851786940412957,0.009051461959766112,0.009405238374724024,0.009629387973856634,0.9018805029252295,0.812475926372179,0.7680964224642237,0.7453857722700822,0.7298043398745471,0.7183831002426264
10,Welby,0.005774400087992337,0.00832199550165448,0.009826042253949632,0.010813627204435615,0.011491221704569177,0.011939690109425045,0.9027532551475018,0.8027285030626226,0.730442036346518,0.6772161939028372,0.6362407580650827,0.605705352334542
