,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_3,29.810757,o3_sim_Evergreen_3,39.620336099999996,-105.33872,7.19e-05
o3_sim_Idaho Springs_3,42.828514,o3_sim_Idaho Springs_3,39.792488299999995,-105.49127,3.07e-05
o3_sim_Five Points_3,28.293524,o3_sim_Five Points_3,39.751110100000005,-104.987625,7.39e-05
o3_sim_Welby_3,16.711773,o3_sim_Welby_3,39.8380605,-104.94984,5.85e-05
o3_sim_Highlands Ranch_3,39.588394,o3_sim_Highlands Ranch_3,39.5678699,-104.957193,1.71e-05
o3_sim_Rocky Flats_3,42.395153,o3_sim_Rocky Flats_3,39.9127101,-105.188587,8.89e-05
o3_sim_Boulder_3,32.757496,o3_sim_Boulder_3,40.0699892,-105.220238,2.68e-05
o3_sim_Chatfield Reservoir_3,31.967709,o3_sim_Chatfield Reservoir_3,39.534450500000005,-105.070358,3.75e-05
o3_sim_Sunnyside_3,21.485283,o3_sim_Sunnyside_3,39.7794308,-105.00518,5.92e-05
o3_sim_East Plains_3,40.234386,o3_sim_East Plains_3,39.638449,-104.569335,7.3e-05
o3_sim_Evergreen_3,29.810757,o3_sim_Evergreen_3,39.6203611,-105.33872,4.69e-05
o3_sim_Idaho Springs_3,42.828514,o3_sim_Idaho Springs_3,39.7924597,-105.49127,5.93e-05
o3_sim_Five Points_3,28.293524,o3_sim_Five Points_3,39.7511108,-104.987625,7.32e-05
o3_sim_Welby_3,16.711773,o3_sim_Welby_3,39.8380688,-104.94984,5.02e-05
o3_sim_Highlands Ranch_3,39.588394,o3_sim_Highlands Ranch_3,39.5677999,-104.957193,8.71e-05
o3_sim_Rocky Flats_3,42.395153,o3_sim_Rocky Flats_3,39.9127954,-105.188587,3.6e-06
o3_sim_Boulder_3,32.757496,o3_sim_Boulder_3,40.0700118,-105.220238,4.2e-06
o3_sim_Chatfield Reservoir_3,31.967709,o3_sim_Chatfield Reservoir_3,39.534411500000004,-105.070358,7.65e-05
o3_sim_Sunnyside_3,21.485283,o3_sim_Sunnyside_3,39.7794528,-105.00518,3.72e-05
o3_sim_East Plains_3,40.234386,o3_sim_East Plains_3,39.6384739,-104.569335,4.81e-05
o3_sim_140,46.73768,o3_sim_140,40.2452011,-105.7200012,8.55e-05
o3_sim_1,40.054466,o3_sim_1,39.3174019,-104.3799973,9.83e-05
o3_sim_2,28.184158,o3_sim_2,39.3174019,-104.4830017,3.95e-05
o3_sim_3,24.273335,o3_sim_3,39.3174019,-104.5859985,2.45e-05
o3_sim_4,21.940727,o3_sim_4,39.3174019,-104.6900024,9.5e-06
o3_sim_5,29.497684,o3_sim_5,39.3174019,-104.7929993,2.04e-05
o3_sim_6,28.649754,o3_sim_6,39.3174019,-104.8960037,3.3e-05
o3_sim_7,27.286764,o3_sim_7,39.3174019,-104.9990005,5.25e-05
o3_sim_8,29.406254,o3_sim_8,39.3174019,-105.1019974,1.76e-05
o3_sim_9,33.69886,o3_sim_9,39.3174019,-105.2050018,1.26e-05
o3_sim_10,33.3046,o3_sim_10,39.3174019,-105.3079987,1.25e-05
o3_sim_11,35.681892,o3_sim_11,39.3174019,-105.4110031,4.59e-05
o3_sim_12,46.781002,o3_sim_12,39.3174019,-105.5139999,8.53e-05
o3_sim_13,45.825832,o3_sim_13,39.3174019,-105.6169968,8.36e-05
o3_sim_14,43.944798,o3_sim_14,39.3174019,-105.7200012,7.47e-05
o3_sim_15,30.399612,o3_sim_15,39.4205017,-104.3799973,7.11e-05
o3_sim_16,34.931458,o3_sim_16,39.4205017,-104.4830017,4.4e-06
o3_sim_17,27.026346,o3_sim_17,39.4205017,-104.5859985,8.01e-05
o3_sim_18,24.311693,o3_sim_18,39.4205017,-104.6900024,7.38e-05
o3_sim_19,23.76496,o3_sim_19,39.4205017,-104.7929993,4.2e-05
o3_sim_20,27.95675,o3_sim_20,39.4205017,-104.8960037,9.02e-05
o3_sim_21,29.618832,o3_sim_21,39.4205017,-104.9990005,9.91e-05
o3_sim_22,35.79271,o3_sim_22,39.4205017,-105.1019974,7.23e-05
o3_sim_23,32.821953,o3_sim_23,39.4205017,-105.2050018,9.76e-05
o3_sim_24,39.522015,o3_sim_24,39.4205017,-105.3079987,9.47e-05
o3_sim_25,36.444653,o3_sim_25,39.4205017,-105.4110031,6.83e-05
o3_sim_26,40.65195,o3_sim_26,39.4205017,-105.5139999,9.13e-05
o3_sim_27,41.687645,o3_sim_27,39.4205017,-105.6169968,3.56e-05
o3_sim_28,43.19587,o3_sim_28,39.4205017,-105.7200012,8.05e-05
o3_sim_29,36.756546,o3_sim_29,39.5236015,-104.3799973,9.55e-05
