,o3,site,latitude,longitude
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,48.120316,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,49.60836,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.26766,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_Evergreen_1_,41.653847,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,45.188065,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.685593,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.664185,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,41.64746,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.421577,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,47.45004,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,44.69446,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
