,date,preds_0_Highlands Ranch,actual,preds_1_Highlands Ranch,preds_2_Highlands Ranch,preds_3_Highlands Ranch,preds_4_Highlands Ranch,preds_5_Highlands Ranch,preds_6_Highlands Ranch,preds_7_Highlands Ranch,site_name,lat,lon
29,2023-05-03 12:00:00+00:00,0.032394275,0.033,0.03403879,0.0365025,0.0373819,0.03714175,0.037290182,0.036775023,0.036001828,Highlands Ranch,39.567887,-104.957193
30,2023-05-03 13:00:00+00:00,0.030901203,0.033,0.030162226,0.031292904,0.032644644,0.032699462,0.032452527,0.032475993,0.03196023,Highlands Ranch,39.567887,-104.957193
31,2023-05-03 14:00:00+00:00,0.034632828,0.035,0.032184903,0.03174161,0.032254804,0.032594375,0.032103416,0.031940114,0.031829458,Highlands Ranch,39.567887,-104.957193
32,2023-05-03 15:00:00+00:00,0.03824709,0.042,0.037843242,0.03630616,0.03607907,0.03631597,0.0363466,0.036008596,0.035985976,Highlands Ranch,39.567887,-104.957193
33,2023-05-03 16:00:00+00:00,0.047133297,0.045,0.04345744,0.0431909,0.042295236,0.042164676,0.042287752,0.042299327,0.042214833,Highlands Ranch,39.567887,-104.957193
34,2023-05-03 17:00:00+00:00,0.049347665,0.048,0.051504888,0.04884487,0.04868587,0.04823352,0.048196916,0.04818471,0.04806051,Highlands Ranch,39.567887,-104.957193
35,2023-05-03 18:00:00+00:00,0.050592273,0.054,0.052259244,0.054035798,0.05245306,0.052384768,0.05240563,0.052478306,0.05227096,Highlands Ranch,39.567887,-104.957193
36,2023-05-03 19:00:00+00:00,0.056125198,0.059000000000000004,0.051736426,0.05323778,0.054476555,0.053634252,0.053622253,0.053881116,0.054013908,Highlands Ranch,39.567887,-104.957193
37,2023-05-03 20:00:00+00:00,0.058846917,0.06,0.055422027,0.051532716,0.052762292,0.0538235,0.05270122,0.052643042,0.052644793,Highlands Ranch,39.567887,-104.957193
38,2023-05-03 21:00:00+00:00,0.05893371,0.062000000000000006,0.057586513,0.054484505,0.051202223,0.052315716,0.053585034,0.051829726,0.051719114,Highlands Ranch,39.567887,-104.957193
39,2023-05-03 22:00:00+00:00,0.061281826,0.064,0.05773991,0.056469932,0.054089926,0.05145613,0.052522786,0.05391992,0.05201224,Highlands Ranch,39.567887,-104.957193
40,2023-05-03 23:00:00+00:00,0.06343078,0.065,0.06015708,0.05676857,0.055772673,0.05391565,0.051521577,0.052551582,0.053826742,Highlands Ranch,39.567887,-104.957193
41,2023-05-04 00:00:00+00:00,0.06300704,0.061,0.06103534,0.057913676,0.055217046,0.054414533,0.052806053,0.050664663,0.051530246,Highlands Ranch,39.567887,-104.957193
42,2023-05-04 01:00:00+00:00,0.056099944,0.056999999999999995,0.058027163,0.056273565,0.053878985,0.05157211,0.0509213,0.049766276,0.048334867,Highlands Ranch,39.567887,-104.957193
43,2023-05-04 02:00:00+00:00,0.054143704,0.055,0.053323284,0.05497437,0.053853773,0.051870387,0.049805023,0.04925819,0.04859349,Highlands Ranch,39.567887,-104.957193
44,2023-05-04 03:00:00+00:00,0.053057823,0.053,0.05229,0.051673636,0.05245642,0.051612623,0.04988381,0.048273608,0.047927,Highlands Ranch,39.567887,-104.957193
45,2023-05-04 04:00:00+00:00,0.050436668,0.055,0.050487585,0.04998663,0.049652983,0.050541487,0.049639963,0.048197802,0.047001675,Highlands Ranch,39.567887,-104.957193
46,2023-05-04 05:00:00+00:00,0.05194995,0.056,0.04809521,0.04812605,0.047836605,0.047513846,0.04816557,0.04762386,0.046690702,Highlands Ranch,39.567887,-104.957193
47,2023-05-04 06:00:00+00:00,0.052135758,0.054,0.04863144,0.04658799,0.046602417,0.046392664,0.046208378,0.046490878,0.046224423,Highlands Ranch,39.567887,-104.957193
48,2023-05-04 07:00:00+00:00,0.05014667,0.056,0.04861096,0.04687848,0.04592257,0.045931,0.045824163,0.045742728,0.045887645,Highlands Ranch,39.567887,-104.957193
49,2023-05-04 08:00:00+00:00,0.05332424,0.056,0.048858963,0.04808522,0.04696027,0.046237897,0.046246316,0.046122234,0.045991994,Highlands Ranch,39.567887,-104.957193
50,2023-05-04 09:00:00+00:00,0.0520261,0.048,0.049751166,0.04734501,0.04672878,0.04581256,0.04489541,0.044907205,0.04473945,Highlands Ranch,39.567887,-104.957193
51,2023-05-04 10:00:00+00:00,0.04453753,0.037,0.048520163,0.047000986,0.0449582,0.044532206,0.043625973,0.042599954,0.04261257,Highlands Ranch,39.567887,-104.957193
52,2023-05-04 11:00:00+00:00,0.033700004,0.038,0.04143478,0.04487377,0.043563012,0.042210758,0.041812234,0.04084573,0.03982056,Highlands Ranch,39.567887,-104.957193
53,2023-05-04 12:00:00+00:00,0.036505207,0.03,0.0327661,0.03799822,0.041050494,0.040043347,0.03890046,0.03853796,0.037751887,Highlands Ranch,39.567887,-104.957193
54,2023-05-04 13:00:00+00:00,0.034109555,0.032,0.038717505,0.03645801,0.03988269,0.042232417,0.04133806,0.040173274,0.03981922,Highlands Ranch,39.567887,-104.957193
55,2023-05-04 14:00:00+00:00,0.037229113,0.037,0.03841778,0.04142566,0.04012321,0.04225087,0.044271704,0.043376394,0.04206283,Highlands Ranch,39.567887,-104.957193
56,2023-05-04 15:00:00+00:00,0.04089501,0.042,0.041089505,0.041982416,0.043132465,0.042511344,0.044343084,0.045771547,0.04514298,Highlands Ranch,39.567887,-104.957193
57,2023-05-04 16:00:00+00:00,0.04348137,0.047,0.0424202,0.042541377,0.042640284,0.042550437,0.042262197,0.043167178,0.043564584,Highlands Ranch,39.567887,-104.957193
58,2023-05-04 17:00:00+00:00,0.049747806,0.052,0.045671538,0.044893414,0.044916466,0.04467812,0.044140708,0.044276647,0.043885816,Highlands Ranch,39.567887,-104.957193
59,2023-05-04 18:00:00+00:00,0.052529924,0.055,0.049943868,0.04700153,0.046718802,0.04669501,0.046338346,0.04539079,0.045932215,Highlands Ranch,39.567887,-104.957193
60,2023-05-04 19:00:00+00:00,0.054726657,0.056999999999999995,0.051632613,0.049509868,0.047791883,0.0477538,0.04770146,0.047193784,0.046075504,Highlands Ranch,39.567887,-104.957193
61,2023-05-04 20:00:00+00:00,0.053713746,0.05800000000000001,0.051289808,0.04909241,0.04749935,0.045892783,0.045775432,0.04573988,0.045355856,Highlands Ranch,39.567887,-104.957193
62,2023-05-04 21:00:00+00:00,0.05786933,0.054,0.053016644,0.051139567,0.04937869,0.04820105,0.047117315,0.04703698,0.047019213,Highlands Ranch,39.567887,-104.957193
63,2023-05-04 22:00:00+00:00,0.04866931,0.05,0.05314037,0.049993128,0.04893594,0.048006035,0.047283795,0.046466254,0.046339173,Highlands Ranch,39.567887,-104.957193
64,2023-05-04 23:00:00+00:00,0.051008023,0.052,0.04958051,0.052355733,0.050540105,0.049763963,0.04883717,0.04806895,0.04725893,Highlands Ranch,39.567887,-104.957193
65,2023-05-05 00:00:00+00:00,0.048044086,0.054,0.046959132,0.045994613,0.048037518,0.046402607,0.045676246,0.044815455,0.044184435,Highlands Ranch,39.567887,-104.957193
66,2023-05-05 01:00:00+00:00,0.051071826,0.053,0.04575009,0.0452099,0.044692043,0.0459281,0.0446815,0.044065855,0.043312844,Highlands Ranch,39.567887,-104.957193
67,2023-05-05 02:00:00+00:00,0.049915537,0.048,0.047848865,0.044461496,0.04409491,0.04353829,0.04514901,0.04350823,0.042593453,Highlands Ranch,39.567887,-104.957193
68,2023-05-05 03:00:00+00:00,0.043480385,0.041,0.0456662,0.0441717,0.041675266,0.04119614,0.040478557,0.042433795,0.04066208,Highlands Ranch,39.567887,-104.957193
69,2023-05-05 04:00:00+00:00,0.038795017,0.037,0.04136109,0.042919803,0.041790213,0.03900425,0.03852892,0.03800055,0.039341044,Highlands Ranch,39.567887,-104.957193
70,2023-05-05 05:00:00+00:00,0.03615225,0.033,0.037738983,0.039327074,0.04041582,0.03931206,0.03676701,0.036496043,0.036294956,Highlands Ranch,39.567887,-104.957193
71,2023-05-05 06:00:00+00:00,0.033587236,0.037,0.03612405,0.037012234,0.03790826,0.038805705,0.03793447,0.036536723,0.036412947,Highlands Ranch,39.567887,-104.957193
72,2023-05-05 07:00:00+00:00,0.037983052,0.023,0.035303984,0.03650379,0.03672731,0.037059743,0.03749867,0.03712833,0.0364644,Highlands Ranch,39.567887,-104.957193
73,2023-05-05 08:00:00+00:00,0.026817385,0.024,0.03786227,0.03656551,0.0363592,0.03618108,0.03624041,0.03641438,0.036214847,Highlands Ranch,39.567887,-104.957193
74,2023-05-05 09:00:00+00:00,0.030878792,0.026,0.032759063,0.03670128,0.036861718,0.036391757,0.036330663,0.036448713,0.036617126,Highlands Ranch,39.567887,-104.957193
75,2023-05-05 10:00:00+00:00,0.03032378,0.032,0.034658298,0.035691552,0.03626236,0.036514916,0.0364239,0.03644526,0.036501497,Highlands Ranch,39.567887,-104.957193
76,2023-05-05 11:00:00+00:00,0.029811924,0.035,0.027882753,0.03136371,0.032248285,0.03391985,0.033758868,0.033973783,0.034029152,Highlands Ranch,39.567887,-104.957193
77,2023-05-05 12:00:00+00:00,0.029395387,0.031000000000000003,0.02315498,0.022149997,0.023782471,0.024501543,0.02681595,0.02639347,0.026604751,Highlands Ranch,39.567887,-104.957193
78,2023-05-05 13:00:00+00:00,0.030343506,0.03,0.028704176,0.025862128,0.025520887,0.026060253,0.026146991,0.026649246,0.02660045,Highlands Ranch,39.567887,-104.957193
79,2023-05-05 14:00:00+00:00,0.034532703,0.037,0.03482323,0.03412725,0.033377748,0.033124752,0.033727773,0.033918135,0.034317926,Highlands Ranch,39.567887,-104.957193
80,2023-05-05 15:00:00+00:00,0.041296843,0.05,0.039080594,0.03921817,0.0390642,0.038480856,0.038102288,0.039447367,0.040168975,Highlands Ranch,39.567887,-104.957193
81,2023-05-05 16:00:00+00:00,0.05189842,0.055,0.045753676,0.044695757,0.04471767,0.04466476,0.04376695,0.043363173,0.044743605,Highlands Ranch,39.567887,-104.957193
82,2023-05-05 17:00:00+00:00,0.055208165,0.061,0.053287912,0.051676765,0.051869307,0.051827326,0.05191381,0.051903225,0.051883396,Highlands Ranch,39.567887,-104.957193
83,2023-05-05 18:00:00+00:00,0.059747525,0.062000000000000006,0.055840906,0.054976534,0.05557307,0.056154944,0.056087833,0.05634398,0.05722069,Highlands Ranch,39.567887,-104.957193
84,2023-05-05 19:00:00+00:00,0.0594729,0.063,0.057889998,0.055849023,0.055775676,0.057211686,0.057616983,0.05758572,0.057702944,Highlands Ranch,39.567887,-104.957193
85,2023-05-05 20:00:00+00:00,0.060237348,0.062000000000000006,0.05795609,0.057094887,0.05635364,0.056342393,0.056518257,0.056553494,0.056544054,Highlands Ranch,39.567887,-104.957193
86,2023-05-05 21:00:00+00:00,0.05826683,0.061,0.057037067,0.05542596,0.05486345,0.05384616,0.053568784,0.053667333,0.053920116,Highlands Ranch,39.567887,-104.957193
87,2023-05-05 22:00:00+00:00,0.058149736,0.061,0.05587701,0.054905076,0.05384161,0.053331133,0.0524799,0.05241521,0.053353466,Highlands Ranch,39.567887,-104.957193
88,2023-05-05 23:00:00+00:00,0.060194105,0.062000000000000006,0.057490103,0.055775534,0.054938503,0.053646624,0.05309748,0.05264754,0.05291437,Highlands Ranch,39.567887,-104.957193
89,2023-05-06 00:00:00+00:00,0.060582936,0.065,0.05850199,0.05667109,0.0550781,0.05426215,0.053055853,0.05268734,0.0528185,Highlands Ranch,39.567887,-104.957193
90,2023-05-06 01:00:00+00:00,0.06306234,0.066,0.05869708,0.05735544,0.055773012,0.05391594,0.053012963,0.051901083,0.051680442,Highlands Ranch,39.567887,-104.957193
91,2023-05-06 02:00:00+00:00,0.06023911,0.056,0.057342157,0.054575182,0.053735346,0.05231889,0.050676595,0.049836915,0.048832517,Highlands Ranch,39.567887,-104.957193
92,2023-05-06 03:00:00+00:00,0.049427982,0.056,0.053366475,0.0517255,0.05042228,0.04993152,0.048913255,0.047683243,0.04702395,Highlands Ranch,39.567887,-104.957193
93,2023-05-06 04:00:00+00:00,0.05454894,0.049,0.04868481,0.050298795,0.04993769,0.049597334,0.04928945,0.04857781,0.047638394,Highlands Ranch,39.567887,-104.957193
94,2023-05-06 05:00:00+00:00,0.045291908,0.048,0.050112326,0.047821563,0.04866945,0.048353665,0.047922336,0.04773308,0.04722612,Highlands Ranch,39.567887,-104.957193
95,2023-05-06 06:00:00+00:00,0.044910047,0.046,0.042420253,0.04544087,0.043003164,0.044311244,0.043905064,0.04381004,0.043759696,Highlands Ranch,39.567887,-104.957193
96,2023-05-06 07:00:00+00:00,0.04209937,0.046,0.041139796,0.039481778,0.042044252,0.0399416,0.040673334,0.0406387,0.04106148,Highlands Ranch,39.567887,-104.957193
97,2023-05-06 08:00:00+00:00,0.040630657,0.041,0.03832741,0.038016386,0.037729003,0.038252052,0.037921056,0.038022134,0.037997074,Highlands Ranch,39.567887,-104.957193
98,2023-05-06 09:00:00+00:00,0.03899674,0.037,0.038832445,0.038486183,0.038444467,0.038373612,0.03846023,0.038132414,0.03850402,Highlands Ranch,39.567887,-104.957193
99,2023-05-06 10:00:00+00:00,0.036538724,0.044,0.03758582,0.037544392,0.03729385,0.037205704,0.03686849,0.037431706,0.037097484,Highlands Ranch,39.567887,-104.957193
100,2023-05-06 11:00:00+00:00,0.0430171,0.047,0.036384765,0.03698496,0.036948603,0.036531243,0.036323033,0.0356325,0.03684411,Highlands Ranch,39.567887,-104.957193
101,2023-05-06 12:00:00+00:00,0.04482865,0.045,0.039988656,0.03381554,0.034258846,0.034210242,0.0333198,0.03297757,0.032120574,Highlands Ranch,39.567887,-104.957193
102,2023-05-06 13:00:00+00:00,0.04492718,0.044,0.044763915,0.04073331,0.035700124,0.03594824,0.03594053,0.03586694,0.035857152,Highlands Ranch,39.567887,-104.957193
103,2023-05-06 14:00:00+00:00,0.045850325,0.047,0.046637982,0.04653186,0.044048317,0.041113846,0.041262016,0.041269813,0.041468237,Highlands Ranch,39.567887,-104.957193
104,2023-05-06 15:00:00+00:00,0.048941284,0.048,0.047921073,0.048322175,0.048278738,0.047041174,0.04492762,0.04508385,0.045087595,Highlands Ranch,39.567887,-104.957193
105,2023-05-06 16:00:00+00:00,0.050668884,0.052,0.05164328,0.050955888,0.051196918,0.051170703,0.050420944,0.04929947,0.049371112,Highlands Ranch,39.567887,-104.957193
106,2023-05-06 17:00:00+00:00,0.053807024,0.055,0.052106198,0.0528904,0.052386597,0.05255525,0.052539118,0.052247018,0.052129973,Highlands Ranch,39.567887,-104.957193
107,2023-05-06 18:00:00+00:00,0.055914428,0.05800000000000001,0.054235768,0.052678205,0.05340025,0.05293307,0.053070683,0.053061523,0.053023845,Highlands Ranch,39.567887,-104.957193
108,2023-05-06 19:00:00+00:00,0.059246443,0.06,0.056271028,0.054623045,0.05308696,0.053808678,0.05334707,0.053489093,0.05348055,Highlands Ranch,39.567887,-104.957193
109,2023-05-06 20:00:00+00:00,0.05926071,0.061,0.0581856,0.05518234,0.05348906,0.051869333,0.052654814,0.052119408,0.05228802,Highlands Ranch,39.567887,-104.957193
110,2023-05-06 21:00:00+00:00,0.05886477,0.062000000000000006,0.056681912,0.055706892,0.052912045,0.05131247,0.049701896,0.05052108,0.0499408,Highlands Ranch,39.567887,-104.957193
111,2023-05-06 22:00:00+00:00,0.060014274,0.06,0.056692474,0.054910515,0.05408431,0.051741436,0.05035425,0.048926782,0.049673527,Highlands Ranch,39.567887,-104.957193
