,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_1,55.795647,o3_sim_Evergreen_1,39.620382299999996,-105.33872,2.57e-05
o3_sim_Idaho Springs_1,51.161324,o3_sim_Idaho Springs_1,39.7924679,-105.49127,5.11e-05
o3_sim_Five Points_1,53.286545,o3_sim_Five Points_1,39.7511661,-104.987625,1.79e-05
o3_sim_Welby_1,52.584267,o3_sim_Welby_1,39.8380743,-104.94984,4.47e-05
o3_sim_Highlands Ranch_1,60.520023,o3_sim_Highlands Ranch_1,39.5678783,-104.957193,8.7e-06
o3_sim_Rocky Flats_1,53.25809,o3_sim_Rocky Flats_1,39.9127476,-105.188587,5.14e-05
o3_sim_Boulder_1,56.41687,o3_sim_Boulder_1,40.0699424,-105.220238,7.36e-05
o3_sim_Chatfield Reservoir_1,68.50252,o3_sim_Chatfield Reservoir_1,39.534462100000006,-105.070358,2.59e-05
o3_sim_Sunnyside_1,51.963364,o3_sim_Sunnyside_1,39.7794255,-105.00518,6.45e-05
o3_sim_East Plains_1,50.911182,o3_sim_East Plains_1,39.6384411,-104.569335,8.09e-05
