,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_1,45.996033,o3_sim_Evergreen_1,39.620328799999996,-105.33872,7.92e-05
o3_sim_Idaho Springs_1,65.50962,o3_sim_Idaho Springs_1,39.7924842,-105.49127,3.48e-05
o3_sim_Five Points_1,51.904015,o3_sim_Five Points_1,39.7511596,-104.987625,2.44e-05
o3_sim_Welby_1,50.205963,o3_sim_Welby_1,39.8380235,-104.94984,9.55e-05
o3_sim_Highlands Ranch_1,55.634014,o3_sim_Highlands Ranch_1,39.5677927,-104.957193,9.43e-05
o3_sim_Rocky Flats_1,53.82579,o3_sim_Rocky Flats_1,39.9127199,-105.188587,7.91e-05
o3_sim_Boulder_1,60.150265,o3_sim_Boulder_1,40.0699878,-105.220238,2.82e-05
o3_sim_Chatfield Reservoir_1,63.944626,o3_sim_Chatfield Reservoir_1,39.534476500000004,-105.070358,1.15e-05
o3_sim_Sunnyside_1,56.415924,o3_sim_Sunnyside_1,39.7794486,-105.00518,4.14e-05
o3_sim_East Plains_1,51.391205,o3_sim_East Plains_1,39.6385065,-104.569335,1.55e-05
