,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_9,21.574215,o3_sim_Evergreen_9,39.6203417,-105.33872,6.63e-05
o3_sim_Idaho Springs_9,40.942707,o3_sim_Idaho Springs_9,39.792419599999995,-105.49127,9.94e-05
o3_sim_Five Points_9,39.177624,o3_sim_Five Points_9,39.7511536,-104.987625,3.04e-05
o3_sim_Welby_9,29.274223,o3_sim_Welby_9,39.838107,-104.94984,1.2e-05
o3_sim_Highlands Ranch_9,39.82941,o3_sim_Highlands Ranch_9,39.5678856,-104.957193,1.4e-06
o3_sim_Rocky Flats_9,46.462166,o3_sim_Rocky Flats_9,39.9127182,-105.188587,8.08e-05
o3_sim_Boulder_9,42.199383,o3_sim_Boulder_9,40.0699496,-105.220238,6.64e-05
o3_sim_Chatfield Reservoir_9,40.945732,o3_sim_Chatfield Reservoir_9,39.534427400000006,-105.070358,6.06e-05
o3_sim_Sunnyside_9,34.69042,o3_sim_Sunnyside_9,39.7794572,-105.00518,3.28e-05
o3_sim_East Plains_9,40.793633,o3_sim_East Plains_9,39.6385065,-104.569335,1.55e-05
o3_sim_Evergreen_9,21.574215,o3_sim_Evergreen_9,39.620388899999995,-105.33872,1.91e-05
o3_sim_Idaho Springs_9,40.942707,o3_sim_Idaho Springs_9,39.7924669,-105.49127,5.21e-05
o3_sim_Five Points_9,39.177624,o3_sim_Five Points_9,39.7511159,-104.987625,6.81e-05
o3_sim_Welby_9,29.274223,o3_sim_Welby_9,39.8380861,-104.94984,3.29e-05
o3_sim_Highlands Ranch_9,39.82941,o3_sim_Highlands Ranch_9,39.5678106,-104.957193,7.64e-05
o3_sim_Rocky Flats_9,46.462166,o3_sim_Rocky Flats_9,39.9127014,-105.188587,9.76e-05
o3_sim_Boulder_9,42.199383,o3_sim_Boulder_9,40.069949300000005,-105.220238,6.67e-05
o3_sim_Chatfield Reservoir_9,40.945732,o3_sim_Chatfield Reservoir_9,39.5344369,-105.070358,5.11e-05
o3_sim_Sunnyside_9,34.69042,o3_sim_Sunnyside_9,39.7794048,-105.00518,8.52e-05
o3_sim_East Plains_9,40.793633,o3_sim_East Plains_9,39.6384829,-104.569335,3.91e-05
o3_sim_140,46.782864,o3_sim_140,40.2452011,-105.7200012,6.8e-05
o3_sim_1,39.489594,o3_sim_1,39.3174019,-104.3799973,2.8e-06
o3_sim_2,35.76934,o3_sim_2,39.3174019,-104.4830017,1.24e-05
o3_sim_3,37.409348,o3_sim_3,39.3174019,-104.5859985,7.42e-05
o3_sim_4,30.588291,o3_sim_4,39.3174019,-104.6900024,8.9e-06
o3_sim_5,35.53874,o3_sim_5,39.3174019,-104.7929993,5.85e-05
o3_sim_6,31.730381,o3_sim_6,39.3174019,-104.8960037,4.83e-05
o3_sim_7,45.009907,o3_sim_7,39.3174019,-104.9990005,1.27e-05
o3_sim_8,41.418148,o3_sim_8,39.3174019,-105.1019974,8.29e-05
o3_sim_9,38.618446,o3_sim_9,39.3174019,-105.2050018,8.93e-05
o3_sim_10,34.368294,o3_sim_10,39.3174019,-105.3079987,1.2e-06
o3_sim_11,36.52523,o3_sim_11,39.3174019,-105.4110031,6.66e-05
o3_sim_12,43.7944,o3_sim_12,39.3174019,-105.5139999,7.22e-05
o3_sim_13,42.260857,o3_sim_13,39.3174019,-105.6169968,1.74e-05
o3_sim_14,47.139458,o3_sim_14,39.3174019,-105.7200012,1.63e-05
o3_sim_15,39.17056,o3_sim_15,39.4205017,-104.3799973,5.92e-05
o3_sim_16,33.692425,o3_sim_16,39.4205017,-104.4830017,3.58e-05
o3_sim_17,31.963522,o3_sim_17,39.4205017,-104.5859985,4.62e-05
o3_sim_18,33.57363,o3_sim_18,39.4205017,-104.6900024,1e-05
o3_sim_19,34.30578,o3_sim_19,39.4205017,-104.7929993,7.32e-05
o3_sim_20,37.977005,o3_sim_20,39.4205017,-104.8960037,7.45e-05
o3_sim_21,46.372234,o3_sim_21,39.4205017,-104.9990005,9.98e-05
o3_sim_22,40.22339,o3_sim_22,39.4205017,-105.1019974,3.24e-05
o3_sim_23,35.378265,o3_sim_23,39.4205017,-105.2050018,9.01e-05
o3_sim_24,39.185978,o3_sim_24,39.4205017,-105.3079987,2.84e-05
o3_sim_25,41.33083,o3_sim_25,39.4205017,-105.4110031,6.78e-05
o3_sim_26,45.490646,o3_sim_26,39.4205017,-105.5139999,4.5e-06
o3_sim_27,45.495995,o3_sim_27,39.4205017,-105.6169968,3.59e-05
o3_sim_28,48.920826,o3_sim_28,39.4205017,-105.7200012,3.6e-06
o3_sim_29,37.87404,o3_sim_29,39.5236015,-104.3799973,9.77e-05
o3_sim_30,34.230164,o3_sim_30,39.5236015,-104.4830017,7.8e-05
o3_sim_31,36.39828,o3_sim_31,39.5236015,-104.5859985,5.44e-05
o3_sim_32,41.201904,o3_sim_32,39.5236015,-104.6900024,5.99e-05
o3_sim_33,49.341064,o3_sim_33,39.5236015,-104.7929993,7.52e-05
o3_sim_34,41.559967,o3_sim_34,39.5236015,-104.8960037,7.83e-05
o3_sim_35,42.482166,o3_sim_35,39.5236015,-104.9990005,2.18e-05
