OID_,Id,latitude,longitude
1,0,39.3174019,-105.7200012
2,0,39.3174019,-105.6169968
3,0,39.3174019,-105.5139999
4,0,39.3174019,-105.4110031
5,0,39.3174019,-105.3079987
6,0,39.3174019,-105.2050018
7,0,39.3174019,-105.1019974
8,0,39.3174019,-104.9990005
9,0,39.3174019,-104.8960037
10,0,39.3174019,-104.7929993
11,0,39.3174019,-104.6900024
12,0,39.3174019,-104.5859985
13,0,39.3174019,-104.4830017
14,0,39.3174019,-104.3799973
15,0,39.4205017,-105.7200012
16,0,39.4205017,-105.6169968
17,0,39.4205017,-105.5139999
18,0,39.4205017,-105.4110031
19,0,39.4205017,-105.3079987
20,0,39.4205017,-105.2050018
21,0,39.4205017,-105.1019974
22,0,39.4205017,-104.9990005
23,0,39.4205017,-104.8960037
24,0,39.4205017,-104.7929993
25,0,39.4205017,-104.6900024
26,0,39.4205017,-104.5859985
27,0,39.4205017,-104.4830017
28,0,39.4205017,-104.3799973
29,0,39.5236015,-105.7200012
30,0,39.5236015,-105.6169968
31,0,39.5236015,-105.5139999
32,0,39.5236015,-105.4110031
33,0,39.5236015,-105.3079987
34,0,39.5236015,-105.2050018
35,0,39.5236015,-105.1019974
36,0,39.5236015,-104.9990005
37,0,39.5236015,-104.8960037
38,0,39.5236015,-104.7929993
39,0,39.5236015,-104.6900024
40,0,39.5236015,-104.5859985
41,0,39.5236015,-104.4830017
42,0,39.5236015,-104.3799973
43,0,39.6265984,-105.7200012
44,0,39.6265984,-105.6169968
45,0,39.6265984,-105.5139999
46,0,39.6265984,-105.4110031
47,0,39.6265984,-105.3079987
48,0,39.6265984,-105.2050018
49,0,39.6265984,-105.1019974
50,0,39.6265984,-104.9990005
51,0,39.6265984,-104.8960037
52,0,39.6265984,-104.7929993
53,0,39.6265984,-104.6900024
54,0,39.6265984,-104.5859985
55,0,39.6265984,-104.4830017
56,0,39.6265984,-104.3799973
57,0,39.7296982,-105.7200012
58,0,39.7296982,-105.6169968
59,0,39.7296982,-105.5139999
60,0,39.7296982,-105.4110031
61,0,39.7296982,-105.3079987
62,0,39.7296982,-105.2050018
63,0,39.7296982,-105.1019974
64,0,39.7296982,-104.9990005
65,0,39.7296982,-104.8960037
66,0,39.7296982,-104.7929993
67,0,39.7296982,-104.6900024
68,0,39.7296982,-104.5859985
69,0,39.7296982,-104.4830017
70,0,39.7296982,-104.3799973
71,0,39.8328018,-105.7200012
72,0,39.8328018,-105.6169968
73,0,39.8328018,-105.5139999
74,0,39.8328018,-105.4110031
75,0,39.8328018,-105.3079987
76,0,39.8328018,-105.2050018
77,0,39.8328018,-105.1019974
78,0,39.8328018,-104.9990005
79,0,39.8328018,-104.8960037
80,0,39.8328018,-104.7929993
81,0,39.8328018,-104.6900024
82,0,39.8328018,-104.5859985
83,0,39.8328018,-104.4830017
84,0,39.8328018,-104.3799973
85,0,39.9359016,-105.7200012
86,0,39.9359016,-105.6169968
87,0,39.9359016,-105.5139999
88,0,39.9359016,-105.4110031
89,0,39.9359016,-105.3079987
90,0,39.9359016,-105.2050018
91,0,39.9359016,-105.1019974
92,0,39.9359016,-104.9990005
93,0,39.9359016,-104.8960037
94,0,39.9359016,-104.7929993
95,0,39.9359016,-104.6900024
96,0,39.9359016,-104.5859985
97,0,39.9359016,-104.4830017
98,0,39.9359016,-104.3799973
99,0,40.0390015,-105.7200012
100,0,40.0390015,-105.6169968
101,0,40.0390015,-105.5139999
102,0,40.0390015,-105.4110031
103,0,40.0390015,-105.3079987
104,0,40.0390015,-105.2050018
105,0,40.0390015,-105.1019974
106,0,40.0390015,-104.9990005
107,0,40.0390015,-104.8960037
108,0,40.0390015,-104.7929993
109,0,40.0390015,-104.6900024
110,0,40.0390015,-104.5859985
111,0,40.0390015,-104.4830017
112,0,40.0390015,-104.3799973
113,0,40.1421013,-105.7200012
114,0,40.1421013,-105.6169968
115,0,40.1421013,-105.5139999
116,0,40.1421013,-105.4110031
117,0,40.1421013,-105.3079987
118,0,40.1421013,-105.2050018
119,0,40.1421013,-105.1019974
120,0,40.1421013,-104.9990005
121,0,40.1421013,-104.8960037
122,0,40.1421013,-104.7929993
123,0,40.1421013,-104.6900024
124,0,40.1421013,-104.5859985
125,0,40.1421013,-104.4830017
126,0,40.1421013,-104.3799973
127,0,40.2452011,-105.7200012
128,0,40.2452011,-105.6169968
129,0,40.2452011,-105.5139999
130,0,40.2452011,-105.4110031
131,0,40.2452011,-105.3079987
132,0,40.2452011,-105.2050018
133,0,40.2452011,-105.1019974
134,0,40.2452011,-104.9990005
135,0,40.2452011,-104.8960037
136,0,40.2452011,-104.7929993
137,0,40.2452011,-104.6900024
138,0,40.2452011,-104.5859985
139,0,40.2452011,-104.4830017
140,0,40.2452011,-104.3799973
