OID_,OID1,Id,latitude,longitude,NLCD_mean,orog
94,,0,39.9359016,-104.7929993,0.3333333,1553
95,,0,39.9359016,-104.6900024,0.2222222,1588
96,,0,39.9359016,-104.5859985,0.0000000,1588
97,,0,39.9359016,-104.4830017,0.0000000,1576
98,,0,39.9359016,-104.3799973,0.0000000,1554
99,,0,40.0390015,-105.7200012,0.0000000,3149
100,,0,40.0390015,-105.6169968,0.0000000,3830
101,,0,40.0390015,-105.5139999,0.0000000,2865
102,,0,40.0390015,-105.4110031,0.0000000,2299
103,,0,40.0390015,-105.3079987,0.2222222,2060
104,,0,40.0390015,-105.2050018,0.2222222,1573
105,,0,40.0390015,-105.1019974,0.1111111,1550
106,,0,40.0390015,-104.9990005,0.2222222,1602
107,,0,40.0390015,-104.8960037,0.0000000,1533
108,,0,40.0390015,-104.7929993,0.4444444,1524
109,,0,40.0390015,-104.6900024,0.2222222,1512
110,,0,40.0390015,-104.5859985,0.0000000,1523
111,,0,40.0390015,-104.4830017,0.0000000,1499
112,,0,40.0390015,-104.3799973,0.0000000,1503
113,,0,40.1421013,-105.7200012,0.0000000,3463
114,,0,40.1421013,-105.6169968,0.0000000,3429
115,,0,40.1421013,-105.5139999,0.0000000,2816
116,,0,40.1421013,-105.4110031,0.0000000,2528
117,,0,40.1421013,-105.3079987,0.0000000,1959
118,,0,40.1421013,-105.2050018,0.0000000,1571
119,,0,40.1421013,-105.1019974,0.7777778,1512
120,,0,40.1421013,-104.9990005,0.5555556,1488
121,,0,40.1421013,-104.8960037,0.0000000,1519
122,,0,40.1421013,-104.7929993,0.0000000,1502
123,,0,40.1421013,-104.6900024,0.0000000,1506
124,,0,40.1421013,-104.5859985,0.0000000,1491
125,,0,40.1421013,-104.4830017,0.0000000,1493
126,,0,40.1421013,-104.3799973,0.0000000,1445
127,,0,40.2452011,-105.7200012,0.0000000,3683
128,,0,40.2452011,-105.6169968,0.0000000,3625
129,,0,40.2452011,-105.5139999,0.1111111,2537
130,,0,40.2452011,-105.4110031,0.0000000,2295
131,,0,40.2452011,-105.3079987,0.1111111,1752
132,,0,40.2452011,-105.2050018,0.0000000,1703
133,,0,40.2452011,-105.1019974,0.0000000,1583
134,,0,40.2452011,-104.9990005,0.2222222,1523
135,,0,40.2452011,-104.8960037,0.0000000,1454
136,,0,40.2452011,-104.7929993,0.1111111,1463
137,,0,40.2452011,-104.6900024,0.2222222,1500
138,,0,40.2452011,-104.5859985,0.1111111,1460
139,,0,40.2452011,-104.4830017,0.0000000,1470
140,,0,40.2452011,-104.3799973,0.0000000,1440
