county_cod,site_numbe,pop_den,NLCD
59,14,392.4452209,0.2222222
59,11,77.2322769,0.4444444
59,6,0.2103525,0
13,14,5.9120688,0.6666667
47,3,0.2824137,0.2222222
35,4,0,0.2222222
31,26,2455.950928,1.6666666
31,2,5409.29834,1.8888888
5,6,4.2667007,0.2222222
5,2,2928.149658,1.1111112
1,3001,83.7331009,1.2222222
