OID_,Id,latitude,longitude
1,0,39.2770004,-105.7720032
2,0,39.2770004,-105.7409973
3,0,39.2770004,-105.7099991
4,0,39.2770004,-105.6790009
5,0,39.2770004,-105.6480026
6,0,39.2770004,-105.6169968
7,0,39.2770004,-105.5859985
8,0,39.2770004,-105.5550003
9,0,39.2770004,-105.5240021
10,0,39.2770004,-105.4929962
11,0,39.2770004,-105.4619980
12,0,39.2770004,-105.4319992
13,0,39.2770004,-105.4010010
14,0,39.2770004,-105.3700027
15,0,39.2770004,-105.3389969
16,0,39.2770004,-105.3079987
17,0,39.2770004,-105.2770004
18,0,39.2770004,-105.2460022
19,0,39.2770004,-105.2149963
20,0,39.2770004,-105.1839981
21,0,39.2770004,-105.1529999
22,0,39.2770004,-105.1220016
23,0,39.2770004,-105.0910034
24,0,39.2770004,-105.0599976
25,0,39.2770004,-105.0289993
26,0,39.2770004,-104.9990005
27,0,39.2770004,-104.9680023
28,0,39.2770004,-104.9369965
29,0,39.2770004,-104.9059982
30,0,39.2770004,-104.8750000
31,0,39.2770004,-104.8440018
32,0,39.2770004,-104.8130035
33,0,39.2770004,-104.7819977
34,0,39.2770004,-104.7509995
35,0,39.2770004,-104.7200012
36,0,39.2770004,-104.6890030
37,0,39.2770004,-104.6579971
38,0,39.2770004,-104.6269989
39,0,39.2770004,-104.5970001
40,0,39.2770004,-104.5660019
41,0,39.2770004,-104.5350037
42,0,39.2770004,-104.5039978
43,0,39.2770004,-104.4729996
44,0,39.2770004,-104.4420013
45,0,39.2770004,-104.4110031
46,0,39.2770004,-104.3799973
47,0,39.2770004,-104.3489990
48,0,39.2770004,-104.3180008
49,0,39.3078995,-105.7720032
50,0,39.3078995,-105.7409973
51,0,39.3078995,-105.7099991
52,0,39.3078995,-105.6790009
53,0,39.3078995,-105.6480026
54,0,39.3078995,-105.6169968
55,0,39.3078995,-105.5859985
56,0,39.3078995,-105.5550003
57,0,39.3078995,-105.5240021
58,0,39.3078995,-105.4929962
59,0,39.3078995,-105.4619980
60,0,39.3078995,-105.4319992
61,0,39.3078995,-105.4010010
62,0,39.3078995,-105.3700027
63,0,39.3078995,-105.3389969
64,0,39.3078995,-105.3079987
65,0,39.3078995,-105.2770004
66,0,39.3078995,-105.2460022
67,0,39.3078995,-105.2149963
68,0,39.3078995,-105.1839981
69,0,39.3078995,-105.1529999
70,0,39.3078995,-105.1220016
71,0,39.3078995,-105.0910034
72,0,39.3078995,-105.0599976
73,0,39.3078995,-105.0289993
74,0,39.3078995,-104.9990005
75,0,39.3078995,-104.9680023
76,0,39.3078995,-104.9369965
77,0,39.3078995,-104.9059982
78,0,39.3078995,-104.8750000
79,0,39.3078995,-104.8440018
80,0,39.3078995,-104.8130035
81,0,39.3078995,-104.7819977
82,0,39.3078995,-104.7509995
83,0,39.3078995,-104.7200012
84,0,39.3078995,-104.6890030
85,0,39.3078995,-104.6579971
86,0,39.3078995,-104.6269989
