,site,1 Hour RMSE,1 Hour R2,2 Hour RMSE,2 Hour R2,3 Hour RMSE,3 Hour R2,4 Hour RMSE,4 Hour R2,5 Hour RMSE,5 Hour R2,6 Hour RMSE,6 Hour R2
0,Evergreen,4.084595327180506,0.9354495862284593,6.009602833680155,0.8647396091477304,7.081156932778378,0.8177790228238286,7.733728276908217,0.7889055413734918,8.222002609437416,0.767852798251071,8.596888845611257,0.7523276251420281
1,Idaho Springs,3.366059861087584,0.8896143626998163,4.949859984540697,0.7667562414262473,5.846174480392779,0.6826254597208075,6.463132217186734,0.6209993339485926,6.861552726264822,0.5811713365349356,7.145458941888042,0.5539750520416322
2,Five Points,4.853679633527194,0.8909570374380772,6.916702924005954,0.7854262847008975,8.162989038013261,0.7088904079649514,8.991118967541341,0.6536512986396046,9.570236518695308,0.6131177750863361,9.968298968782435,0.5848291008082862
3,Welby,4.710886589814053,0.9364765577417697,7.412980035465216,0.8479582863535796,9.264083686348435,0.7704374211828896,10.527646154094876,0.7114320621924388,11.378133212661806,0.6696539584520262,11.936670613078316,0.6423807721714363
4,Highlands Ranch,3.5006553184463134,0.9163565054177873,5.200761472069015,0.8246511330819367,6.173199597242756,0.7657333786071194,6.809761997281055,0.7281167340344302,7.279811670844334,0.7015391310952273,7.663350694133523,0.6801284969521723
5,Rocky Flats,4.005795294192219,0.8656830772397855,5.337092625279834,0.7624462361236534,6.081250999279762,0.6930235771018614,6.540035885865338,0.6465326549394598,6.83906402197462,0.6149908763906775,7.066742195412514,0.5906637021690744
6,Boulder,3.9544068274305144,0.9162583907443871,5.533723615935559,0.8390270069152512,6.386176085878209,0.7904595724580304,6.992442306775805,0.7551780586155893,7.375628989315682,0.733972045830122,7.653386153183683,0.7193966121476689
7,Chatfield Reservoir,4.161062136348997,0.9188896359130359,6.039687119839638,0.8369319777164639,7.1379753922841624,0.7827013097587671,7.875895226064111,0.7460864471431607,8.406327235855356,0.7208010687456483,8.822504568737243,0.7015941287452998
8,Sunnyside,4.981675750071609,0.9171839871821885,7.355519926543075,0.8245841666162872,8.706338776653144,0.7617293604851753,9.654371323736164,0.7148687929305342,10.370784271400531,0.6786823738593375,10.920181769914667,0.6513480378493504
9,East Plains,3.623404847069474,0.8907980593213367,5.26552116680004,0.7810500656651294,6.236481285573997,0.7079238329437886,6.8722925610933725,0.6604355857136954,7.325700982916704,0.6280289231981604,7.690524498604647,0.6025966559257303
10,South Table,3.9261574035417723,0.9005558493580389,5.355867731954935,0.821649604274292,6.1951585260485365,0.7697781992773398,6.743447370284255,0.735954811282418,7.157278305493621,0.7107777466885172,7.465328682944364,0.6926528397437226
