,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon
1864,1864,2023-08-12 05:00:00,47.495503,49.0,47.587737,43.001816,46.61347,47.891956,47.971785000000004,48.871715,49.836535,"39.5236015,-104.3799973",39.5236015,-104.3799973
1864,1864,2023-08-12 05:00:00,47.792226,49.0,47.818872999999996,43.664303000000004,47.023160000000004,48.304899999999996,48.543945,49.576204,50.59576,"39.5236015,-104.4830017",39.5236015,-104.4830017
1864,1864,2023-08-12 05:00:00,47.132984,49.0,46.603117,41.83793,45.12187,46.173449999999995,46.355363,47.108064999999996,47.775347000000004,"39.5236015,-104.5859985",39.5236015,-104.5859985
1981,1981,2023-08-12 05:00:00,47.14892,49.0,46.38377,41.455377,44.46312,45.250147999999996,45.497614999999996,46.27246,47.042004999999996,"39.5236015,-104.6900024",39.5236015,-104.6900024
2136,2136,2023-08-12 05:00:00,47.637407,43.0,47.358032,42.589072,43.27667,45.075018,46.47035,48.905536999999995,49.86756,"39.5236015,-104.7929993",39.5236015,-104.7929993
2228,2228,2023-08-12 05:00:00,48.269755999999994,43.0,48.777956999999994,44.333927,44.965725,46.647727,47.913507,50.600592,51.6336,"39.5236015,-104.8960037",39.5236015,-104.8960037
2228,2228,2023-08-12 05:00:00,47.56906,43.0,47.761872,43.02931,43.590743,45.137204,46.380606,49.2449,50.021370000000005,"39.5236015,-104.9990005",39.5236015,-104.9990005
2228,2228,2023-08-12 05:00:00,52.17124,47.0,47.261808,44.308994,45.055218,46.892469999999996,47.827866,49.79659,50.292286999999995,"39.5236015,-105.1019974",39.5236015,-105.1019974
2260,2260,2023-08-12 05:00:00,51.713325,47.0,45.836043,42.003717,41.793234999999996,43.469958000000005,45.538343000000005,48.41004,48.93313,"39.5236015,-105.2050018",39.5236015,-105.2050018
2140,2140,2023-08-12 05:00:00,46.37379,33.0,31.135172,37.736658,29.495224,30.930687,34.383133,37.44116,37.93939,"39.5236015,-105.3079987",39.5236015,-105.3079987
2140,2140,2023-08-12 05:00:00,48.442423,33.0,33.957750000000004,43.445434,35.010654,37.240072999999995,41.170989999999996,44.595942,45.07948,"39.5236015,-105.4110031",39.5236015,-105.4110031
2140,2140,2023-08-12 05:00:00,49.593154,33.0,35.146784000000004,46.178993,37.38109,40.711906,46.79854,50.520368000000005,49.31079,"39.5236015,-105.5139999",39.5236015,-105.5139999
2140,2140,2023-08-12 05:00:00,51.377725,33.0,45.76576,54.505475,51.7285,54.826435,59.74396,62.387444,61.662096999999996,"39.5236015,-105.6169968",39.5236015,-105.6169968
2294,2294,2023-08-12 05:00:00,43.610543,39.0,48.33854,50.637997999999996,52.538298,54.366123,53.751703,54.517593000000005,55.34177,"39.5236015,-105.7200012",39.5236015,-105.7200012
1864,1864,2023-08-12 05:00:00,47.368556,49.0,47.349256,42.59293,46.03689,47.266647,47.446113,48.826274000000005,50.599426,"39.6265984,-104.3799973",39.6265984,-104.3799973
1864,1864,2023-08-12 05:00:00,47.75368,49.0,48.15635,43.81513,47.369827,48.572615,48.778657,50.11883,51.776543000000004,"39.6265984,-104.4830017",39.6265984,-104.4830017
1864,1864,2023-08-12 05:00:00,47.473967,49.0,47.386307,42.492000000000004,45.816466,47.169738,47.487814,48.55922,49.535540000000005,"39.6265984,-104.5859985",39.6265984,-104.5859985
1864,1864,2023-08-12 05:00:00,47.590654,49.0,47.77716,43.453075,46.614543000000005,47.75459,47.923300000000005,48.983180000000004,50.16764,"39.6265984,-104.6900024",39.6265984,-104.6900024
2019,2019,2023-08-12 05:00:00,47.530035999999996,43.0,47.416657,42.772487,43.463014,45.197540000000004,46.40983,48.902877,50.24912,"39.6265984,-104.7929993",39.6265984,-104.7929993
1809,1809,2023-08-12 05:00:00,47.639668,43.0,47.790617,43.151624999999996,43.81227,45.288187,46.336535,48.550826,49.673747,"39.6265984,-104.8960037",39.6265984,-104.8960037
2111,2111,2023-08-12 05:00:00,47.043822999999996,43.0,46.77728,41.437186000000004,41.820299999999996,43.011952,43.80638,45.985150000000004,46.84679,"39.6265984,-104.9990005",39.6265984,-104.9990005
2260,2260,2023-08-12 05:00:00,51.656846,47.0,45.985806999999994,42.68013,43.36105,45.14786,46.128522999999994,48.049296999999996,48.702866,"39.6265984,-105.1019974",39.6265984,-105.1019974
2328,2328,2023-08-12 05:00:00,49.60221799999999,48.0,49.116347,47.025909999999996,47.815427,49.295057,51.49574,57.338409999999996,57.454302999999996,"39.6265984,-105.2050018",39.6265984,-105.2050018
2140,2140,2023-08-12 05:00:00,46.293568,33.0,31.251254999999997,37.998784,30.221,32.145932,35.437692,38.031105000000004,38.690653,"39.6265984,-105.3079987",39.6265984,-105.3079987
2140,2140,2023-08-12 05:00:00,47.172897,33.0,33.556182,41.466817000000006,33.64333,35.66186,39.76625,42.242689999999996,42.928979999999996,"39.6265984,-105.4110031",39.6265984,-105.4110031
2293,2293,2023-08-12 05:00:00,42.61047,39.0,45.997277000000004,47.64551,50.269514,51.663714999999996,50.903459999999995,50.291743,50.955288,"39.6265984,-105.5139999",39.6265984,-105.5139999
2293,2293,2023-08-12 05:00:00,47.612417,39.0,53.741499999999995,56.74765,59.184864,61.056470000000004,60.94241,61.01565,62.152706,"39.6265984,-105.6169968",39.6265984,-105.6169968
2294,2294,2023-08-12 05:00:00,46.212114,39.0,52.046206,54.671668,57.204485,58.593467000000004,58.60293,59.657334999999996,60.852647000000005,"39.6265984,-105.7200012",39.6265984,-105.7200012
1980,1980,2023-08-12 05:00:00,47.370326,49.0,47.467902,42.859793,45.911998000000004,46.89443,46.943903,48.100617,49.79411,"39.7296982,-104.3799973",39.7296982,-104.3799973
1980,1980,2023-08-12 05:00:00,47.89342,49.0,48.38984000000001,44.65961,47.748823,48.727885,48.8744,50.038654,51.671130000000005,"39.7296982,-104.4830017",39.7296982,-104.4830017
1980,1980,2023-08-12 05:00:00,47.404766,49.0,47.967173,43.66438,46.784002,47.816325,47.929164,48.87278,50.347496,"39.7296982,-104.5859985",39.7296982,-104.5859985
1980,1980,2023-08-12 05:00:00,47.401376,49.0,47.279462,42.357933,45.654967,46.612899999999996,46.62995,47.579594,49.122024,"39.7296982,-104.6900024",39.7296982,-104.6900024
1888,1888,2023-08-12 05:00:00,41.500542,42.0,36.207277000000005,38.178526,40.87974,42.003840000000004,43.294575,45.50223,45.56962,"39.7296982,-104.7929993",39.7296982,-104.7929993
1935,1935,2023-08-12 05:00:00,45.481809999999996,47.0,41.4398,40.93781,43.373447000000006,44.73981,45.250434,48.578743,48.75694,"39.7296982,-104.8960037",39.7296982,-104.8960037
1935,1935,2023-08-12 05:00:00,45.350164,47.0,40.92270499999999,40.162288,42.504188,43.82804,44.247158,47.678683,47.593765000000005,"39.7296982,-104.9990005",39.7296982,-104.9990005
2244,2244,2023-08-12 05:00:00,48.171476,48.0,47.27669,44.682781999999996,46.040557,47.379659999999994,48.2597,51.49561,51.533125,"39.7296982,-105.1019974",39.7296982,-105.1019974
2244,2244,2023-08-12 05:00:00,49.120909999999995,48.0,49.186125,47.669783,49.27769,50.854877,52.182775,55.815566,55.57418,"39.7296982,-105.2050018",39.7296982,-105.2050018
2056,2056,2023-08-12 05:00:00,46.39657,33.0,34.181014000000005,41.098259999999996,34.978863,37.080996,40.508694999999996,43.229613,43.749365999999995,"39.7296982,-105.3079987",39.7296982,-105.3079987
2209,2209,2023-08-12 05:00:00,41.685883,39.0,44.276558,46.340924,47.682792,48.499305,48.8737,49.292456,49.86359,"39.7296982,-105.4110031",39.7296982,-105.4110031
2209,2209,2023-08-12 05:00:00,41.507125,39.0,43.62761,44.385284,45.214966000000004,46.247147000000005,46.774592,48.073992000000004,49.295068,"39.7296982,-105.5139999",39.7296982,-105.5139999
2293,2293,2023-08-12 05:00:00,46.437234000000004,39.0,52.935146,56.219917,58.303430000000006,63.500255,62.51147,63.608915,64.684875,"39.7296982,-105.6169968",39.7296982,-105.6169968
2293,2293,2023-08-12 05:00:00,45.55703,39.0,51.625012999999996,54.39215,55.779309999999995,58.003068,58.36778,60.39511,62.69322,"39.7296982,-105.7200012",39.7296982,-105.7200012
1683,1683,2023-08-12 05:00:00,47.15757,49.0,46.340123,41.550808,44.334263,45.043256,44.972546,45.95493,47.514055,"39.8328018,-104.3799973",39.8328018,-104.3799973
1683,1683,2023-08-12 05:00:00,47.3528,49.0,46.58487,41.753516,44.52878,45.297943000000004,45.1222,46.036333,47.55654,"39.8328018,-104.4830017",39.8328018,-104.4830017
1980,1980,2023-08-12 05:00:00,47.530114999999995,49.0,47.502919999999996,43.050826,45.77097,46.523865,46.456784,47.385998,48.77106,"39.8328018,-104.5859985",39.8328018,-104.5859985
1980,1980,2023-08-12 05:00:00,46.997346,49.0,46.916652000000006,42.141802999999996,45.073424,45.898914,45.818985,46.84224,48.453175,"39.8328018,-104.6900024",39.8328018,-104.6900024
1888,1888,2023-08-12 05:00:00,42.10046,42.0,36.795154,38.694575,40.622264,41.400228,42.75984699999999,45.69951,45.85157,"39.8328018,-104.7929993",39.8328018,-104.7929993
1888,1888,2023-08-12 05:00:00,41.63734,42.0,35.365496,37.104715000000006,38.84655,39.892457,41.314386,44.1827,44.33168,"39.8328018,-104.8960037",39.8328018,-104.8960037
1888,1888,2023-08-12 05:00:00,41.57836,42.0,35.615914,37.516481999999996,40.132965999999996,41.448545,42.85174,45.869220000000006,45.965344,"39.8328018,-104.9990005",39.8328018,-104.9990005
2328,2328,2023-08-12 05:00:00,43.250102999999996,44.0,38.556031999999995,40.495586,43.99138,45.141149999999996,46.191685,48.809655,48.511654,"39.8328018,-105.1019974",39.8328018,-105.1019974
1848,1848,2023-08-12 05:00:00,45.11978,41.0,49.633157,48.63156,51.527716,52.916404,54.780938,57.378277,57.69243,"39.8328018,-105.2050018",39.8328018,-105.2050018
1848,1848,2023-08-12 05:00:00,45.79042,41.0,49.714513000000004,48.437613999999996,50.91175,52.9147,56.379903,61.860558000000005,62.428173,"39.8328018,-105.3079987",39.8328018,-105.3079987
2291,2291,2023-08-12 05:00:00,41.51872,39.0,43.312635,43.537002,43.756146,44.692602,45.220822,46.348594,47.296382,"39.8328018,-105.4110031",39.8328018,-105.4110031
2291,2291,2023-08-12 05:00:00,42.309165,39.0,44.86531,45.391034,46.03757,47.294366999999994,47.922529999999995,49.1119,50.314285,"39.8328018,-105.5139999",39.8328018,-105.5139999
2291,2291,2023-08-12 05:00:00,46.73955,39.0,52.657402999999995,54.86132,56.643989999999995,58.755673,59.358936,60.978774,62.92672,"39.8328018,-105.6169968",39.8328018,-105.6169968
2291,2291,2023-08-12 05:00:00,43.92564,39.0,49.40069,51.13116,54.10497,59.082660000000004,57.279967,58.260188,60.330693,"39.8328018,-105.7200012",39.8328018,-105.7200012
1682,1682,2023-08-12 05:00:00,45.386709999999994,49.0,43.35942,36.67343,39.27481,39.655353999999996,39.22311,40.12267,41.809585000000006,"39.9359016,-104.3799973",39.9359016,-104.3799973
1682,1682,2023-08-12 05:00:00,45.59599,49.0,43.697983,36.977362,39.711382,40.22067,39.670374,40.37204,41.916028000000004,"39.9359016,-104.4830017",39.9359016,-104.4830017
