,o3,site,latitude,longitude,randoms
o3_sim_140,46.334442,o3_sim_140,40.2452011,-105.7200012,6.24e-05
o3_sim_1,44.273743,o3_sim_1,39.3174019,-104.3799973,8.73e-05
o3_sim_2,46.61215,o3_sim_2,39.3174019,-104.4830017,4.06e-05
o3_sim_3,39.470245,o3_sim_3,39.3174019,-104.5859985,3.37e-05
o3_sim_4,35.833538,o3_sim_4,39.3174019,-104.6900024,3.47e-05
o3_sim_5,40.206017,o3_sim_5,39.3174019,-104.7929993,5.98e-05
o3_sim_6,39.884815,o3_sim_6,39.3174019,-104.8960037,3.87e-05
o3_sim_7,43.275105,o3_sim_7,39.3174019,-104.9990005,2.27e-05
o3_sim_8,42.253395,o3_sim_8,39.3174019,-105.1019974,8.8e-06
o3_sim_9,37.43572,o3_sim_9,39.3174019,-105.2050018,2.66e-05
o3_sim_10,45.755848,o3_sim_10,39.3174019,-105.3079987,7.77e-05
o3_sim_11,41.579895,o3_sim_11,39.3174019,-105.4110031,7.2e-05
o3_sim_12,48.971554,o3_sim_12,39.3174019,-105.5139999,5.65e-05
o3_sim_13,47.146408,o3_sim_13,39.3174019,-105.6169968,5.66e-05
o3_sim_14,49.80713,o3_sim_14,39.3174019,-105.7200012,7.48e-05
o3_sim_15,48.530994,o3_sim_15,39.4205017,-104.3799973,1.48e-05
o3_sim_16,45.482506,o3_sim_16,39.4205017,-104.4830017,8.95e-05
o3_sim_17,44.725506,o3_sim_17,39.4205017,-104.5859985,7.43e-05
o3_sim_18,37.084698,o3_sim_18,39.4205017,-104.6900024,8.98e-05
o3_sim_19,42.262886,o3_sim_19,39.4205017,-104.7929993,8.76e-05
o3_sim_20,43.888832,o3_sim_20,39.4205017,-104.8960037,4.67e-05
o3_sim_21,43.608547,o3_sim_21,39.4205017,-104.9990005,7.56e-05
o3_sim_22,35.933117,o3_sim_22,39.4205017,-105.1019974,9.97e-05
o3_sim_23,44.441113,o3_sim_23,39.4205017,-105.2050018,3.89e-05
o3_sim_24,41.65223,o3_sim_24,39.4205017,-105.3079987,4.45e-05
o3_sim_25,41.41225,o3_sim_25,39.4205017,-105.4110031,7.38e-05
o3_sim_26,47.671032,o3_sim_26,39.4205017,-105.5139999,7.72e-05
o3_sim_27,41.35579,o3_sim_27,39.4205017,-105.6169968,1.02e-05
o3_sim_28,43.351894,o3_sim_28,39.4205017,-105.7200012,4.04e-05
o3_sim_29,45.877384,o3_sim_29,39.5236015,-104.3799973,9.6e-06
o3_sim_30,46.90973,o3_sim_30,39.5236015,-104.4830017,8.43e-05
o3_sim_31,46.453587,o3_sim_31,39.5236015,-104.5859985,2.9e-06
o3_sim_32,41.823402,o3_sim_32,39.5236015,-104.6900024,2.11e-05
o3_sim_33,39.144165,o3_sim_33,39.5236015,-104.7929993,6.32e-05
o3_sim_34,45.23045,o3_sim_34,39.5236015,-104.8960037,1.43e-05
o3_sim_35,39.11441,o3_sim_35,39.5236015,-104.9990005,3.66e-05
o3_sim_36,46.73049,o3_sim_36,39.5236015,-105.1019974,6.4e-05
o3_sim_37,40.548237,o3_sim_37,39.5236015,-105.2050018,8.89e-05
o3_sim_38,40.907097,o3_sim_38,39.5236015,-105.3079987,4.92e-05
o3_sim_39,44.11137,o3_sim_39,39.5236015,-105.4110031,5.94e-05
o3_sim_40,46.96935,o3_sim_40,39.5236015,-105.5139999,3.9e-06
o3_sim_41,45.05168,o3_sim_41,39.5236015,-105.6169968,4.73e-05
o3_sim_42,46.2861,o3_sim_42,39.5236015,-105.7200012,3.5e-06
o3_sim_43,47.11605,o3_sim_43,39.6265984,-104.3799973,4.12e-05
o3_sim_44,45.9869,o3_sim_44,39.6265984,-104.4830017,5.86e-05
o3_sim_45,43.57948,o3_sim_45,39.6265984,-104.5859985,2.43e-05
o3_sim_46,43.58061,o3_sim_46,39.6265984,-104.6900024,6.3e-06
o3_sim_47,38.77444,o3_sim_47,39.6265984,-104.7929993,8.03e-05
o3_sim_48,36.018642,o3_sim_48,39.6265984,-104.8960037,8.48e-05
o3_sim_49,41.505135,o3_sim_49,39.6265984,-104.9990005,1.19e-05
o3_sim_50,44.17752,o3_sim_50,39.6265984,-105.1019974,7.6e-06
o3_sim_51,45.288746,o3_sim_51,39.6265984,-105.2050018,2.73e-05
o3_sim_52,39.867836,o3_sim_52,39.6265984,-105.3079987,3.21e-05
o3_sim_53,39.599155,o3_sim_53,39.6265984,-105.4110031,9.21e-05
o3_sim_54,45.346184,o3_sim_54,39.6265984,-105.5139999,8.92e-05
o3_sim_55,44.514267,o3_sim_55,39.6265984,-105.6169968,7.85e-05
o3_sim_56,49.675064,o3_sim_56,39.6265984,-105.7200012,9.9e-06
o3_sim_57,47.487484,o3_sim_57,39.7296982,-104.3799973,5.11e-05
o3_sim_58,43.323303,o3_sim_58,39.7296982,-104.4830017,4.37e-05
o3_sim_59,45.335125,o3_sim_59,39.7296982,-104.5859985,7.9e-05
o3_sim_60,39.58253,o3_sim_60,39.7296982,-104.6900024,4.17e-05
o3_sim_61,35.29228,o3_sim_61,39.7296982,-104.7929993,4.46e-05
o3_sim_62,44.833145,o3_sim_62,39.7296982,-104.8960037,3.82e-05
o3_sim_63,33.544624,o3_sim_63,39.7296982,-104.9990005,7.41e-05
o3_sim_64,41.68782,o3_sim_64,39.7296982,-105.1019974,8.46e-05
o3_sim_65,49.59785,o3_sim_65,39.7296982,-105.2050018,4.3e-06
o3_sim_66,40.913784,o3_sim_66,39.7296982,-105.3079987,9.5e-05
o3_sim_67,44.433548,o3_sim_67,39.7296982,-105.4110031,4.95e-05
o3_sim_68,43.064743,o3_sim_68,39.7296982,-105.5139999,7.62e-05
o3_sim_69,43.159916,o3_sim_69,39.7296982,-105.6169968,6.43e-05
o3_sim_70,44.70552,o3_sim_70,39.7296982,-105.7200012,2.03e-05
o3_sim_71,52.098495,o3_sim_71,39.8328018,-104.3799973,4.19e-05
o3_sim_72,47.637577,o3_sim_72,39.8328018,-104.4830017,7.7e-05
o3_sim_73,47.5052,o3_sim_73,39.8328018,-104.5859985,4.05e-05
o3_sim_74,39.94207,o3_sim_74,39.8328018,-104.6900024,9.65e-05
o3_sim_75,43.142567,o3_sim_75,39.8328018,-104.7929993,3.54e-05
o3_sim_76,35.385387,o3_sim_76,39.8328018,-104.8960037,5.74e-05
o3_sim_77,41.5327,o3_sim_77,39.8328018,-104.9990005,4.77e-05
o3_sim_78,49.136803,o3_sim_78,39.8328018,-105.1019974,1.98e-05
o3_sim_79,45.98558,o3_sim_79,39.8328018,-105.2050018,8.34e-05
o3_sim_80,40.861893,o3_sim_80,39.8328018,-105.3079987,1.3e-06
o3_sim_81,40.847485,o3_sim_81,39.8328018,-105.4110031,8e-05
o3_sim_82,45.218822,o3_sim_82,39.8328018,-105.5139999,2.26e-05
o3_sim_83,43.246494,o3_sim_83,39.8328018,-105.6169968,7e-06
o3_sim_84,44.545696,o3_sim_84,39.8328018,-105.7200012,6.5e-06
o3_sim_85,50.823658,o3_sim_85,39.9359016,-104.3799973,3.08e-05
o3_sim_86,50.03958,o3_sim_86,39.9359016,-104.4830017,4.56e-05
o3_sim_87,51.314537,o3_sim_87,39.9359016,-104.5859985,6.46e-05
o3_sim_88,43.168118,o3_sim_88,39.9359016,-104.6900024,8.56e-05
o3_sim_89,41.310265,o3_sim_89,39.9359016,-104.7929993,7.81e-05
o3_sim_90,40.121857,o3_sim_90,39.9359016,-104.8960037,2.9e-05
o3_sim_91,37.010998,o3_sim_91,39.9359016,-104.9990005,1.47e-05
o3_sim_92,43.904152,o3_sim_92,39.9359016,-105.1019974,7.8e-06
o3_sim_93,45.72394,o3_sim_93,39.9359016,-105.2050018,9.77e-05
o3_sim_94,43.732754,o3_sim_94,39.9359016,-105.3079987,2.79e-05
o3_sim_95,41.004883,o3_sim_95,39.9359016,-105.4110031,1.42e-05
o3_sim_96,37.10999,o3_sim_96,39.9359016,-105.5139999,7.44e-05
o3_sim_97,41.93352,o3_sim_97,39.9359016,-105.6169968,2.76e-05
o3_sim_98,42.544544,o3_sim_98,39.9359016,-105.7200012,3.27e-05
o3_sim_99,51.961033,o3_sim_99,40.0390015,-104.3799973,7.3e-05
o3_sim_100,52.01346,o3_sim_100,40.0390015,-104.4830017,6.06e-05
o3_sim_101,46.786873,o3_sim_101,40.0390015,-104.5859985,2.29e-05
o3_sim_102,46.059017,o3_sim_102,40.0390015,-104.6900024,1.96e-05
o3_sim_103,44.603413,o3_sim_103,40.0390015,-104.7929993,7.22e-05
o3_sim_104,49.560192,o3_sim_104,40.0390015,-104.8960037,3.93e-05
o3_sim_105,48.253826,o3_sim_105,40.0390015,-104.9990005,3.64e-05
o3_sim_106,48.258102,o3_sim_106,40.0390015,-105.1019974,6.94e-05
o3_sim_107,44.63774,o3_sim_107,40.0390015,-105.2050018,9.55e-05
o3_sim_108,44.321804,o3_sim_108,40.0390015,-105.3079987,5.46e-05
o3_sim_109,39.374966,o3_sim_109,40.0390015,-105.4110031,8.39e-05
o3_sim_110,44.580456,o3_sim_110,40.0390015,-105.5139999,4.25e-05
o3_sim_111,44.946968,o3_sim_111,40.0390015,-105.6169968,1.74e-05
o3_sim_112,41.258133,o3_sim_112,40.0390015,-105.7200012,2.12e-05
o3_sim_113,53.971214,o3_sim_113,40.1421013,-104.3799973,1.73e-05
o3_sim_114,53.453945,o3_sim_114,40.1421013,-104.4830017,4.64e-05
o3_sim_115,51.27696,o3_sim_115,40.1421013,-104.5859985,9.7e-05
o3_sim_116,48.526276,o3_sim_116,40.1421013,-104.6900024,3.85e-05
o3_sim_117,49.99828,o3_sim_117,40.1421013,-104.7929993,7.92e-05
o3_sim_118,50.61068,o3_sim_118,40.1421013,-104.8960037,4.84e-05
o3_sim_119,48.799866,o3_sim_119,40.1421013,-104.9990005,5.36e-05
o3_sim_120,49.862865,o3_sim_120,40.1421013,-105.1019974,5.54e-05
o3_sim_121,51.696304,o3_sim_121,40.1421013,-105.2050018,8.7e-06
o3_sim_122,45.670876,o3_sim_122,40.1421013,-105.3079987,1.81e-05
o3_sim_123,41.184753,o3_sim_123,40.1421013,-105.4110031,9.04e-05
o3_sim_124,46.82864,o3_sim_124,40.1421013,-105.5139999,2.44e-05
o3_sim_125,41.33589,o3_sim_125,40.1421013,-105.6169968,8.68e-05
o3_sim_126,44.344852,o3_sim_126,40.1421013,-105.7200012,7.97e-05
o3_sim_127,54.83828,o3_sim_127,40.2452011,-104.3799973,3.3e-05
