,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_9,25.580473,o3_sim_Evergreen_9,39.620397999999994,-105.33872,1e-05
o3_sim_Idaho Springs_9,43.915226,o3_sim_Idaho Springs_9,39.7924214,-105.49127,9.76e-05
o3_sim_Five Points_9,30.516144,o3_sim_Five Points_9,39.7511486,-104.987625,3.54e-05
o3_sim_Welby_9,16.233469,o3_sim_Welby_9,39.8381082,-104.94984,1.08e-05
o3_sim_Highlands Ranch_9,39.06446,o3_sim_Highlands Ranch_9,39.5678857,-104.957193,1.3e-06
o3_sim_Rocky Flats_9,39.20391,o3_sim_Rocky Flats_9,39.9127741,-105.188587,2.49e-05
o3_sim_Boulder_9,31.645039,o3_sim_Boulder_9,40.0699926,-105.220238,2.34e-05
o3_sim_Chatfield Reservoir_9,35.43342,o3_sim_Chatfield Reservoir_9,39.5344277,-105.070358,6.03e-05
o3_sim_Sunnyside_9,23.613914,o3_sim_Sunnyside_9,39.7793974,-105.00518,9.26e-05
o3_sim_East Plains_9,41.265175,o3_sim_East Plains_9,39.638456500000004,-104.569335,6.55e-05
