,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_9,56.588375,o3_sim_Evergreen_9,39.620331199999995,-105.33872,7.68e-05
o3_sim_Idaho Springs_9,58.21438,o3_sim_Idaho Springs_9,39.7924432,-105.49127,7.58e-05
o3_sim_Five Points_9,63.49369,o3_sim_Five Points_9,39.7510848,-104.987625,9.92e-05
o3_sim_Welby_9,66.27217,o3_sim_Welby_9,39.838025,-104.94984,9.4e-05
o3_sim_Highlands Ranch_9,66.42473,o3_sim_Highlands Ranch_9,39.5677958,-104.957193,9.12e-05
o3_sim_Rocky Flats_9,59.56604,o3_sim_Rocky Flats_9,39.9127277,-105.188587,7.13e-05
o3_sim_Boulder_9,59.047764,o3_sim_Boulder_9,40.0700141,-105.220238,1.9e-06
o3_sim_Chatfield Reservoir_9,68.894516,o3_sim_Chatfield Reservoir_9,39.5343962,-105.070358,9.18e-05
o3_sim_Sunnyside_9,62.283043,o3_sim_Sunnyside_9,39.7794662,-105.00518,2.38e-05
o3_sim_East Plains_9,62.867928,o3_sim_East Plains_9,39.6384832,-104.569335,3.88e-05
