,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_9,17.687166,o3_sim_Evergreen_9,39.620391299999994,-105.33872,1.67e-05
o3_sim_Idaho Springs_9,48.88546,o3_sim_Idaho Springs_9,39.792518099999995,-105.49127,9e-07
o3_sim_Five Points_9,42.263954,o3_sim_Five Points_9,39.7511339,-104.987625,5.01e-05
o3_sim_Welby_9,35.818134,o3_sim_Welby_9,39.838023,-104.94984,9.6e-05
o3_sim_Highlands Ranch_9,44.294327,o3_sim_Highlands Ranch_9,39.5677981,-104.957193,8.89e-05
o3_sim_Rocky Flats_9,51.51785,o3_sim_Rocky Flats_9,39.912783,-105.188587,1.6e-05
o3_sim_Boulder_9,39.389835,o3_sim_Boulder_9,40.070013100000004,-105.220238,2.9e-06
o3_sim_Chatfield Reservoir_9,41.81276,o3_sim_Chatfield Reservoir_9,39.534452900000005,-105.070358,3.51e-05
o3_sim_Sunnyside_9,41.13141,o3_sim_Sunnyside_9,39.779425700000004,-105.00518,6.43e-05
o3_sim_East Plains_9,45.56085,o3_sim_East Plains_9,39.6384356,-104.569335,8.64e-05
