,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_9,59.89483,o3_sim_Evergreen_9,39.6203631,-105.33872,4.49e-05
o3_sim_Idaho Springs_9,56.938744,o3_sim_Idaho Springs_9,39.7924746,-105.49127,4.44e-05
o3_sim_Five Points_9,64.799126,o3_sim_Five Points_9,39.7511172,-104.987625,6.68e-05
o3_sim_Welby_9,67.757095,o3_sim_Welby_9,39.838110799999995,-104.94984,8.2e-06
o3_sim_Highlands Ranch_9,68.29432,o3_sim_Highlands Ranch_9,39.5677985,-104.957193,8.85e-05
o3_sim_Rocky Flats_9,71.14381,o3_sim_Rocky Flats_9,39.9127465,-105.188587,5.25e-05
o3_sim_Boulder_9,65.2027,o3_sim_Boulder_9,40.0699349,-105.220238,8.11e-05
o3_sim_Chatfield Reservoir_9,69.21989,o3_sim_Chatfield Reservoir_9,39.534445700000006,-105.070358,4.23e-05
o3_sim_Sunnyside_9,64.764465,o3_sim_Sunnyside_9,39.7794771,-105.00518,1.29e-05
o3_sim_East Plains_9,64.67887,o3_sim_East Plains_9,39.6385193,-104.569335,2.7e-06
