,date,"preds_0_39.8328018,-105.3079987",actual,"preds_1_39.8328018,-105.3079987","preds_2_39.8328018,-105.3079987","preds_3_39.8328018,-105.3079987","preds_4_39.8328018,-105.3079987","preds_5_39.8328018,-105.3079987","preds_6_39.8328018,-105.3079987","preds_7_39.8328018,-105.3079987",site_name,lat,lon
0,2023-05-02 14:00:00+00:00,0.043103177,0.041,0.04618476,0.04221886,0.041948106,0.042844813,0.043114726,0.043158166,0.042955443,"39.8328018,-105.3079987",39.8328018,-105.3079987
1,2023-05-02 15:00:00+00:00,0.043588538,0.043,0.04553454,0.047639612,0.045100946,0.044928625,0.04549504,0.045670353,0.045699775,"39.8328018,-105.3079987",39.8328018,-105.3079987
2,2023-05-02 16:00:00+00:00,0.04442506,0.042,0.04503295,0.046519868,0.04800627,0.046266533,0.04615316,0.046528928,0.04665232,"39.8328018,-105.3079987",39.8328018,-105.3079987
3,2023-05-02 17:00:00+00:00,0.042471007,0.04,0.045131728,0.045622084,0.046722177,0.047795195,0.04659649,0.046522327,0.046775185,"39.8328018,-105.3079987",39.8328018,-105.3079987
4,2023-05-02 18:00:00+00:00,0.040391598,0.046,0.043131657,0.045349423,0.045734264,0.046582624,0.047374453,0.046563644,0.046517726,"39.8328018,-105.3079987",39.8328018,-105.3079987
5,2023-05-02 19:00:00+00:00,0.048236217,0.05500000000000001,0.04200929,0.04427879,0.04605921,0.04636685,0.047026753,0.04760186,0.047086455,"39.8328018,-105.3079987",39.8328018,-105.3079987
6,2023-05-02 20:00:00+00:00,0.056136347,0.056,0.04896466,0.04378286,0.045633584,0.04709421,0.04734317,0.0478601,0.048281897,"39.8328018,-105.3079987",39.8328018,-105.3079987
7,2023-05-02 21:00:00+00:00,0.054829486,0.06299999999999999,0.054974746,0.048680563,0.044297528,0.04585081,0.04705793,0.047258947,0.04765984,"39.8328018,-105.3079987",39.8328018,-105.3079987
8,2023-05-02 22:00:00+00:00,0.06339101,0.06299999999999999,0.054815803,0.054945245,0.049407218,0.045568205,0.04693028,0.047965955,0.048134115,"39.8328018,-105.3079987",39.8328018,-105.3079987
9,2023-05-02 23:00:00+00:00,0.061544795,0.059,0.061965756,0.054189526,0.05430552,0.04937808,0.045920726,0.04714691,0.04806651,"39.8328018,-105.3079987",39.8328018,-105.3079987
10,2023-05-03 00:00:00+00:00,0.058356468,0.056,0.061029337,0.061392374,0.054769453,0.054867703,0.05065374,0.04765933,0.04872777,"39.8328018,-105.3079987",39.8328018,-105.3079987
