,date,preds_0_Boulder,actual,preds_1_Boulder,preds_2_Boulder,preds_3_Boulder,preds_4_Boulder,preds_5_Boulder,site_name,lat,lon
0,2023-06-02 12:00:00+00:00,0.036083486,0.028999999999999998,0.035835065,0.036110405,0.03565165,0.0349354,0.034090623,Boulder,40.070016,-105.220238
1,2023-06-02 13:00:00+00:00,0.03551859,0.021,0.036953162,0.036738053,0.036977865,0.036576025,0.035946753,Boulder,40.070016,-105.220238
2,2023-06-02 14:00:00+00:00,0.03274043,0.027000000000000003,0.03566556,0.036895834,0.036710232,0.036918413,0.036568277,Boulder,40.070016,-105.220238
3,2023-06-02 15:00:00+00:00,0.034660146,0.034,0.035798155,0.038288917,0.03934409,0.039183866,0.039364316,Boulder,40.070016,-105.220238
4,2023-06-02 16:00:00+00:00,0.040932875,0.046,0.04105992,0.04202037,0.044138078,0.04504147,0.044903707,Boulder,40.070016,-105.220238
5,2023-06-02 17:00:00+00:00,0.049871843,0.056999999999999995,0.04893802,0.049043,0.049842402,0.051618468,0.05237982,Boulder,40.070016,-105.220238
6,2023-06-02 18:00:00+00:00,0.049641777,0.06,0.04826626,0.047444455,0.04753725,0.048248053,0.049832504,Boulder,40.070016,-105.220238
7,2023-06-02 19:00:00+00:00,0.049872465,0.058,0.04788058,0.046706975,0.04600686,0.046086535,0.046699777,Boulder,40.070016,-105.220238
8,2023-06-02 20:00:00+00:00,0.05217836,0.054,0.05062257,0.048906006,0.047892164,0.04728409,0.047353648,Boulder,40.070016,-105.220238
9,2023-06-02 21:00:00+00:00,0.05508325,0.054,0.05473905,0.05340778,0.051940877,0.051067255,0.0505416,Boulder,40.070016,-105.220238
10,2023-06-02 22:00:00+00:00,0.0633497,0.053000000000000005,0.06354201,0.06325899,0.062164478,0.06094723,0.060217462,Boulder,40.070016,-105.220238
11,2023-06-02 23:00:00+00:00,0.06407631,0.054,0.06591897,0.06608196,0.06584154,0.064904675,0.06385764,Boulder,40.070016,-105.220238
12,2023-06-03 00:00:00+00:00,0.061030038,0.054,0.062892124,0.06449141,0.064632244,0.064422615,0.0636023,Boulder,40.070016,-105.220238
