,date,preds_0_Highlands Ranch,actual,preds_1_Highlands Ranch,preds_2_Highlands Ranch,preds_3_Highlands Ranch,preds_4_Highlands Ranch,preds_5_Highlands Ranch,site_name,lat,lon
33,2023-05-03 14:00:00+00:00,0.034899876,0.035,0.03501499,0.035300147,0.03542537,0.035233974,0.034954034,Highlands Ranch,39.567887,-104.957193
34,2023-05-03 15:00:00+00:00,0.03885468,0.042,0.038835,0.038927734,0.039160524,0.039263662,0.039105,Highlands Ranch,39.567887,-104.957193
35,2023-05-03 16:00:00+00:00,0.04454143,0.045,0.043922562,0.043906726,0.04398236,0.044174396,0.04426006,Highlands Ranch,39.567887,-104.957193
36,2023-05-03 17:00:00+00:00,0.050093494,0.048,0.05000362,0.0495066,0.049493726,0.04955592,0.049715135,Highlands Ranch,39.567887,-104.957193
37,2023-05-03 18:00:00+00:00,0.05495032,0.054,0.05535686,0.05528512,0.054883763,0.054873258,0.05492446,Highlands Ranch,39.567887,-104.957193
38,2023-05-03 19:00:00+00:00,0.059043925,0.059,0.059227534,0.059550468,0.05949278,0.05916633,0.059157714,Highlands Ranch,39.567887,-104.957193
39,2023-05-03 20:00:00+00:00,0.062001176,0.06,0.062009644,0.062156033,0.062416453,0.062369384,0.06210074,Highlands Ranch,39.567887,-104.957193
40,2023-05-03 21:00:00+00:00,0.06368074,0.062,0.06406455,0.064071275,0.0641889,0.06440058,0.06436198,Highlands Ranch,39.567887,-104.957193
41,2023-05-03 22:00:00+00:00,0.06402791,0.064,0.06434876,0.06465095,0.064656325,0.06475115,0.06492333,Highlands Ranch,39.567887,-104.957193
42,2023-05-03 23:00:00+00:00,0.0634886,0.065,0.06349393,0.063747525,0.06398943,0.0639938,0.064071305,Highlands Ranch,39.567887,-104.957193
43,2023-05-04 00:00:00+00:00,0.060765978,0.061000000000000006,0.06047663,0.06048085,0.060683914,0.0608799,0.06088346,Highlands Ranch,39.567887,-104.957193
44,2023-05-04 01:00:00+00:00,0.054424338,0.056999999999999995,0.0543791,0.054147217,0.054150626,0.05431678,0.05447848,Highlands Ranch,39.567887,-104.957193
45,2023-05-04 02:00:00+00:00,0.05071874,0.05500000000000001,0.05022343,0.05018719,0.04999973,0.050002515,0.05013907,Highlands Ranch,39.567887,-104.957193
46,2023-05-04 03:00:00+00:00,0.048733477,0.053000000000000005,0.047900937,0.047497116,0.047467213,0.04731141,0.047313742,Highlands Ranch,39.567887,-104.957193
47,2023-05-04 04:00:00+00:00,0.047078885,0.05500000000000001,0.04624451,0.04556586,0.04523312,0.045208268,0.045078047,Highlands Ranch,39.567887,-104.957193
48,2023-05-04 05:00:00+00:00,0.04629659,0.056,0.04474713,0.044070065,0.04351296,0.043237817,0.043217137,Highlands Ranch,39.567887,-104.957193
49,2023-05-04 06:00:00+00:00,0.046542,0.054,0.044638764,0.04337666,0.042818666,0.042356223,0.042126663,Highlands Ranch,39.567887,-104.957193
50,2023-05-04 07:00:00+00:00,0.045795374,0.056,0.044330366,0.04278865,0.041753702,0.04129255,0.04090826,Highlands Ranch,39.567887,-104.957193
51,2023-05-04 08:00:00+00:00,0.04544789,0.056,0.043437827,0.042243224,0.0409716,0.04011162,0.03972636,Highlands Ranch,39.567887,-104.957193
52,2023-05-04 09:00:00+00:00,0.045170706,0.048,0.04308472,0.041442145,0.040455014,0.03939655,0.038677037,Highlands Ranch,39.567887,-104.957193
53,2023-05-04 10:00:00+00:00,0.043230917,0.037,0.042668894,0.040955465,0.039590828,0.038764678,0.037874296,Highlands Ranch,39.567887,-104.957193
54,2023-05-04 11:00:00+00:00,0.04006795,0.038,0.04130229,0.04084232,0.039425086,0.03828819,0.03759657,Highlands Ranch,39.567887,-104.957193
55,2023-05-04 12:00:00+00:00,0.037675366,0.03,0.038088992,0.03910421,0.038721472,0.037532914,0.03657415,Highlands Ranch,39.567887,-104.957193
56,2023-05-04 13:00:00+00:00,0.03536655,0.031999999999999994,0.03689501,0.03723345,0.03807216,0.037753478,0.03675886,Highlands Ranch,39.567887,-104.957193
57,2023-05-04 14:00:00+00:00,0.03423837,0.037,0.03490773,0.03615696,0.036436655,0.037135165,0.03686811,Highlands Ranch,39.567887,-104.957193
58,2023-05-04 15:00:00+00:00,0.034963828,0.042,0.034419104,0.03495717,0.035974085,0.036204055,0.03678205,Highlands Ranch,39.567887,-104.957193
59,2023-05-04 16:00:00+00:00,0.03736849,0.019,0.0359701,0.035523236,0.035970606,0.036823817,0.037017994,Highlands Ranch,39.567887,-104.957193
60,2023-05-04 17:00:00+00:00,0.036545258,0.052,0.040153798,0.0390348,0.038672816,0.039039288,0.039743017,Highlands Ranch,39.567887,-104.957193
61,2023-05-04 18:00:00+00:00,0.042211417,0.05500000000000001,0.03920286,0.042104483,0.041194778,0.040897906,0.041200597,Highlands Ranch,39.567887,-104.957193
62,2023-05-04 19:00:00+00:00,0.049522277,0.056999999999999995,0.047034148,0.044634547,0.04697587,0.046232287,0.045987833,Highlands Ranch,39.567887,-104.957193
