,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_12,18.137047,o3_sim_Evergreen_12,39.6203235,-105.33872,8.45e-05
o3_sim_Idaho Springs_12,36.058956,o3_sim_Idaho Springs_12,39.792471299999995,-105.49127,4.77e-05
o3_sim_Five Points_12,31.682892,o3_sim_Five Points_12,39.7511424,-104.987625,4.16e-05
o3_sim_Welby_12,19.329985,o3_sim_Welby_12,39.8381138,-104.94984,5.2e-06
o3_sim_Highlands Ranch_12,26.277525,o3_sim_Highlands Ranch_12,39.5678684,-104.957193,1.86e-05
o3_sim_Rocky Flats_12,35.444,o3_sim_Rocky Flats_12,39.9127022,-105.188587,9.68e-05
o3_sim_Boulder_12,19.477364,o3_sim_Boulder_12,40.0699935,-105.220238,2.25e-05
o3_sim_Chatfield Reservoir_12,35.222614,o3_sim_Chatfield Reservoir_12,39.5344041,-105.070358,8.39e-05
o3_sim_Sunnyside_12,27.68998,o3_sim_Sunnyside_12,39.779433700000006,-105.00518,5.63e-05
o3_sim_East Plains_12,39.715046,o3_sim_East Plains_12,39.6384883,-104.569335,3.37e-05
