,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_6,51.406452,o3_sim_Evergreen_6,39.6203314,-105.33872,7.66e-05
o3_sim_Idaho Springs_6,50.36394,o3_sim_Idaho Springs_6,39.792425699999995,-105.49127,9.33e-05
o3_sim_Five Points_6,51.860508,o3_sim_Five Points_6,39.751114,-104.987625,7e-05
o3_sim_Welby_6,52.041336,o3_sim_Welby_6,39.8381177,-104.94984,1.3e-06
o3_sim_Highlands Ranch_6,55.835144,o3_sim_Highlands Ranch_6,39.5678761,-104.957193,1.09e-05
o3_sim_Rocky Flats_6,57.163155,o3_sim_Rocky Flats_6,39.9127516,-105.188587,4.74e-05
o3_sim_Boulder_6,53.389397,o3_sim_Boulder_6,40.069972500000006,-105.220238,4.35e-05
o3_sim_Chatfield Reservoir_6,58.58411,o3_sim_Chatfield Reservoir_6,39.5344874,-105.070358,6e-07
o3_sim_Sunnyside_6,55.04979,o3_sim_Sunnyside_6,39.779390400000004,-105.00518,9.96e-05
o3_sim_East Plains_6,51.28974,o3_sim_East Plains_6,39.638495,-104.569335,2.7e-05
