,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_3,18.070694,o3_sim_Evergreen_3,39.6203599,-105.33872,4.81e-05
o3_sim_Idaho Springs_3,36.15646,o3_sim_Idaho Springs_3,39.7924267,-105.49127,9.23e-05
o3_sim_Five Points_3,31.87398,o3_sim_Five Points_3,39.7510892,-104.987625,9.48e-05
o3_sim_Welby_3,22.627668,o3_sim_Welby_3,39.8380873,-104.94984,3.17e-05
o3_sim_Highlands Ranch_3,30.999462,o3_sim_Highlands Ranch_3,39.5678723,-104.957193,1.47e-05
o3_sim_Rocky Flats_3,40.758797,o3_sim_Rocky Flats_3,39.9127486,-105.188587,5.04e-05
o3_sim_Boulder_3,27.83049,o3_sim_Boulder_3,40.0699655,-105.220238,5.05e-05
o3_sim_Chatfield Reservoir_3,30.495121,o3_sim_Chatfield Reservoir_3,39.5344307,-105.070358,5.73e-05
o3_sim_Sunnyside_3,30.075294,o3_sim_Sunnyside_3,39.779406800000004,-105.00518,8.32e-05
o3_sim_East Plains_3,29.257921,o3_sim_East Plains_3,39.6384969,-104.569335,2.51e-05
