,site,1 Hour RMSE,1 Hour R2,2 Hour RMSE,2 Hour R2,3 Hour RMSE,3 Hour R2,4 Hour RMSE,4 Hour R2,5 Hour RMSE,5 Hour R2,6 Hour RMSE,6 Hour R2
0,Evergreen,10.244786026390297,0.6045330000288553,10.244786032105784,0.6045330001145535,10.244785990355203,0.6045330027669211,10.244785983105386,0.6045330027621676,10.244786011894682,0.6045330007435283,10.24478598141267,0.6045330028737677
1,Idaho Springs,9.426090569473423,0.3171180525942562,9.426090538076238,0.31711805521045755,9.42609052847387,0.317118056242099,9.426090506915392,0.317118057708063,9.42609049263193,0.3171180587004142,9.426090513403038,0.3171180565952545
2,Five Points,11.025740364438013,0.508951010134554,11.025740327142964,0.5089510114128681,11.025740340935409,0.508951010770567,11.025740369772885,0.5089510083376789,11.02574033891316,0.5089510102501767,11.025740333401796,0.5089510109766249
3,Welby,13.365064300812193,0.5385812398316792,13.365064304811579,0.5385812392945811,13.365064307007929,0.5385812391589888,13.365064347426856,0.5385812379198931,13.365064261698869,0.5385812414990949,13.36506426413948,0.5385812420094409
4,Highlands Ranch,9.247672680011815,0.5024835708832218,9.24767265632127,0.502483571885598,9.247672651304647,0.5024835727934591,9.247672660714635,0.5024835714708626,9.247672656171556,0.5024835713348017,9.247672665267732,0.5024835698933681
5,Rocky Flats,10.230370753081935,0.3630411448688693,10.230370747620992,0.3630411453142074,10.230370709002854,0.36304114730739145,10.23037074380029,0.36304114612675464,10.230370692780848,0.36304114990936076,10.23037068075685,0.3630411507640954
6,Boulder,9.489471595588233,0.5770118826433126,9.489471596286169,0.5770118825585294,9.489471575659593,0.5770118841948837,9.48947158075733,0.5770118831658287,9.489471559265688,0.5770118846552679,9.489471565138787,0.5770118860046427
7,Chatfield Reservoir,9.866489634307966,0.5645561125204756,9.866489612659953,0.5645561135553738,9.866489598961655,0.5645561148567164,9.866489617091103,0.5645561137048964,9.866489632888523,0.5645561124481364,9.866489625734872,0.5645561123282781
8,Sunnyside,12.475408328769557,0.5534756942176065,12.475408322961645,0.5534756947523022,12.47540830370169,0.553475695559144,12.475408320669082,0.5534756943812817,12.475408298355095,0.5534756953122082,12.475408295098156,0.5534756949371833
9,East Plains,10.001035307395954,0.3859042462193555,10.001035281690902,0.3859042481432622,10.001035293992636,0.3859042483286903,10.001035313657118,0.38590424674273816,10.001035294009059,0.38590424785529653,10.001035293520385,0.3859042478993292
10,South Table,9.201383358792308,0.5344880371961422,9.201383361847064,0.534488037092984,9.201383340407068,0.5344880389744004,9.201383327384562,0.5344880402208774,9.20138334361714,0.5344880385381803,9.20138337299211,0.534488037264139
