,state_code,county_code,site_number,parameter_code,poc,latitude,longitude,datum,parameter,date_local,time_local,date_gmt,time_gmt,sample_measurement,units_of_measure,units_of_measure_code,sample_duration,sample_duration_code,sample_frequency,detection_limit,uncertainty,qualifier,method_type,method,method_code,state,county,date_of_last_change,cbsa_code
16,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,16:00,2022-09-01,23:00,2.9,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
17,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,17:00,2022-09-02,00:00,3.5,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
18,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,18:00,2022-09-02,01:00,12.4,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
19,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,19:00,2022-09-02,02:00,30.4,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
20,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,20:00,2022-09-02,03:00,40.5,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
21,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,21:00,2022-09-02,04:00,,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,AY - Q C Control Points (zero/span).,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
22,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,22:00,2022-09-02,05:00,18.8,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
23,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-01,23:00,2022-09-02,06:00,14.5,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
24,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,00:00,2022-09-02,07:00,11.5,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
25,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,01:00,2022-09-02,08:00,15.3,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
26,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,02:00,2022-09-02,09:00,16.9,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
27,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,03:00,2022-09-02,10:00,22.5,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
28,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,04:00,2022-09-02,11:00,29.0,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
29,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,05:00,2022-09-02,12:00,32.0,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
30,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,06:00,2022-09-02,13:00,36.2,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
31,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,07:00,2022-09-02,14:00,39.1,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
32,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,08:00,2022-09-02,15:00,37.3,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
33,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,09:00,2022-09-02,16:00,18.9,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
34,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,10:00,2022-09-02,17:00,5.8,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
35,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,11:00,2022-09-02,18:00,3.7,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
36,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,12:00,2022-09-02,19:00,2.7,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
37,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,13:00,2022-09-02,20:00,3.0,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
38,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,14:00,2022-09-02,21:00,3.6,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
39,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,15:00,2022-09-02,22:00,3.0,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
40,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,16:00,2022-09-02,23:00,2.0,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
41,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,17:00,2022-09-03,00:00,2.7,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
42,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,18:00,2022-09-03,01:00,4.7,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
43,08,001,3001,42602,1,39.838119,-104.94984,WGS84,Nitrogen dioxide (NO2),2022-09-02,19:00,2022-09-03,02:00,3.7,Parts per billion,008,1 HOUR,1,HOURLY,2.7,,,FRM,INSTRUMENTAL - GAS PHASE CHEMILUMINESCENCE,099,Colorado,Adams,2022-11-01,19740
