,o3,site,latitude,longitude
o3_sim_Evergreen_1_,38.422924,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,40.25663,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,37.9195,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,41.762543,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,48.55279,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,53.233387,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,44.986897,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,47.656765,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,42.619377,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.799732,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,46.089985,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,41.990532,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,41.143776,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,43.582695,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,43.215096,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,40.010147,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,39.16651,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,38.730206,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,35.172134,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,40.906376,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,36.931232,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,41.258945,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,36.052048,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,40.42729,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,46.039455,o3_sim_13,39.3174019,-105.6169968
o3_sim_14,43.36396,o3_sim_14,39.3174019,-105.7200012
o3_sim_15,41.22237,o3_sim_15,39.4205017,-104.3799973
o3_sim_16,43.691498,o3_sim_16,39.4205017,-104.4830017
o3_sim_17,39.132362,o3_sim_17,39.4205017,-104.5859985
o3_sim_18,37.141987,o3_sim_18,39.4205017,-104.6900024
o3_sim_19,39.165276,o3_sim_19,39.4205017,-104.7929993
o3_sim_20,27.862934,o3_sim_20,39.4205017,-104.8960037
o3_sim_21,35.95951,o3_sim_21,39.4205017,-104.9990005
o3_sim_22,36.939854,o3_sim_22,39.4205017,-105.1019974
o3_sim_23,31.601986,o3_sim_23,39.4205017,-105.2050018
o3_sim_24,27.70804,o3_sim_24,39.4205017,-105.3079987
o3_sim_25,29.56996,o3_sim_25,39.4205017,-105.4110031
o3_sim_26,37.545982,o3_sim_26,39.4205017,-105.5139999
o3_sim_27,42.83088,o3_sim_27,39.4205017,-105.6169968
o3_sim_28,44.75766,o3_sim_28,39.4205017,-105.7200012
o3_sim_29,38.64079,o3_sim_29,39.5236015,-104.3799973
o3_sim_30,41.610615,o3_sim_30,39.5236015,-104.4830017
o3_sim_31,41.64886,o3_sim_31,39.5236015,-104.5859985
o3_sim_32,38.389893,o3_sim_32,39.5236015,-104.6900024
o3_sim_33,34.427837,o3_sim_33,39.5236015,-104.7929993
o3_sim_34,32.55093,o3_sim_34,39.5236015,-104.8960037
o3_sim_35,30.073315,o3_sim_35,39.5236015,-104.9990005
o3_sim_36,37.129948,o3_sim_36,39.5236015,-105.1019974
