,o3,site,latitude,longitude
o3_sim_Evergreen_1_,33.631798,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,44.12626,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,43.601097,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,42.840637,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,45.531826,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,48.89579,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,42.777985,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,48.92713,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,45.798134,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.412655,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,47.187115,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,43.805283,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,40.18092,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,45.53258,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,45.37895,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,41.28306,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,39.97862,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,40.72724,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,37.63497,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,38.816174,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,38.03422,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,41.652916,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,36.328182,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,42.534443,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,47.93315,o3_sim_13,39.3174019,-105.6169968
o3_sim_14,44.13308,o3_sim_14,39.3174019,-105.7200012
o3_sim_15,41.66607,o3_sim_15,39.4205017,-104.3799973
o3_sim_16,44.68314,o3_sim_16,39.4205017,-104.4830017
o3_sim_17,42.633945,o3_sim_17,39.4205017,-104.5859985
o3_sim_18,40.18551,o3_sim_18,39.4205017,-104.6900024
o3_sim_19,41.085236,o3_sim_19,39.4205017,-104.7929993
o3_sim_20,34.662373,o3_sim_20,39.4205017,-104.8960037
o3_sim_21,37.9618,o3_sim_21,39.4205017,-104.9990005
o3_sim_22,37.061287,o3_sim_22,39.4205017,-105.1019974
o3_sim_23,33.415123,o3_sim_23,39.4205017,-105.2050018
o3_sim_24,28.2129,o3_sim_24,39.4205017,-105.3079987
o3_sim_25,29.959106,o3_sim_25,39.4205017,-105.4110031
o3_sim_26,37.249527,o3_sim_26,39.4205017,-105.5139999
o3_sim_27,42.322445,o3_sim_27,39.4205017,-105.6169968
o3_sim_28,41.966682,o3_sim_28,39.4205017,-105.7200012
o3_sim_29,39.940926,o3_sim_29,39.5236015,-104.3799973
o3_sim_30,41.54893,o3_sim_30,39.5236015,-104.4830017
