,o3,site,latitude,longitude
o3_sim_Evergreen_1_,45.213528,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,48.570515,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,36.7334,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,50.780422,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,47.288532,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,54.75051,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,52.61641,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,52.827076,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,47.72991,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.92909,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,50.456142,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,39.82247,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,39.966522,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,44.3202,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,41.4644,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,39.215923,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,37.853012,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,39.261784,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,34.925003,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,37.89251,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,35.733917,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,38.261566,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,31.493683,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,39.35178,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,45.255367,o3_sim_13,39.3174019,-105.6169968
