,o3,site,latitude,longitude
o3_sim_Evergreen_1_,35.597427,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,40.626713,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,44.92745,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,43.579876,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,47.366943,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,49.79175,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,42.72949,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,49.397194,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,47.017166,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,46.525543,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,45.936646,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,42.104507,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,41.440334,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,44.547806,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,43.719963,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,40.432198,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,39.974102,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,41.493256,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,37.021812,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,38.31057,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,36.623734,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,40.075916,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,35.75863,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,41.033882,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,47.01646,o3_sim_13,39.3174019,-105.6169968
o3_sim_14,45.24523,o3_sim_14,39.3174019,-105.7200012
o3_sim_15,44.7092,o3_sim_15,39.4205017,-104.3799973
o3_sim_16,44.04843,o3_sim_16,39.4205017,-104.4830017
o3_sim_17,41.173996,o3_sim_17,39.4205017,-104.5859985
o3_sim_18,39.411854,o3_sim_18,39.4205017,-104.6900024
o3_sim_19,41.608765,o3_sim_19,39.4205017,-104.7929993
o3_sim_20,37.346577,o3_sim_20,39.4205017,-104.8960037
o3_sim_21,37.36589,o3_sim_21,39.4205017,-104.9990005
o3_sim_22,37.09349,o3_sim_22,39.4205017,-105.1019974
o3_sim_23,34.138508,o3_sim_23,39.4205017,-105.2050018
o3_sim_24,28.93302,o3_sim_24,39.4205017,-105.3079987
o3_sim_25,29.879065,o3_sim_25,39.4205017,-105.4110031
o3_sim_26,36.360813,o3_sim_26,39.4205017,-105.5139999
o3_sim_27,43.581684,o3_sim_27,39.4205017,-105.6169968
o3_sim_28,39.89453,o3_sim_28,39.4205017,-105.7200012
o3_sim_29,42.40339,o3_sim_29,39.5236015,-104.3799973
o3_sim_30,42.862717,o3_sim_30,39.5236015,-104.4830017
o3_sim_31,43.962574,o3_sim_31,39.5236015,-104.5859985
o3_sim_32,41.21693,o3_sim_32,39.5236015,-104.6900024
o3_sim_33,36.128456,o3_sim_33,39.5236015,-104.7929993
o3_sim_34,35.75842,o3_sim_34,39.5236015,-104.8960037
o3_sim_35,33.717796,o3_sim_35,39.5236015,-104.9990005
o3_sim_36,37.650085,o3_sim_36,39.5236015,-105.1019974
o3_sim_37,40.58707,o3_sim_37,39.5236015,-105.2050018
o3_sim_38,42.854115,o3_sim_38,39.5236015,-105.3079987
o3_sim_39,39.826805,o3_sim_39,39.5236015,-105.4110031
o3_sim_40,36.720577,o3_sim_40,39.5236015,-105.5139999
o3_sim_41,42.084743,o3_sim_41,39.5236015,-105.6169968
o3_sim_42,38.198853,o3_sim_42,39.5236015,-105.7200012
o3_sim_43,40.38558,o3_sim_43,39.6265984,-104.3799973
o3_sim_44,42.515244,o3_sim_44,39.6265984,-104.4830017
o3_sim_45,39.754097,o3_sim_45,39.6265984,-104.5859985
o3_sim_46,38.73968,o3_sim_46,39.6265984,-104.6900024
o3_sim_47,38.15199,o3_sim_47,39.6265984,-104.7929993
o3_sim_48,31.88648,o3_sim_48,39.6265984,-104.8960037
o3_sim_49,28.98355,o3_sim_49,39.6265984,-104.9990005
o3_sim_50,31.504288,o3_sim_50,39.6265984,-105.1019974
o3_sim_51,35.161163,o3_sim_51,39.6265984,-105.2050018
o3_sim_52,39.917587,o3_sim_52,39.6265984,-105.3079987
o3_sim_53,33.744545,o3_sim_53,39.6265984,-105.4110031
o3_sim_54,35.405403,o3_sim_54,39.6265984,-105.5139999
o3_sim_55,41.842064,o3_sim_55,39.6265984,-105.6169968
o3_sim_56,48.162285,o3_sim_56,39.6265984,-105.7200012
o3_sim_57,37.414894,o3_sim_57,39.7296982,-104.3799973
o3_sim_58,40.13246,o3_sim_58,39.7296982,-104.4830017
o3_sim_59,37.53105,o3_sim_59,39.7296982,-104.5859985
o3_sim_60,39.47071,o3_sim_60,39.7296982,-104.6900024
o3_sim_61,34.792843,o3_sim_61,39.7296982,-104.7929993
o3_sim_62,34.942528,o3_sim_62,39.7296982,-104.8960037
o3_sim_63,28.290855,o3_sim_63,39.7296982,-104.9990005
o3_sim_64,31.85978,o3_sim_64,39.7296982,-105.1019974
o3_sim_65,40.254623,o3_sim_65,39.7296982,-105.2050018
o3_sim_66,39.477753,o3_sim_66,39.7296982,-105.3079987
o3_sim_67,34.61999,o3_sim_67,39.7296982,-105.4110031
o3_sim_68,20.092258,o3_sim_68,39.7296982,-105.5139999
o3_sim_69,44.664967,o3_sim_69,39.7296982,-105.6169968
o3_sim_70,40.49858,o3_sim_70,39.7296982,-105.7200012
o3_sim_71,38.165207,o3_sim_71,39.8328018,-104.3799973
o3_sim_72,38.548862,o3_sim_72,39.8328018,-104.4830017
o3_sim_73,38.607628,o3_sim_73,39.8328018,-104.5859985
o3_sim_74,39.745396,o3_sim_74,39.8328018,-104.6900024
o3_sim_75,35.804443,o3_sim_75,39.8328018,-104.7929993
o3_sim_76,36.199623,o3_sim_76,39.8328018,-104.8960037
o3_sim_77,33.12461,o3_sim_77,39.8328018,-104.9990005
o3_sim_78,33.713932,o3_sim_78,39.8328018,-105.1019974
o3_sim_79,39.36133,o3_sim_79,39.8328018,-105.2050018
o3_sim_80,37.351242,o3_sim_80,39.8328018,-105.3079987
o3_sim_81,41.917152,o3_sim_81,39.8328018,-105.4110031
o3_sim_82,37.285736,o3_sim_82,39.8328018,-105.5139999
o3_sim_83,32.846745,o3_sim_83,39.8328018,-105.6169968
