,o3,site,latitude,longitude
o3_sim_Evergreen_1_,50.97827,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,42.830887,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,42.2873,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,47.473854,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,49.51207,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,52.22687,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,49.919792,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,52.4468,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,43.62002,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,45.015335,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,49.617363,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,45.40911,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,42.557842,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,43.611618,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,44.665447,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,44.054276,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,45.123917,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,47.86989,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,45.404613,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,38.688286,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,45.798775,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,42.123287,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,38.509884,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,47.036697,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,50.737007,o3_sim_13,39.3174019,-105.6169968
o3_sim_14,47.96519,o3_sim_14,39.3174019,-105.7200012
o3_sim_15,43.059704,o3_sim_15,39.4205017,-104.3799973
o3_sim_16,45.333282,o3_sim_16,39.4205017,-104.4830017
o3_sim_17,44.411488,o3_sim_17,39.4205017,-104.5859985
o3_sim_18,44.42089,o3_sim_18,39.4205017,-104.6900024
o3_sim_19,48.087086,o3_sim_19,39.4205017,-104.7929993
o3_sim_20,45.761074,o3_sim_20,39.4205017,-104.8960037
o3_sim_21,45.373665,o3_sim_21,39.4205017,-104.9990005
o3_sim_22,40.43757,o3_sim_22,39.4205017,-105.1019974
o3_sim_23,46.648087,o3_sim_23,39.4205017,-105.2050018
o3_sim_24,42.04504,o3_sim_24,39.4205017,-105.3079987
o3_sim_25,40.48426,o3_sim_25,39.4205017,-105.4110031
o3_sim_26,41.290413,o3_sim_26,39.4205017,-105.5139999
o3_sim_27,48.911316,o3_sim_27,39.4205017,-105.6169968
o3_sim_28,44.309956,o3_sim_28,39.4205017,-105.7200012
o3_sim_29,42.212967,o3_sim_29,39.5236015,-104.3799973
o3_sim_30,42.691643,o3_sim_30,39.5236015,-104.4830017
o3_sim_31,45.02642,o3_sim_31,39.5236015,-104.5859985
o3_sim_32,44.598694,o3_sim_32,39.5236015,-104.6900024
o3_sim_33,49.340836,o3_sim_33,39.5236015,-104.7929993
o3_sim_34,51.95958,o3_sim_34,39.5236015,-104.8960037
o3_sim_35,50.912342,o3_sim_35,39.5236015,-104.9990005
o3_sim_36,45.99023,o3_sim_36,39.5236015,-105.1019974
o3_sim_37,42.664906,o3_sim_37,39.5236015,-105.2050018
o3_sim_38,43.8422,o3_sim_38,39.5236015,-105.3079987
o3_sim_39,42.5343,o3_sim_39,39.5236015,-105.4110031
o3_sim_40,42.01253,o3_sim_40,39.5236015,-105.5139999
o3_sim_41,48.78923,o3_sim_41,39.5236015,-105.6169968
o3_sim_42,48.225807,o3_sim_42,39.5236015,-105.7200012
o3_sim_43,42.70431,o3_sim_43,39.6265984,-104.3799973
o3_sim_44,44.188602,o3_sim_44,39.6265984,-104.4830017
o3_sim_45,43.390152,o3_sim_45,39.6265984,-104.5859985
o3_sim_46,47.509266,o3_sim_46,39.6265984,-104.6900024
