,o3,site,latitude,longitude
o3_sim_Evergreen_1_,22.338747,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,44.404606,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,24.057095,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,40.08619,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,39.198063,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,46.04967,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,37.503742,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,39.172363,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,24.007952,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,45.19133,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,37.900894,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,43.781067,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,41.285213,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,42.263702,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,41.63691,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,39.627663,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,39.709457,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,38.52756,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,36.05219,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,36.696117,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,33.931725,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,36.86352,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,31.870728,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,45.151974,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,45.656498,o3_sim_13,39.3174019,-105.6169968
o3_sim_14,42.60117,o3_sim_14,39.3174019,-105.7200012
o3_sim_15,41.503357,o3_sim_15,39.4205017,-104.3799973
o3_sim_16,42.21669,o3_sim_16,39.4205017,-104.4830017
o3_sim_17,41.063793,o3_sim_17,39.4205017,-104.5859985
o3_sim_18,38.917953,o3_sim_18,39.4205017,-104.6900024
o3_sim_19,37.614784,o3_sim_19,39.4205017,-104.7929993
o3_sim_20,33.27166,o3_sim_20,39.4205017,-104.8960037
o3_sim_21,34.14518,o3_sim_21,39.4205017,-104.9990005
o3_sim_22,32.48416,o3_sim_22,39.4205017,-105.1019974
o3_sim_23,31.95685,o3_sim_23,39.4205017,-105.2050018
o3_sim_24,25.896273,o3_sim_24,39.4205017,-105.3079987
o3_sim_25,34.650707,o3_sim_25,39.4205017,-105.4110031
o3_sim_26,39.91864,o3_sim_26,39.4205017,-105.5139999
o3_sim_27,44.748806,o3_sim_27,39.4205017,-105.6169968
o3_sim_28,38.038975,o3_sim_28,39.4205017,-105.7200012
o3_sim_29,41.571915,o3_sim_29,39.5236015,-104.3799973
o3_sim_30,41.008545,o3_sim_30,39.5236015,-104.4830017
o3_sim_31,42.76499,o3_sim_31,39.5236015,-104.5859985
o3_sim_32,39.548687,o3_sim_32,39.5236015,-104.6900024
o3_sim_33,35.419384,o3_sim_33,39.5236015,-104.7929993
o3_sim_34,33.711205,o3_sim_34,39.5236015,-104.8960037
o3_sim_35,30.743464,o3_sim_35,39.5236015,-104.9990005
o3_sim_36,35.3834,o3_sim_36,39.5236015,-105.1019974
o3_sim_37,38.587715,o3_sim_37,39.5236015,-105.2050018
o3_sim_38,41.985695,o3_sim_38,39.5236015,-105.3079987
o3_sim_39,43.206585,o3_sim_39,39.5236015,-105.4110031
o3_sim_40,37.466682,o3_sim_40,39.5236015,-105.5139999
o3_sim_41,36.712494,o3_sim_41,39.5236015,-105.6169968
o3_sim_42,37.438095,o3_sim_42,39.5236015,-105.7200012
o3_sim_43,40.895454,o3_sim_43,39.6265984,-104.3799973
o3_sim_44,39.005447,o3_sim_44,39.6265984,-104.4830017
o3_sim_45,40.32356,o3_sim_45,39.6265984,-104.5859985
o3_sim_46,40.76993,o3_sim_46,39.6265984,-104.6900024
o3_sim_47,34.861515,o3_sim_47,39.6265984,-104.7929993
o3_sim_48,24.936731,o3_sim_48,39.6265984,-104.8960037
o3_sim_49,25.9273,o3_sim_49,39.6265984,-104.9990005
o3_sim_50,29.269302,o3_sim_50,39.6265984,-105.1019974
o3_sim_51,35.492752,o3_sim_51,39.6265984,-105.2050018
o3_sim_52,30.231709,o3_sim_52,39.6265984,-105.3079987
o3_sim_53,28.703465,o3_sim_53,39.6265984,-105.4110031
o3_sim_54,40.713448,o3_sim_54,39.6265984,-105.5139999
o3_sim_55,32.20643,o3_sim_55,39.6265984,-105.6169968
o3_sim_56,42.1849,o3_sim_56,39.6265984,-105.7200012
o3_sim_57,37.75711,o3_sim_57,39.7296982,-104.3799973
o3_sim_58,41.081276,o3_sim_58,39.7296982,-104.4830017
o3_sim_59,40.711544,o3_sim_59,39.7296982,-104.5859985
o3_sim_60,39.1963,o3_sim_60,39.7296982,-104.6900024
o3_sim_61,31.977577,o3_sim_61,39.7296982,-104.7929993
o3_sim_62,31.830292,o3_sim_62,39.7296982,-104.8960037
o3_sim_63,20.627754,o3_sim_63,39.7296982,-104.9990005
o3_sim_64,23.415606,o3_sim_64,39.7296982,-105.1019974
