,o3,site,latitude,longitude
o3_sim_Evergreen_1_,27.815105,o3_sim_Evergreen_1_,39.620408,-105.33872
o3_sim_Idaho Springs_1_,42.44708,o3_sim_Idaho Springs_1_,39.792519,-105.49127
o3_sim_Five Points_1_,37.13627,o3_sim_Five Points_1_,39.751184,-104.987625
o3_sim_Welby_1_,31.031029,o3_sim_Welby_1_,39.838119,-104.94984
o3_sim_Highlands Ranch_1_,40.848152,o3_sim_Highlands Ranch_1_,39.567887,-104.957193
o3_sim_Rocky Flats_1_,47.707817,o3_sim_Rocky Flats_1_,39.912799,-105.188587
o3_sim_Boulder_1_,37.189266,o3_sim_Boulder_1_,40.070016,-105.220238
o3_sim_Chatfield Reservoir_1_,42.874554,o3_sim_Chatfield Reservoir_1_,39.534488,-105.070358
o3_sim_Sunnyside_1_,33.7769,o3_sim_Sunnyside_1_,39.77949,-105.00518
o3_sim_East Plains_1_,45.419125,o3_sim_East Plains_1_,39.638522,-104.569335
o3_sim_South Table_1_,40.262146,o3_sim_South Table_1_,39.743724,-105.177989
o3_sim_140,43.076122,o3_sim_140,40.2452011,-105.7200012
o3_sim_1,41.910988,o3_sim_1,39.3174019,-104.3799973
o3_sim_2,42.572002,o3_sim_2,39.3174019,-104.4830017
o3_sim_3,41.901485,o3_sim_3,39.3174019,-104.5859985
o3_sim_4,38.919758,o3_sim_4,39.3174019,-104.6900024
o3_sim_5,38.5802,o3_sim_5,39.3174019,-104.7929993
o3_sim_6,38.067215,o3_sim_6,39.3174019,-104.8960037
o3_sim_7,33.96734,o3_sim_7,39.3174019,-104.9990005
o3_sim_8,36.231827,o3_sim_8,39.3174019,-105.1019974
o3_sim_9,32.52834,o3_sim_9,39.3174019,-105.2050018
o3_sim_10,39.24427,o3_sim_10,39.3174019,-105.3079987
o3_sim_11,35.184826,o3_sim_11,39.3174019,-105.4110031
o3_sim_12,44.23601,o3_sim_12,39.3174019,-105.5139999
o3_sim_13,44.744366,o3_sim_13,39.3174019,-105.6169968
o3_sim_14,42.08378,o3_sim_14,39.3174019,-105.7200012
o3_sim_15,44.723175,o3_sim_15,39.4205017,-104.3799973
o3_sim_16,42.5608,o3_sim_16,39.4205017,-104.4830017
o3_sim_17,41.010353,o3_sim_17,39.4205017,-104.5859985
o3_sim_18,39.24778,o3_sim_18,39.4205017,-104.6900024
o3_sim_19,38.596546,o3_sim_19,39.4205017,-104.7929993
o3_sim_20,36.039776,o3_sim_20,39.4205017,-104.8960037
o3_sim_21,34.21524,o3_sim_21,39.4205017,-104.9990005
o3_sim_22,29.809418,o3_sim_22,39.4205017,-105.1019974
o3_sim_23,30.175472,o3_sim_23,39.4205017,-105.2050018
o3_sim_24,31.667229,o3_sim_24,39.4205017,-105.3079987
o3_sim_25,36.562817,o3_sim_25,39.4205017,-105.4110031
o3_sim_26,43.31857,o3_sim_26,39.4205017,-105.5139999
o3_sim_27,38.784466,o3_sim_27,39.4205017,-105.6169968
o3_sim_28,37.80952,o3_sim_28,39.4205017,-105.7200012
o3_sim_29,42.21569,o3_sim_29,39.5236015,-104.3799973
o3_sim_30,42.91242,o3_sim_30,39.5236015,-104.4830017
o3_sim_31,42.23857,o3_sim_31,39.5236015,-104.5859985
o3_sim_32,39.363857,o3_sim_32,39.5236015,-104.6900024
o3_sim_33,35.72404,o3_sim_33,39.5236015,-104.7929993
o3_sim_34,35.10229,o3_sim_34,39.5236015,-104.8960037
o3_sim_35,29.575325,o3_sim_35,39.5236015,-104.9990005
o3_sim_36,31.240906,o3_sim_36,39.5236015,-105.1019974
o3_sim_37,39.798866,o3_sim_37,39.5236015,-105.2050018
o3_sim_38,40.95004,o3_sim_38,39.5236015,-105.3079987
o3_sim_39,40.857285,o3_sim_39,39.5236015,-105.4110031
o3_sim_40,41.518353,o3_sim_40,39.5236015,-105.5139999
o3_sim_41,38.44812,o3_sim_41,39.5236015,-105.6169968
o3_sim_42,37.456158,o3_sim_42,39.5236015,-105.7200012
o3_sim_43,40.23578,o3_sim_43,39.6265984,-104.3799973
o3_sim_44,40.587276,o3_sim_44,39.6265984,-104.4830017
o3_sim_45,41.310112,o3_sim_45,39.6265984,-104.5859985
o3_sim_46,40.83132,o3_sim_46,39.6265984,-104.6900024
o3_sim_47,36.0369,o3_sim_47,39.6265984,-104.7929993
o3_sim_48,29.853031,o3_sim_48,39.6265984,-104.8960037
o3_sim_49,27.335129,o3_sim_49,39.6265984,-104.9990005
o3_sim_50,31.186756,o3_sim_50,39.6265984,-105.1019974
o3_sim_51,30.566372,o3_sim_51,39.6265984,-105.2050018
o3_sim_52,34.855164,o3_sim_52,39.6265984,-105.3079987
o3_sim_53,31.4169,o3_sim_53,39.6265984,-105.4110031
o3_sim_54,37.582767,o3_sim_54,39.6265984,-105.5139999
o3_sim_55,32.52269,o3_sim_55,39.6265984,-105.6169968
o3_sim_56,45.475105,o3_sim_56,39.6265984,-105.7200012
o3_sim_57,38.252304,o3_sim_57,39.7296982,-104.3799973
o3_sim_58,40.694786,o3_sim_58,39.7296982,-104.4830017
o3_sim_59,40.78965,o3_sim_59,39.7296982,-104.5859985
o3_sim_60,40.704605,o3_sim_60,39.7296982,-104.6900024
o3_sim_61,32.915764,o3_sim_61,39.7296982,-104.7929993
o3_sim_62,33.239418,o3_sim_62,39.7296982,-104.8960037
o3_sim_63,25.397837,o3_sim_63,39.7296982,-104.9990005
o3_sim_64,27.112915,o3_sim_64,39.7296982,-105.1019974
o3_sim_65,27.509811,o3_sim_65,39.7296982,-105.2050018
o3_sim_66,31.889761,o3_sim_66,39.7296982,-105.3079987
o3_sim_67,34.075024,o3_sim_67,39.7296982,-105.4110031
o3_sim_68,21.81274,o3_sim_68,39.7296982,-105.5139999
o3_sim_69,46.10773,o3_sim_69,39.7296982,-105.6169968
o3_sim_70,39.22242,o3_sim_70,39.7296982,-105.7200012
o3_sim_71,39.07393,o3_sim_71,39.8328018,-104.3799973
o3_sim_72,38.73812,o3_sim_72,39.8328018,-104.4830017
o3_sim_73,38.481018,o3_sim_73,39.8328018,-104.5859985
o3_sim_74,39.29134,o3_sim_74,39.8328018,-104.6900024
o3_sim_75,38.27174,o3_sim_75,39.8328018,-104.7929993
o3_sim_76,35.22187,o3_sim_76,39.8328018,-104.8960037
