,hour,missing_site,actual,prediction
0,2023-06-10 10:00:00,Evergreen,26.0,31.582578659058
1,2023-06-10 10:00:00,Idaho Springs,42.0,36.035747528076
2,2023-06-10 10:00:00,Five Points,31.0,15.168701171875
3,2023-06-10 10:00:00,Welby,15.0,17.74164390564
4,2023-06-10 10:00:00,Highlands Ranch,39.0,22.101892471313
5,2023-06-10 10:00:00,Rocky Flats,43.0,29.654409408569
6,2023-06-10 10:00:00,Boulder,30.0,32.311878204346
7,2023-06-10 10:00:00,Chatfield Reservoir,27.0,28.365413665771
8,2023-06-10 10:00:00,Sunnyside,19.0,16.302310943604
9,2023-06-10 10:00:00,East Plains,39.0,31.265167236328
10,2023-06-10 10:00:00,South Table,40.0,27.169473648071
11,2023-06-10 11:00:00,Evergreen,22.0,31.952474594116
12,2023-06-10 11:00:00,Idaho Springs,43.0,35.796501159668
13,2023-06-10 11:00:00,Five Points,25.0,14.932748794556
14,2023-06-10 11:00:00,Welby,8.0,17.025234222412
15,2023-06-10 11:00:00,Highlands Ranch,34.0,22.406669616699
16,2023-06-10 11:00:00,Rocky Flats,44.0,28.692571640015
17,2023-06-10 11:00:00,Boulder,32.0,30.54754447937
18,2023-06-10 11:00:00,Chatfield Reservoir,30.0,28.923528671265
19,2023-06-10 11:00:00,Sunnyside,19.0,15.898546218872
20,2023-06-10 11:00:00,East Plains,36.0,30.927091598511
21,2023-06-10 11:00:00,South Table,39.0,27.045515060425
22,2023-06-10 12:00:00,Evergreen,21.0,33.372276306152
23,2023-06-10 12:00:00,Idaho Springs,42.0,35.704528808594
24,2023-06-10 12:00:00,Five Points,22.0,13.218154907227
25,2023-06-10 12:00:00,Welby,9.0,16.160762786865
26,2023-06-10 12:00:00,Highlands Ranch,31.0,22.86393737793
27,2023-06-10 12:00:00,Rocky Flats,45.0,29.196050643921
28,2023-06-10 12:00:00,Boulder,31.0,30.050689697266
29,2023-06-10 12:00:00,Chatfield Reservoir,26.0,30.054992675781
