,o3,site,latitude,longitude,randoms
o3_sim_140,46.589706,o3_sim_140,40.2452011,-105.7200012,6.3e-05
o3_sim_1,39.18711,o3_sim_1,39.3174019,-104.3799973,4.21e-05
o3_sim_2,39.006374,o3_sim_2,39.3174019,-104.4830017,9.96e-05
o3_sim_3,43.046448,o3_sim_3,39.3174019,-104.5859985,1.8e-06
o3_sim_4,34.825233,o3_sim_4,39.3174019,-104.6900024,8.69e-05
o3_sim_5,37.373978,o3_sim_5,39.3174019,-104.7929993,3.57e-05
o3_sim_6,38.617546,o3_sim_6,39.3174019,-104.8960037,3.58e-05
o3_sim_7,48.928764,o3_sim_7,39.3174019,-104.9990005,8.5e-06
o3_sim_8,50.001,o3_sim_8,39.3174019,-105.1019974,1.38e-05
o3_sim_9,44.4832,o3_sim_9,39.3174019,-105.2050018,8.5e-05
o3_sim_10,41.85294,o3_sim_10,39.3174019,-105.3079987,7.47e-05
o3_sim_11,40.835335,o3_sim_11,39.3174019,-105.4110031,5.76e-05
o3_sim_12,44.50814,o3_sim_12,39.3174019,-105.5139999,1.62e-05
o3_sim_13,42.937138,o3_sim_13,39.3174019,-105.6169968,9.7e-05
o3_sim_14,51.961216,o3_sim_14,39.3174019,-105.7200012,7.7e-06
o3_sim_15,40.83236,o3_sim_15,39.4205017,-104.3799973,2.8e-05
o3_sim_16,38.052494,o3_sim_16,39.4205017,-104.4830017,4.72e-05
o3_sim_17,34.630753,o3_sim_17,39.4205017,-104.5859985,5.59e-05
o3_sim_18,40.60203,o3_sim_18,39.4205017,-104.6900024,3.13e-05
o3_sim_19,43.203087,o3_sim_19,39.4205017,-104.7929993,4.92e-05
o3_sim_20,48.413666,o3_sim_20,39.4205017,-104.8960037,6.1e-05
o3_sim_21,56.914253,o3_sim_21,39.4205017,-104.9990005,6.67e-05
o3_sim_22,46.74688,o3_sim_22,39.4205017,-105.1019974,3.28e-05
o3_sim_23,43.337524,o3_sim_23,39.4205017,-105.2050018,1.6e-05
o3_sim_24,49.497643,o3_sim_24,39.4205017,-105.3079987,3.81e-05
o3_sim_25,43.830395,o3_sim_25,39.4205017,-105.4110031,7.9e-06
o3_sim_26,53.555355,o3_sim_26,39.4205017,-105.5139999,8.14e-05
o3_sim_27,46.905056,o3_sim_27,39.4205017,-105.6169968,1.11e-05
o3_sim_28,48.6739,o3_sim_28,39.4205017,-105.7200012,3.04e-05
o3_sim_29,42.017155,o3_sim_29,39.5236015,-104.3799973,8.3e-05
o3_sim_30,41.16452,o3_sim_30,39.5236015,-104.4830017,3.31e-05
o3_sim_31,41.486973,o3_sim_31,39.5236015,-104.5859985,5.71e-05
o3_sim_32,43.979115,o3_sim_32,39.5236015,-104.6900024,5.06e-05
o3_sim_33,50.078255,o3_sim_33,39.5236015,-104.7929993,9.25e-05
o3_sim_34,49.14408,o3_sim_34,39.5236015,-104.8960037,6.78e-05
o3_sim_35,51.456623,o3_sim_35,39.5236015,-104.9990005,5.62e-05
o3_sim_36,60.490505,o3_sim_36,39.5236015,-105.1019974,2.71e-05
o3_sim_37,42.38063,o3_sim_37,39.5236015,-105.2050018,5.42e-05
o3_sim_38,44.294563,o3_sim_38,39.5236015,-105.3079987,7.65e-05
o3_sim_39,51.23306,o3_sim_39,39.5236015,-105.4110031,8.67e-05
o3_sim_40,48.08294,o3_sim_40,39.5236015,-105.5139999,6.6e-06
o3_sim_41,48.535313,o3_sim_41,39.5236015,-105.6169968,9.63e-05
o3_sim_42,43.72617,o3_sim_42,39.5236015,-105.7200012,6.42e-05
o3_sim_43,41.261826,o3_sim_43,39.6265984,-104.3799973,8.26e-05
o3_sim_44,38.341095,o3_sim_44,39.6265984,-104.4830017,8.98e-05
o3_sim_45,45.870705,o3_sim_45,39.6265984,-104.5859985,6.16e-05
o3_sim_46,49.545933,o3_sim_46,39.6265984,-104.6900024,9.83e-05
o3_sim_47,51.83271,o3_sim_47,39.6265984,-104.7929993,1.19e-05
o3_sim_48,47.86214,o3_sim_48,39.6265984,-104.8960037,9.48e-05
o3_sim_49,47.39261,o3_sim_49,39.6265984,-104.9990005,7e-05
o3_sim_50,48.404366,o3_sim_50,39.6265984,-105.1019974,2.8e-06
o3_sim_51,44.544,o3_sim_51,39.6265984,-105.2050018,8.56e-05
o3_sim_52,38.682915,o3_sim_52,39.6265984,-105.3079987,5.61e-05
o3_sim_53,44.380543,o3_sim_53,39.6265984,-105.4110031,5.22e-05
o3_sim_54,44.858944,o3_sim_54,39.6265984,-105.5139999,9.95e-05
o3_sim_55,49.828987,o3_sim_55,39.6265984,-105.6169968,8.8e-05
o3_sim_56,43.770416,o3_sim_56,39.6265984,-105.7200012,8.75e-05
o3_sim_57,44.22249,o3_sim_57,39.7296982,-104.3799973,1.02e-05
o3_sim_58,47.622803,o3_sim_58,39.7296982,-104.4830017,1.66e-05
o3_sim_59,46.844734,o3_sim_59,39.7296982,-104.5859985,4.58e-05
o3_sim_60,48.801987,o3_sim_60,39.7296982,-104.6900024,2.05e-05
o3_sim_61,48.929977,o3_sim_61,39.7296982,-104.7929993,9.34e-05
o3_sim_62,50.78998,o3_sim_62,39.7296982,-104.8960037,4.5e-05
o3_sim_63,45.62446,o3_sim_63,39.7296982,-104.9990005,9.66e-05
o3_sim_64,46.00259,o3_sim_64,39.7296982,-105.1019974,3.71e-05
o3_sim_65,56.608387,o3_sim_65,39.7296982,-105.2050018,4.09e-05
o3_sim_66,46.222103,o3_sim_66,39.7296982,-105.3079987,3.78e-05
o3_sim_67,43.103508,o3_sim_67,39.7296982,-105.4110031,3.9e-05
o3_sim_68,38.113777,o3_sim_68,39.7296982,-105.5139999,7.2e-05
