,date,o3,orog,pop_den,NLCD,elev,site_name,Unnamed: 0,datetime,step,valid_time,u10,v10,point_latitude_x,point_longitude_x,t2m,r2,sp,dswrf,MAXUVV,MAXDVV,point_id,mapped_o,latitude,longitude,county_code,site_number,date_local,time_local,date_gmt,time_gmt,sample_measurement,county,coords_y,site,point_latitude_y,point_longitude_y,real_site_name,ozone_site
0,2023-05-01 07:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21822.0,2023-05-01 07:00:00,0 days,5/1/2023 7:00,1.7288551,-3.1871853,39.4205017,-105.5139999,278.37283,40.9,74250.0,0.0,-0.17463923,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,0:00,5/1/2023,7:00,0.032,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
1,2023-05-01 08:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21823.0,2023-05-01 08:00:00,0 days,5/1/2023 8:00,3.0274963,-3.7862244,39.4205017,-105.5139999,277.37265,42.1,74200.0,0.0,-0.22671032,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,1:00,5/1/2023,8:00,0.038,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
2,2023-05-01 09:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21824.0,2023-05-01 09:00:00,0 days,5/1/2023 9:00,0.48955536,-3.2533016,39.4205017,-105.5139999,277.23676,36.1,74160.0,0.0,-0.1248045,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,2:00,5/1/2023,9:00,0.037,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
3,2023-05-01 10:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21825.0,2023-05-01 10:00:00,0 days,5/1/2023 10:00,0.2129631,-1.8580456,39.4205017,-105.5139999,276.7002,41.9,74130.0,0.0,-0.09786129,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,3:00,5/1/2023,10:00,0.03,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
4,2023-05-01 11:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21826.0,2023-05-01 11:00:00,0 days,5/1/2023 11:00,-0.64052963,-1.8067646,39.4205017,-105.5139999,277.0745,32.7,74130.0,0.0,-0.14000893,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,4:00,5/1/2023,11:00,0.027,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
5,2023-05-01 12:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21827.0,2023-05-01 12:00:00,0 days,5/1/2023 12:00,1.0544815,-2.8039513,39.4205017,-105.5139999,277.3218,33.7,74150.0,0.0,-0.07271862,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,5:00,5/1/2023,12:00,0.027,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
6,2023-05-01 13:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21828.0,2023-05-01 13:00:00,0 days,5/1/2023 13:00,2.4262905,-2.9349537,39.4205017,-105.5139999,278.95084,29.6,74150.0,140.9,-0.12977076,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,6:00,5/1/2023,13:00,0.029,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
7,2023-05-01 14:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21829.0,2023-05-01 14:00:00,0 days,5/1/2023 14:00,2.033638,-1.7643738,39.4205017,-105.5139999,283.06244,31.3,74200.0,350.8,-0.09991217,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,7:00,5/1/2023,14:00,,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
8,2023-05-01 15:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21830.0,2023-05-01 15:00:00,0 days,5/1/2023 15:00,-0.8720474,0.3735981,39.4205017,-105.5139999,285.54974,28.7,74220.0,565.9,-0.029186726,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,8:00,5/1/2023,15:00,0.03,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
9,2023-05-01 16:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21831.0,2023-05-01 16:00:00,0 days,5/1/2023 16:00,0.50349045,-0.451931,39.4205017,-105.5139999,287.81424,26.9,74150.0,758.0,-0.012863159,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,9:00,5/1/2023,16:00,0.034,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
10,2023-05-01 17:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21832.0,2023-05-01 17:00:00,0 days,5/1/2023 17:00,4.6688824,-2.3423176,39.4205017,-105.5139999,289.68677,21.3,74170.0,904.0,-0.08030033,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,10:00,5/1/2023,17:00,0.037,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
11,2023-05-01 18:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21833.0,2023-05-01 18:00:00,0 days,5/1/2023 18:00,4.187319,-1.6851482,39.4205017,-105.5139999,290.55325,21.1,74170.0,988.0,-0.022806644,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,11:00,5/1/2023,18:00,0.043,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
12,2023-05-01 19:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21834.0,2023-05-01 19:00:00,0 days,5/1/2023 19:00,3.181366,-1.6561146,39.4205017,-105.5139999,290.84595,20.3,74130.0,370.0,-0.036598206,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,12:00,5/1/2023,19:00,0.051,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
13,2023-05-01 20:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21835.0,2023-05-01 20:00:00,0 days,5/1/2023 20:00,2.5084705,-1.7891407,39.4205017,-105.5139999,290.40466,21.1,74140.0,79.0,-0.045107365,0.0,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,13:00,5/1/2023,20:00,0.058,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
14,2023-05-01 21:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21836.0,2023-05-01 21:00:00,0 days,5/1/2023 21:00,-1.1282139,0.9589386,39.4205017,-105.5139999,290.0199,22.9,74100.0,199.0,-0.011781693,0.0625,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,14:00,5/1/2023,21:00,0.061,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
15,2023-05-01 22:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21837.0,2023-05-01 22:00:00,0 days,5/1/2023 22:00,-3.8893757,2.2114868,39.4205017,-105.5139999,289.11514,28.0,74060.0,177.8,0.03087616,0.0625,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,15:00,5/1/2023,22:00,0.062,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
16,2023-05-01 23:00:00,0.05,2597.8572,3.7133002,0.0,2537,26,21838.0,2023-05-01 23:00:00,0 days,5/1/2023 23:00,-1.8214455,0.48897552,39.4205017,-105.5139999,287.97717,36.5,74130.0,478.9,0.004598618,0.0625,"39.4205017,-105.5139999","39.743724,-105.177989",39.743724,-105.177989,59.0,11.0,5/1/2023,16:00,5/1/2023,23:00,0.062,Jefferson,"39.743724,-105.177989",70.0,39.4205017,-105.5139999,South Table,10kgrid_merge2
