,Unnamed: 0,date,preds_0,actual,preds_1,preds_2,preds_3,preds_4,preds_5,preds_6,preds_7,site_name,lat,lon
1870,1870,2023-08-12 11:00:00,44.11793,43.0,45.17877,45.738585,47.95899,47.75566,48.89791,48.10872,48.1478,"39.5236015,-104.3799973",39.5236015,-104.3799973
1870,1870,2023-08-12 11:00:00,44.613697,43.0,45.682088,46.303883,48.482306,48.44002,49.485170000000004,48.908345,48.91892,"39.5236015,-104.4830017",39.5236015,-104.4830017
1870,1870,2023-08-12 11:00:00,44.35212,43.0,45.235585,45.658182,47.506634,46.98973,47.675937000000005,46.743315,46.530246999999996,"39.5236015,-104.5859985",39.5236015,-104.5859985
1987,1987,2023-08-12 11:00:00,44.34878,43.0,45.016225,45.182426,46.762906,46.213395999999996,46.86058,46.01397,45.731764,"39.5236015,-104.6900024",39.5236015,-104.6900024
2142,2142,2023-08-12 11:00:00,42.449865,40.0,43.95049,43.65043,44.145036,42.757634,44.070985,46.294126999999996,46.177898,"39.5236015,-104.7929993",39.5236015,-104.7929993
2234,2234,2023-08-12 11:00:00,43.53373,40.0,45.619935,45.556810000000006,46.423648,45.847826,47.492366000000004,49.833349999999996,50.03278,"39.5236015,-104.8960037",39.5236015,-104.8960037
2234,2234,2023-08-12 11:00:00,42.72269,40.0,44.715329999999994,44.39466,44.99029,43.697927,45.010548,47.214135999999996,47.294118000000005,"39.5236015,-104.9990005",39.5236015,-104.9990005
2234,2234,2023-08-12 11:00:00,41.59529,35.0,44.24198,45.61486,48.148084,48.166122,49.542148000000005,52.829679999999996,50.125825999999996,"39.5236015,-105.1019974",39.5236015,-105.1019974
2266,2266,2023-08-12 11:00:00,43.959904,35.0,46.088148000000004,46.636722999999996,47.656606999999994,47.034428000000005,47.859862,50.143595999999995,47.70754,"39.5236015,-105.2050018",39.5236015,-105.2050018
2146,2146,2023-08-12 11:00:00,29.653982999999997,26.0,32.354213,36.158944999999996,37.856683000000004,39.719789999999996,39.7884,45.61206,39.811876000000005,"39.5236015,-105.3079987",39.5236015,-105.3079987
2146,2146,2023-08-12 11:00:00,30.833282999999998,26.0,35.259973,40.50694,43.467775,47.123726,47.949276999999995,55.5307,49.578328,"39.5236015,-105.4110031",39.5236015,-105.4110031
2146,2146,2023-08-12 11:00:00,32.242063,26.0,36.854487,42.144163999999996,45.240466,49.129397,49.763292,58.185663,52.01556,"39.5236015,-105.5139999",39.5236015,-105.5139999
2146,2146,2023-08-12 11:00:00,34.713134,26.0,41.451572999999996,47.64998,52.154012,56.832813,59.817049999999995,66.11618399999999,64.00095999999999,"39.5236015,-105.6169968",39.5236015,-105.6169968
2300,2300,2023-08-12 11:00:00,46.964659999999995,42.0,50.83199,53.493390000000005,55.30142,57.120785,57.707347,59.46233,61.09527,"39.5236015,-105.7200012",39.5236015,-105.7200012
1870,1870,2023-08-12 11:00:00,43.3766,43.0,44.093202999999995,44.007298,45.868352,45.323584,46.223715,45.36373,45.355685,"39.6265984,-104.3799973",39.6265984,-104.3799973
1870,1870,2023-08-12 11:00:00,44.548145999999996,43.0,45.687255,46.381716000000004,48.777103000000004,48.775483,49.97869600000001,49.35957,49.5242,"39.6265984,-104.4830017",39.6265984,-104.4830017
1870,1870,2023-08-12 11:00:00,44.309553,43.0,45.293413,45.610797,47.784694,47.417443,48.317122999999995,47.530125999999996,47.493998000000005,"39.6265984,-104.5859985",39.6265984,-104.5859985
1870,1870,2023-08-12 11:00:00,44.244856,43.0,45.162503,45.508265,47.68875,47.589377,48.708186,48.024327,48.098356,"39.6265984,-104.6900024",39.6265984,-104.6900024
2025,2025,2023-08-12 11:00:00,42.427983000000005,40.0,44.065647,43.34991,43.613600000000005,42.11828,43.559115000000006,45.798525,45.75035999999999,"39.6265984,-104.7929993",39.6265984,-104.7929993
1815,1815,2023-08-12 11:00:00,42.341087,40.0,43.853797,43.19574,43.63253,42.380657,43.89298,46.179168,46.2433,"39.6265984,-104.8960037",39.6265984,-104.8960037
2117,2117,2023-08-12 11:00:00,39.774135,40.0,39.869460000000004,37.868045,37.66864,35.43428299999999,36.568698,38.887966000000006,38.762663,"39.6265984,-104.9990005",39.6265984,-104.9990005
2266,2266,2023-08-12 11:00:00,41.324418,35.0,42.54074,42.229313,43.69936,42.706035,43.58581,46.380289999999995,43.536354,"39.6265984,-105.1019974",39.6265984,-105.1019974
2334,2334,2023-08-12 11:00:00,45.77548,43.0,49.727768,50.067170000000004,47.398053000000004,53.21058,53.954925,54.702529999999996,54.505207,"39.6265984,-105.2050018",39.6265984,-105.2050018
2146,2146,2023-08-12 11:00:00,29.361287,26.0,31.700939999999996,34.976374,36.305527999999995,37.972359999999995,37.968554000000005,43.792706,37.8836,"39.6265984,-105.3079987",39.6265984,-105.3079987
2146,2146,2023-08-12 11:00:00,29.813277,26.0,32.673012,36.425937,38.379867,40.788088,41.498896,48.067644,42.248674,"39.6265984,-105.4110031",39.6265984,-105.4110031
2299,2299,2023-08-12 11:00:00,46.764920000000004,42.0,49.89142,52.13801,53.9463,55.00016,54.970708,56.78245,58.465637,"39.6265984,-105.5139999",39.6265984,-105.5139999
2299,2299,2023-08-12 11:00:00,49.089946000000005,42.0,53.502936,56.382608,58.933694,61.14785,62.89578999999999,65.44998000000001,67.75360599999999,"39.6265984,-105.6169968",39.6265984,-105.6169968
2300,2300,2023-08-12 11:00:00,48.8262,42.0,53.728018000000006,56.85129,59.366170000000004,61.606526,63.12492,65.47215000000001,67.59179,"39.6265984,-105.7200012",39.6265984,-105.7200012
1986,1986,2023-08-12 11:00:00,42.7545,43.0,43.37509,42.978715,45.147467,44.561820000000004,45.447536,44.5778,44.61847,"39.7296982,-104.3799973",39.7296982,-104.3799973
