,date,preds_0_Boulder,actual,preds_1_Boulder,preds_2_Boulder,preds_3_Boulder,preds_4_Boulder,preds_5_Boulder,site_name,lat,lon
36,2023-06-04 00:00:00+00:00,0.044347648,0.05,0.04272638,0.04065788,0.039722998,0.038672592,0.041029856,Boulder,40.070016,-105.220238
37,2023-06-04 01:00:00+00:00,0.04668089,0.048,0.040956505,0.039729062,0.038134106,0.03738882,0.03656376,Boulder,40.070016,-105.220238
38,2023-06-04 02:00:00+00:00,0.041989274,0.04700000000000001,0.040649362,0.036189523,0.03531013,0.034105364,0.033550285,Boulder,40.070016,-105.220238
39,2023-06-04 03:00:00+00:00,0.041410133,0.044,0.036628623,0.035570733,0.032152757,0.031454988,0.030517856,Boulder,40.070016,-105.220238
40,2023-06-04 04:00:00+00:00,0.039309777,0.042,0.036834605,0.03301527,0.032188527,0.02935892,0.028786214,Boulder,40.070016,-105.220238
41,2023-06-04 05:00:00+00:00,0.037677657,0.042,0.035162758,0.033145368,0.030080767,0.02938964,0.027043186,Boulder,40.070016,-105.220238
42,2023-06-04 06:00:00+00:00,0.03781946,0.05,0.03377411,0.03172347,0.030090922,0.027506515,0.026928743,Boulder,40.070016,-105.220238
43,2023-06-04 07:00:00+00:00,0.045552626,0.042,0.033626594,0.030202657,0.02849796,0.027094753,0.024900584,Boulder,40.070016,-105.220238
44,2023-06-04 08:00:00+00:00,0.03703185,0.037,0.040649805,0.030005936,0.027081741,0.025595333,0.024391942,Boulder,40.070016,-105.220238
45,2023-06-04 09:00:00+00:00,0.033389322,0.034,0.033420265,0.036638312,0.027354391,0.02481959,0.02355769,Boulder,40.070016,-105.220238
46,2023-06-04 10:00:00+00:00,0.031218113,0.037,0.030642763,0.030669179,0.033440836,0.02530085,0.023149928,Boulder,40.070016,-105.220238
47,2023-06-04 11:00:00+00:00,0.033931617,0.034,0.028443627,0.02795448,0.027976766,0.030421067,0.023352453,Boulder,40.070016,-105.220238
48,2023-06-04 12:00:00+00:00,0.03135167,0.035,0.03128646,0.026790755,0.02639596,0.026414827,0.028483301,Boulder,40.070016,-105.220238
49,2023-06-04 13:00:00+00:00,0.03324423,0.034,0.029920008,0.029869286,0.026388254,0.026064172,0.02607969,Boulder,40.070016,-105.220238
50,2023-06-04 14:00:00+00:00,0.03329504,0.048,0.032607783,0.03008372,0.030045593,0.027272921,0.027015287,Boulder,40.070016,-105.220238
51,2023-06-04 15:00:00+00:00,0.04739793,0.042,0.033859152,0.033356294,0.031499166,0.031469524,0.029341375,Boulder,40.070016,-105.220238
52,2023-06-04 16:00:00+00:00,0.03988027,0.04,0.04503613,0.034877002,0.034505982,0.033063814,0.033041175,Boulder,40.070016,-105.220238
53,2023-06-04 17:00:00+00:00,0.039533354,0.04,0.039426774,0.043327544,0.035567276,0.0352748,0.03415962,Boulder,40.070016,-105.220238
54,2023-06-04 18:00:00+00:00,0.03973216,0.041,0.03931574,0.039234973,0.042257417,0.035974674,0.035745364,Boulder,40.070016,-105.220238
55,2023-06-04 19:00:00+00:00,0.040303078,0.041,0.039158214,0.038841438,0.038778346,0.041225232,0.03624594,Boulder,40.070016,-105.220238
56,2023-06-04 20:00:00+00:00,0.039874446,0.044,0.039235134,0.03834604,0.038093816,0.038041867,0.04000713,Boulder,40.070016,-105.220238
57,2023-06-04 21:00:00+00:00,0.04311276,0.048,0.039146554,0.038639307,0.03792453,0.037717283,0.03767586,Boulder,40.070016,-105.220238
58,2023-06-04 22:00:00+00:00,0.04700064,0.04900000000000001,0.041916255,0.038592532,0.038172897,0.037574682,0.037408147,Boulder,40.070016,-105.220238
59,2023-06-04 23:00:00+00:00,0.046320472,0.051,0.044340834,0.040117096,0.037371263,0.037024416,0.036545757,Boulder,40.070016,-105.220238
60,2023-06-05 00:00:00+00:00,0.048128124,0.04700000000000001,0.043633338,0.042061687,0.03867145,0.03643231,0.036156036,Boulder,40.070016,-105.220238
61,2023-06-05 01:00:00+00:00,0.042807516,0.041,0.043920647,0.04050233,0.03926161,0.036532793,0.03478078,Boulder,40.070016,-105.220238
62,2023-06-05 02:00:00+00:00,0.03593394,0.036,0.03766672,0.038509987,0.03603803,0.035072383,0.032983158,Boulder,40.070016,-105.220238
63,2023-06-05 03:00:00+00:00,0.03204451,0.033,0.031983342,0.03332032,0.03397085,0.031954926,0.031178607,Boulder,40.070016,-105.220238
64,2023-06-05 04:00:00+00:00,0.02948691,0.023,0.028605985,0.028557882,0.029607119,0.030159445,0.028451579,Boulder,40.070016,-105.220238
65,2023-06-05 05:00:00+00:00,0.020395344,0.034,0.02628479,0.025580738,0.025542077,0.026430624,0.026896749,Boulder,40.070016,-105.220238
66,2023-06-05 06:00:00+00:00,0.031147376,0.033,0.018892642,0.02357997,0.023000192,0.02296706,0.023719123,Boulder,40.070016,-105.220238
67,2023-06-05 07:00:00+00:00,0.029228266,0.023,0.027467433,0.01737832,0.021241006,0.020739993,0.02071186,Boulder,40.070016,-105.220238
68,2023-06-05 08:00:00+00:00,0.020460267,0.031999999999999994,0.026212206,0.024717564,0.016207455,0.01952263,0.019099902,Boulder,40.070016,-105.220238
69,2023-06-05 09:00:00+00:00,0.02968438,0.024000000000000004,0.019389298,0.02405523,0.022788152,0.015454555,0.018241514,Boulder,40.070016,-105.220238
70,2023-06-05 10:00:00+00:00,0.021536816,0.023,0.026888274,0.01843758,0.022297967,0.021206208,0.015026715,Boulder,40.070016,-105.220238
71,2023-06-05 11:00:00+00:00,0.021573527,0.024000000000000004,0.020282306,0.02467979,0.017570104,0.020902276,0.019974975,Boulder,40.070016,-105.220238
72,2023-06-05 12:00:00+00:00,0.02358697,0.015,0.021424325,0.02042722,0.023952233,0.017926749,0.020698877,Boulder,40.070016,-105.220238
