,date,preds_0_Evergreen,actual,preds_1_Evergreen,preds_2_Evergreen,preds_3_Evergreen,preds_4_Evergreen,preds_5_Evergreen,site_name,lat,lon
34,2023-06-03 22:00:00+00:00,0.049506925,0.053000000000000005,0.045221955,0.04342809,0.039646193,0.03716762,0.034734383,Evergreen,39.620408,-105.33872
35,2023-06-03 23:00:00+00:00,0.04864873,0.053000000000000005,0.045152422,0.041507095,0.039919443,0.036674865,0.03463811,Evergreen,39.620408,-105.33872
36,2023-06-04 00:00:00+00:00,0.049088664,0.052,0.044904098,0.042031754,0.038776997,0.037416626,0.03472621,Evergreen,39.620408,-105.33872
37,2023-06-04 01:00:00+00:00,0.04480371,0.05,0.04184499,0.03862587,0.03624781,0.03359337,0.032522287,Evergreen,39.620408,-105.33872
38,2023-06-04 02:00:00+00:00,0.041389413,0.048,0.036248412,0.033949494,0.031466804,0.029645136,0.027675686,Evergreen,39.620408,-105.33872
39,2023-06-04 03:00:00+00:00,0.04054271,0.031999999999999994,0.034122244,0.029930018,0.028011747,0.025934344,0.024476975,Evergreen,39.620408,-105.33872
40,2023-06-04 04:00:00+00:00,0.026441311,0.03,0.034576215,0.029216938,0.025593353,0.02392245,0.022186555,Evergreen,39.620408,-105.33872
41,2023-06-04 05:00:00+00:00,0.026654553,0.026,0.0235221,0.030244503,0.025540082,0.022388503,0.020994253,Evergreen,39.620408,-105.33872
42,2023-06-04 06:00:00+00:00,0.02263485,0.022,0.023214046,0.020687189,0.026498208,0.022405682,0.019779831,Evergreen,39.620408,-105.33872
43,2023-06-04 07:00:00+00:00,0.019273138,0.019,0.019830672,0.020309074,0.018075366,0.023138827,0.019720696,Evergreen,39.620408,-105.33872
44,2023-06-04 08:00:00+00:00,0.017065143,0.017,0.017300196,0.017757325,0.018179704,0.01623149,0.020428687,Evergreen,39.620408,-105.33872
45,2023-06-04 09:00:00+00:00,0.015533928,0.012,0.015588327,0.01577727,0.0161848,0.016557919,0.014927231,Evergreen,39.620408,-105.33872
46,2023-06-04 10:00:00+00:00,0.011724042,0.010000000000000002,0.0146088675,0.014652536,0.014823108,0.015188817,0.015505425,Evergreen,39.620408,-105.33872
47,2023-06-04 11:00:00+00:00,0.010819143,0.009000000000000001,0.012213769,0.014561506,0.014601095,0.01475608,0.015069823,Evergreen,39.620408,-105.33872
48,2023-06-04 12:00:00+00:00,0.010141676,0.010000000000000002,0.011586487,0.012687107,0.01475156,0.014787604,0.014922166,Evergreen,39.620408,-105.33872
49,2023-06-04 13:00:00+00:00,0.011362636,0.014000000000000002,0.011478473,0.012562304,0.013466759,0.015265943,0.015296445,Evergreen,39.620408,-105.33872
50,2023-06-04 14:00:00+00:00,0.017865947,0.017,0.015714977,0.015797498,0.016630752,0.017373618,0.018807335,Evergreen,39.620408,-105.33872
51,2023-06-04 15:00:00+00:00,0.021990763,0.028999999999999998,0.022714848,0.021235669,0.021296019,0.021946913,0.022503106,Evergreen,39.620408,-105.33872
52,2023-06-04 16:00:00+00:00,0.03472139,0.041,0.028835837,0.029303357,0.02831591,0.028357344,0.028768264,Evergreen,39.620408,-105.33872
53,2023-06-04 17:00:00+00:00,0.042091504,0.046,0.036573026,0.032686677,0.03299389,0.032344103,0.03236793,Evergreen,39.620408,-105.33872
54,2023-06-04 18:00:00+00:00,0.04423632,0.04900000000000001,0.04068364,0.036700327,0.033858363,0.03407875,0.033666786,Evergreen,39.620408,-105.33872
55,2023-06-04 19:00:00+00:00,0.047308303,0.053000000000000005,0.04267251,0.03993515,0.036829263,0.034646694,0.0347942,Evergreen,39.620408,-105.33872
56,2023-06-04 20:00:00+00:00,0.049708076,0.054,0.04414518,0.040400278,0.03812047,0.035612732,0.034012064,Evergreen,39.620408,-105.33872
57,2023-06-04 21:00:00+00:00,0.050385952,0.053000000000000005,0.04620104,0.04152405,0.03828636,0.03637794,0.034411937,Evergreen,39.620408,-105.33872
58,2023-06-04 22:00:00+00:00,0.049566332,0.052,0.046960466,0.04336706,0.03909059,0.036216054,0.034627408,Evergreen,39.620408,-105.33872
59,2023-06-04 23:00:00+00:00,0.047984548,0.052,0.045599088,0.043395948,0.040187918,0.036488894,0.034119844,Evergreen,39.620408,-105.33872
60,2023-06-05 00:00:00+00:00,0.04745784,0.05500000000000001,0.043566525,0.041578695,0.03963629,0.03688514,0.033834375,Evergreen,39.620408,-105.33872
61,2023-06-05 01:00:00+00:00,0.047979515,0.053000000000000005,0.04039603,0.03730667,0.035575137,0.03391844,0.031649765,Evergreen,39.620408,-105.33872
62,2023-06-05 02:00:00+00:00,0.04365024,0.033,0.038614705,0.032659188,0.03023672,0.028863875,0.02759236,Evergreen,39.620408,-105.33872
63,2023-06-05 03:00:00+00:00,0.026277725,0.024000000000000004,0.036425307,0.032373324,0.027368208,0.025347339,0.024244847,Evergreen,39.620408,-105.33872
64,2023-06-05 04:00:00+00:00,0.021121664,0.017,0.023024596,0.031087277,0.027620351,0.023255054,0.02155088,Evergreen,39.620408,-105.33872
65,2023-06-05 05:00:00+00:00,0.014936407,0.015,0.018212017,0.01968927,0.026526546,0.023528751,0.01986874,Evergreen,39.620408,-105.33872
66,2023-06-05 06:00:00+00:00,0.0128948605,0.013000000000000001,0.012845504,0.015426348,0.016716314,0.022677932,0.020166868,Evergreen,39.620408,-105.33872
67,2023-06-05 07:00:00+00:00,0.010904125,0.012,0.010820533,0.010781024,0.013087141,0.01423413,0.019251002,Evergreen,39.620408,-105.33872
68,2023-06-05 08:00:00+00:00,0.010967583,0.009000000000000001,0.010077205,0.0100102555,0.009974502,0.012026965,0.012984527,Evergreen,39.620408,-105.33872
69,2023-06-05 09:00:00+00:00,0.008987817,0.006,0.0105572445,0.009836152,0.009774672,0.009742265,0.011482769,Evergreen,39.620408,-105.33872
70,2023-06-05 10:00:00+00:00,0.0068955338,0.005,0.009244308,0.010513559,0.009851734,0.009795866,0.009768276,Evergreen,39.620408,-105.33872
71,2023-06-05 11:00:00+00:00,0.0065840487,0.004,0.00808807,0.009967839,0.011125058,0.010519528,0.01047164,Evergreen,39.620408,-105.33872
72,2023-06-05 12:00:00+00:00,0.006022364,0.006,0.008127468,0.009291235,0.010926454,0.011964277,0.011452117,Evergreen,39.620408,-105.33872
