,date,preds_0_Welby,actual,preds_1_Welby,preds_2_Welby,preds_3_Welby,preds_4_Welby,preds_5_Welby,site_name,lat,lon
36,2023-05-03 17:00:00+00:00,0.041102145,0.046,0.03458365,0.028251652,0.031631958,0.033535372,0.036196403,Welby,39.838119,-104.94984
37,2023-05-03 18:00:00+00:00,0.05103809,0.054,0.04609267,0.0396792,0.033630777,0.036726292,0.03826855,Welby,39.838119,-104.94984
38,2023-05-03 19:00:00+00:00,0.056648176,0.019,0.05365506,0.048844237,0.042786542,0.03707442,0.039743222,Welby,39.838119,-104.94984
39,2023-05-03 20:00:00+00:00,0.027957715,0.06,0.056877118,0.054117322,0.049802355,0.04430544,0.039371476,Welby,39.838119,-104.94984
40,2023-05-03 21:00:00+00:00,0.059141383,0.062,0.030112233,0.055818915,0.053433515,0.049638472,0.045016453,Welby,39.838119,-104.94984
41,2023-05-03 22:00:00+00:00,0.060223285,0.06299999999999999,0.057319008,0.030005738,0.053282302,0.05126603,0.048212256,Welby,39.838119,-104.94984
42,2023-05-03 23:00:00+00:00,0.058850106,0.064,0.056359235,0.05396026,0.030001072,0.051033493,0.04944035,Welby,39.838119,-104.94984
43,2023-05-04 00:00:00+00:00,0.06061048,0.061000000000000006,0.056282137,0.054306272,0.0523945,0.030906398,0.048929438,Welby,39.838119,-104.94984
44,2023-05-04 01:00:00+00:00,0.054003112,0.054,0.053647913,0.0505212,0.049088296,0.047603607,0.030500112,Welby,39.838119,-104.94984
45,2023-05-04 02:00:00+00:00,0.045605086,0.05,0.045607712,0.04537488,0.04325907,0.042232763,0.04119382,Welby,39.838119,-104.94984
46,2023-05-04 03:00:00+00:00,0.042728245,0.041,0.0389675,0.038969286,0.038795836,0.037132133,0.036355626,Welby,39.838119,-104.94984
47,2023-05-04 04:00:00+00:00,0.03633711,0.039,0.03778176,0.035021964,0.035023354,0.034875795,0.033498023,Welby,39.838119,-104.94984
48,2023-05-04 05:00:00+00:00,0.03525687,0.039,0.033019233,0.03413649,0.031941734,0.031942908,0.031817947,Welby,39.838119,-104.94984
49,2023-05-04 06:00:00+00:00,0.035564184,0.036,0.032271117,0.030470748,0.0313826,0.029502751,0.02950374,Welby,39.838119,-104.94984
50,2023-05-04 07:00:00+00:00,0.032401208,0.028000000000000004,0.032018725,0.02928247,0.027777866,0.02856399,0.026978841,Welby,39.838119,-104.94984
51,2023-05-04 08:00:00+00:00,0.025420936,0.033,0.029045578,0.028729575,0.026424658,0.025143633,0.025794381,Welby,39.838119,-104.94984
52,2023-05-04 09:00:00+00:00,0.029145066,0.034,0.022818586,0.025712818,0.025446327,0.023505414,0.022462359,Welby,39.838119,-104.94984
53,2023-05-04 10:00:00+00:00,0.029584587,0.028000000000000004,0.025319787,0.02018357,0.022609472,0.022388168,0.020825239,Welby,39.838119,-104.94984
54,2023-05-04 11:00:00+00:00,0.025653863,0.023,0.026935387,0.023587396,0.019460417,0.021355174,0.021186888,Welby,39.838119,-104.94984
55,2023-05-04 12:00:00+00:00,0.021098074,0.015,0.023189288,0.024209836,0.021408578,0.018075159,0.01955347,Welby,39.838119,-104.94984
56,2023-05-04 13:00:00+00:00,0.016498355,0.011,0.020958953,0.022539841,0.023374975,0.021158233,0.018622847,Welby,39.838119,-104.94984
57,2023-05-04 14:00:00+00:00,0.014766959,0.012,0.018562937,0.021779522,0.023047846,0.023696804,0.022033088,Welby,39.838119,-104.94984
58,2023-05-04 15:00:00+00:00,0.016125236,0.019,0.018034624,0.020746084,0.023355355,0.02434456,0.024830868,Welby,39.838119,-104.94984
59,2023-05-04 16:00:00+00:00,0.022692695,0.033,0.0205659,0.02193957,0.024125857,0.026122544,0.026842184,Welby,39.838119,-104.94984
60,2023-05-04 17:00:00+00:00,0.034686048,0.044,0.026180018,0.024556424,0.025688028,0.027412472,0.028896589,Welby,39.838119,-104.94984
61,2023-05-04 18:00:00+00:00,0.04568593,0.054,0.037547525,0.03079192,0.02950975,0.030359436,0.03156145,Welby,39.838119,-104.94984
62,2023-05-04 19:00:00+00:00,0.055339243,0.056999999999999995,0.047734965,0.04111226,0.03598352,0.0350503,0.03560426,Welby,39.838119,-104.94984
63,2023-05-04 20:00:00+00:00,0.054005086,0.061000000000000006,0.052531652,0.046114072,0.040679157,0.036463913,0.03574962,Welby,39.838119,-104.94984
64,2023-05-04 21:00:00+00:00,0.056756984,0.062,0.05074666,0.049581774,0.044697706,0.04033063,0.037123296,Welby,39.838119,-104.94984
65,2023-05-04 22:00:00+00:00,0.057048798,0.051,0.052706666,0.0482023,0.0473709,0.043779675,0.040607736,Welby,39.838119,-104.94984
66,2023-05-04 23:00:00+00:00,0.04697299,0.054,0.051535625,0.048214495,0.044760566,0.044097006,0.04130318,Welby,39.838119,-104.94984
67,2023-05-05 00:00:00+00:00,0.049183775,0.053000000000000005,0.044188652,0.047445048,0.04502887,0.042307056,0.04178941,Welby,39.838119,-104.94984
68,2023-05-05 01:00:00+00:00,0.048814453,0.053000000000000005,0.045450382,0.0419175,0.04419406,0.042416584,0.040390067,Welby,39.838119,-104.94984
69,2023-05-05 02:00:00+00:00,0.045493517,0.04900000000000001,0.041521084,0.039034054,0.03649358,0.03813585,0.036884505,Welby,39.838119,-104.94984
70,2023-05-05 03:00:00+00:00,0.041142005,0.035,0.037790895,0.034743994,0.03277885,0.030761255,0.03196292,Welby,39.838119,-104.94984
71,2023-05-05 04:00:00+00:00,0.030106833,0.022,0.03558539,0.032904517,0.0304476,0.028762382,0.027128197,Welby,39.838119,-104.94984
72,2023-05-05 05:00:00+00:00,0.021188183,0.023,0.027706526,0.032189894,0.02995295,0.027790817,0.026325203,Welby,39.838119,-104.94984
73,2023-05-05 06:00:00+00:00,0.021401614,0.03,0.019888075,0.02526088,0.029134873,0.027135162,0.025248429,Welby,39.838119,-104.94984
74,2023-05-05 07:00:00+00:00,0.027997434,0.035,0.020036383,0.018784976,0.023407197,0.02679721,0.025107725,Welby,39.838119,-104.94984
75,2023-05-05 08:00:00+00:00,0.032908246,0.028999999999999998,0.025949923,0.01897418,0.01787386,0.0218879,0.02471604,Welby,39.838119,-104.94984
76,2023-05-05 09:00:00+00:00,0.027156664,0.02,0.030845905,0.024572179,0.018344488,0.017403388,0.020674873,Welby,39.838119,-104.94984
77,2023-05-05 10:00:00+00:00,0.01903767,0.021,0.025154183,0.02841779,0.022710519,0.017326305,0.016557822,Welby,39.838119,-104.94984
78,2023-05-05 11:00:00+00:00,0.019966356,0.005,0.01835617,0.023293948,0.02614587,0.021331932,0.017023074,Welby,39.838119,-104.94984
79,2023-05-05 12:00:00+00:00,0.007214592,0.003,0.01846033,0.017178165,0.021426294,0.02382232,0.019924711,Welby,39.838119,-104.94984
80,2023-05-05 13:00:00+00:00,0.0071039335,0.011,0.0100629525,0.018391876,0.017293876,0.020779932,0.022676775,Welby,39.838119,-104.94984
81,2023-05-05 14:00:00+00:00,0.01594531,0.024000000000000004,0.012986107,0.015129034,0.022101115,0.021229906,0.023856977,Welby,39.838119,-104.94984
82,2023-05-05 15:00:00+00:00,0.029630518,0.039,0.022470841,0.020058978,0.02191241,0.027539866,0.026886044,Welby,39.838119,-104.94984
83,2023-05-05 16:00:00+00:00,0.04497258,0.053000000000000005,0.035519652,0.02885465,0.026642252,0.028251134,0.032689307,Welby,39.838119,-104.94984
84,2023-05-05 17:00:00+00:00,0.05862951,0.059,0.050023943,0.04072816,0.034577973,0.03262205,0.03390297,Welby,39.838119,-104.94984
85,2023-05-05 18:00:00+00:00,0.06120093,0.06,0.060815744,0.052531466,0.044112694,0.038629048,0.03703811,Welby,39.838119,-104.94984
86,2023-05-05 19:00:00+00:00,0.059028868,0.06299999999999999,0.060164377,0.05982455,0.05285368,0.045659598,0.041252997,Welby,39.838119,-104.94984
87,2023-05-05 20:00:00+00:00,0.06035341,0.062,0.056697648,0.057664614,0.057388004,0.051646724,0.04590715,Welby,39.838119,-104.94984
88,2023-05-05 21:00:00+00:00,0.05782099,0.062,0.056445923,0.05342845,0.054223135,0.053990252,0.049393907,Welby,39.838119,-104.94984
89,2023-05-05 22:00:00+00:00,0.057209026,0.062,0.053794388,0.05276949,0.050589956,0.051203653,0.051032774,Welby,39.838119,-104.94984
90,2023-05-05 23:00:00+00:00,0.055608366,0.058,0.05213172,0.049764555,0.049045477,0.0474447,0.0479034,Welby,39.838119,-104.94984
91,2023-05-06 00:00:00+00:00,0.053352926,0.059,0.05166581,0.04917538,0.047416333,0.046841916,0.04557013,Welby,39.838119,-104.94984
92,2023-05-06 01:00:00+00:00,0.05406786,0.056999999999999995,0.049153686,0.048002224,0.046274662,0.044944484,0.044509977,Welby,39.838119,-104.94984
93,2023-05-06 02:00:00+00:00,0.047940828,0.05,0.04529465,0.041859195,0.041037988,0.03976714,0.03877467,Welby,39.838119,-104.94984
94,2023-05-06 03:00:00+00:00,0.04188563,0.046,0.04006177,0.038179986,0.035592932,0.034960873,0.034037568,Welby,39.838119,-104.94984
95,2023-05-06 04:00:00+00:00,0.03975172,0.038,0.036185745,0.03481327,0.033333022,0.031159887,0.030647406,Welby,39.838119,-104.94984
96,2023-05-06 05:00:00+00:00,0.033591885,0.034,0.035121217,0.03222626,0.031107208,0.029837029,0.027996445,Welby,39.838119,-104.94984
97,2023-05-06 06:00:00+00:00,0.030654185,0.025000000000000005,0.030301932,0.031576898,0.02912604,0.028142106,0.02704579,Welby,39.838119,-104.94984
98,2023-05-06 07:00:00+00:00,0.022933789,0.010000000000000002,0.027616827,0.027320402,0.028417947,0.02624846,0.025398461,Welby,39.838119,-104.94984
99,2023-05-06 08:00:00+00:00,0.010879034,0.016,0.02053868,0.024385596,0.024129014,0.02508481,0.023246745,Welby,39.838119,-104.94984
100,2023-05-06 09:00:00+00:00,0.015208101,0.022,0.0113640325,0.018553905,0.021818558,0.021602241,0.02238276,Welby,39.838119,-104.94984
101,2023-05-06 10:00:00+00:00,0.019681789,0.021,0.013843528,0.010936721,0.017013429,0.019724613,0.019550653,Welby,39.838119,-104.94984
102,2023-05-06 11:00:00+00:00,0.019501276,0.016,0.018352017,0.013713367,0.011226842,0.016177628,0.01833584,Welby,39.838119,-104.94984
103,2023-05-06 12:00:00+00:00,0.016669793,0.016,0.019529853,0.01860651,0.014583143,0.012566812,0.016455768,Welby,39.838119,-104.94984
104,2023-05-06 13:00:00+00:00,0.017087901,0.017,0.017618777,0.019880673,0.019077204,0.015791215,0.014208059,Welby,39.838119,-104.94984
105,2023-05-06 14:00:00+00:00,0.022112578,0.033,0.022181481,0.022593921,0.024467262,0.023843993,0.021427263,Welby,39.838119,-104.94984
106,2023-05-06 15:00:00+00:00,0.03826643,0.045,0.028733922,0.028790789,0.02913755,0.030607564,0.030156307,Welby,39.838119,-104.94984
107,2023-05-06 16:00:00+00:00,0.049972806,0.05,0.04342331,0.034562517,0.034613192,0.03490536,0.03602544,Welby,39.838119,-104.94984
108,2023-05-06 17:00:00+00:00,0.05391641,0.054,0.05388966,0.047627315,0.039622027,0.039665844,0.039891005,Welby,39.838119,-104.94984
109,2023-05-06 18:00:00+00:00,0.055603005,0.059,0.055524766,0.055500187,0.050013203,0.043015745,0.043050952,Welby,39.838119,-104.94984
110,2023-05-06 19:00:00+00:00,0.056934375,0.062,0.053940818,0.053872045,0.05385119,0.049168587,0.04349883,Welby,39.838119,-104.94984
111,2023-05-06 20:00:00+00:00,0.059148233,0.065,0.054577634,0.052129477,0.052076597,0.052060485,0.048646145,Welby,39.838119,-104.94984
112,2023-05-06 21:00:00+00:00,0.06042258,0.066,0.05517385,0.05140304,0.04937741,0.049334284,0.049321752,Welby,39.838119,-104.94984
113,2023-05-06 22:00:00+00:00,0.0612449,0.064,0.05658245,0.05231229,0.0491924,0.04744413,0.047408953,Welby,39.838119,-104.94984
114,2023-05-06 23:00:00+00:00,0.059109874,0.061000000000000006,0.056863096,0.053402495,0.05031459,0.047866073,0.046528455,Welby,39.838119,-104.94984
115,2023-05-07 00:00:00+00:00,0.055439774,0.058,0.054008942,0.052341647,0.04973777,0.04728558,0.045309585,Welby,39.838119,-104.94984
116,2023-05-07 01:00:00+00:00,0.05093444,0.056999999999999995,0.0487367,0.04774473,0.046556283,0.044610012,0.04279673,Welby,39.838119,-104.94984
