,date,preds_0_Rocky Flats,actual,preds_1_Rocky Flats,preds_2_Rocky Flats,preds_3_Rocky Flats,preds_4_Rocky Flats,preds_5_Rocky Flats,site_name,lat,lon
34,2023-05-03 15:00:00+00:00,0.04788937,0.052,0.05167763,0.0496387,0.04987833,0.048037775,0.0470896,Rocky Flats,39.912799,-105.188587
35,2023-05-03 16:00:00+00:00,0.053584073,0.04900000000000001,0.05060773,0.05330749,0.05191475,0.05207801,0.05077927,Rocky Flats,39.912799,-105.188587
36,2023-05-03 17:00:00+00:00,0.051856074,0.044,0.055306196,0.053080775,0.054976285,0.054025985,0.054139648,Rocky Flats,39.912799,-105.188587
37,2023-05-03 18:00:00+00:00,0.048329826,0.04700000000000001,0.0540074,0.056592025,0.05499324,0.056318197,0.05565343,Rocky Flats,39.912799,-105.188587
38,2023-05-03 19:00:00+00:00,0.050327934,0.052,0.051308293,0.05569944,0.05759689,0.056444723,0.05740629,Rocky Flats,39.912799,-105.188587
39,2023-05-03 20:00:00+00:00,0.054008547,0.06,0.052756436,0.053505357,0.056766037,0.058143426,0.05730783,Rocky Flats,39.912799,-105.188587
40,2023-05-03 21:00:00+00:00,0.05981402,0.06299999999999999,0.05512254,0.05417905,0.054740183,0.05720244,0.05823196,Rocky Flats,39.912799,-105.188587
41,2023-05-03 22:00:00+00:00,0.061116852,0.068,0.058683455,0.05530811,0.054622814,0.055043988,0.056908812,Rocky Flats,39.912799,-105.188587
42,2023-05-03 23:00:00+00:00,0.065055214,0.071,0.059627272,0.05790372,0.055477034,0.05495647,0.055284593,Rocky Flats,39.912799,-105.188587
43,2023-05-04 00:00:00+00:00,0.064814895,0.072,0.06047499,0.0567538,0.055532284,0.053711247,0.053303797,Rocky Flats,39.912799,-105.188587
44,2023-05-04 01:00:00+00:00,0.06567559,0.07,0.059476092,0.0569176,0.054653995,0.053846944,0.05256054,Rocky Flats,39.912799,-105.188587
45,2023-05-04 02:00:00+00:00,0.061756127,0.067,0.0580985,0.054504022,0.052868705,0.051433776,0.05085567,Rocky Flats,39.912799,-105.188587
46,2023-05-04 03:00:00+00:00,0.059407026,0.062,0.055158235,0.053035535,0.05058622,0.049457967,0.04838715,Rocky Flats,39.912799,-105.188587
47,2023-05-04 04:00:00+00:00,0.057031807,0.06,0.055017702,0.05244486,0.050948158,0.04909156,0.048147075,Rocky Flats,39.912799,-105.188587
48,2023-05-04 05:00:00+00:00,0.05655402,0.062,0.054323316,0.053030435,0.05118466,0.05005084,0.048445817,Rocky Flats,39.912799,-105.188587
49,2023-05-04 06:00:00+00:00,0.058374822,0.053000000000000005,0.05423189,0.052745875,0.05180923,0.05041878,0.04946204,Rocky Flats,39.912799,-105.188587
50,2023-05-04 07:00:00+00:00,0.051814687,0.054,0.05574655,0.05282954,0.051714428,0.050984867,0.0498029,Rocky Flats,39.912799,-105.188587
51,2023-05-04 08:00:00+00:00,0.05236892,0.06,0.050786138,0.05358258,0.051380645,0.05051005,0.049898945,Rocky Flats,39.912799,-105.188587
52,2023-05-04 09:00:00+00:00,0.056827933,0.052,0.05094444,0.049780164,0.05193516,0.050181765,0.049444593,Rocky Flats,39.912799,-105.188587
53,2023-05-04 10:00:00+00:00,0.050378103,0.05,0.05395684,0.049636625,0.048755877,0.050440338,0.049001664,Rocky Flats,39.912799,-105.188587
54,2023-05-04 11:00:00+00:00,0.0487949,0.051,0.04905699,0.051638078,0.048397336,0.047712542,0.049082216,Rocky Flats,39.912799,-105.188587
55,2023-05-04 12:00:00+00:00,0.049267,0.05500000000000001,0.04771791,0.047908686,0.049845494,0.04733096,0.046778247,Rocky Flats,39.912799,-105.188587
56,2023-05-04 13:00:00+00:00,0.05200657,0.048,0.047994174,0.046886466,0.047027413,0.04849456,0.04652735,Rocky Flats,39.912799,-105.188587
57,2023-05-04 14:00:00+00:00,0.047536504,0.052,0.050187312,0.047365762,0.04656516,0.046670947,0.047802802,Rocky Flats,39.912799,-105.188587
58,2023-05-04 15:00:00+00:00,0.049718995,0.031999999999999994,0.04674266,0.04856605,0.046547517,0.045951165,0.04603286,Rocky Flats,39.912799,-105.188587
59,2023-05-04 16:00:00+00:00,0.037841097,0.034,0.048443995,0.046409473,0.04769425,0.046200793,0.045739546,Rocky Flats,39.912799,-105.188587
60,2023-05-04 17:00:00+00:00,0.039577957,0.056999999999999995,0.04162453,0.04841402,0.047079843,0.047957987,0.04689016,Rocky Flats,39.912799,-105.188587
61,2023-05-04 18:00:00+00:00,0.055205017,0.058,0.04365168,0.044994254,0.04935986,0.048503887,0.04909356,Rocky Flats,39.912799,-105.188587
62,2023-05-04 19:00:00+00:00,0.055601105,0.05500000000000001,0.05357117,0.0454703,0.046413995,0.049487125,0.048873458,Rocky Flats,39.912799,-105.188587
63,2023-05-04 20:00:00+00:00,0.052291892,0.06299999999999999,0.052676935,0.051343713,0.04587107,0.046545703,0.048798844,Rocky Flats,39.912799,-105.188587
64,2023-05-04 21:00:00+00:00,0.05873598,0.067,0.051373363,0.051612522,0.05079944,0.047280524,0.047740843,Rocky Flats,39.912799,-105.188587
65,2023-05-04 22:00:00+00:00,0.06191768,0.068,0.05602336,0.05116328,0.051322203,0.050767593,0.048208043,Rocky Flats,39.912799,-105.188587
66,2023-05-04 23:00:00+00:00,0.061865937,0.07,0.057603624,0.053764656,0.050515644,0.050628178,0.050212707,Rocky Flats,39.912799,-105.188587
67,2023-05-05 00:00:00+00:00,0.06251701,0.06299999999999999,0.056957457,0.054288726,0.05178607,0.04948935,0.049575105,Rocky Flats,39.912799,-105.188587
68,2023-05-05 01:00:00+00:00,0.058049668,0.06,0.05765747,0.05427146,0.052596077,0.0509411,0.04926803,Rocky Flats,39.912799,-105.188587
69,2023-05-05 02:00:00+00:00,0.05505517,0.061000000000000006,0.05346058,0.053222895,0.051052198,0.0500008,0.04885303,Rocky Flats,39.912799,-105.188587
70,2023-05-05 03:00:00+00:00,0.05562198,0.06,0.05062676,0.04960757,0.049437907,0.047900677,0.047107585,Rocky Flats,39.912799,-105.188587
71,2023-05-05 04:00:00+00:00,0.055406038,0.059,0.05178835,0.048461735,0.047716215,0.04758621,0.04632104,Rocky Flats,39.912799,-105.188587
72,2023-05-05 05:00:00+00:00,0.055057786,0.06,0.05214714,0.04966034,0.047239546,0.04667318,0.046564482,Rocky Flats,39.912799,-105.188587
73,2023-05-05 06:00:00+00:00,0.05643405,0.048,0.052374758,0.05026767,0.048385732,0.04650427,0.046029877,Rocky Flats,39.912799,-105.188587
74,2023-05-05 07:00:00+00:00,0.046787035,0.048,0.053546946,0.05048263,0.04884785,0.047347542,0.04576572,Rocky Flats,39.912799,-105.188587
75,2023-05-05 08:00:00+00:00,0.04750823,0.054,0.046602085,0.051685996,0.04928348,0.047957063,0.04668015,Rocky Flats,39.912799,-105.188587
76,2023-05-05 09:00:00+00:00,0.051589195,0.053000000000000005,0.04645778,0.045779258,0.049659725,0.04777226,0.046681445,Rocky Flats,39.912799,-105.188587
77,2023-05-05 10:00:00+00:00,0.05037943,0.06,0.04926612,0.045346614,0.04482301,0.047905266,0.046355277,Rocky Flats,39.912799,-105.188587
78,2023-05-05 11:00:00+00:00,0.055476215,0.052,0.047968656,0.047141068,0.044190325,0.043784987,0.04623517,Rocky Flats,39.912799,-105.188587
79,2023-05-05 12:00:00+00:00,0.04878564,0.05500000000000001,0.051378775,0.04583593,0.04522293,0.042977087,0.0426618,Rocky Flats,39.912799,-105.188587
80,2023-05-05 13:00:00+00:00,0.05115997,0.045,0.04661635,0.048492536,0.044366624,0.043893415,0.04211794,Rocky Flats,39.912799,-105.188587
81,2023-05-05 14:00:00+00:00,0.045474995,0.04700000000000001,0.049684763,0.04647333,0.047785867,0.044799984,0.044445775,Rocky Flats,39.912799,-105.188587
82,2023-05-05 15:00:00+00:00,0.048327677,0.053000000000000005,0.04728942,0.05022061,0.048052873,0.04894721,0.04684235,Rocky Flats,39.912799,-105.188587
83,2023-05-05 16:00:00+00:00,0.053915933,0.051,0.050511107,0.049768843,0.05174676,0.05030584,0.050915714,Rocky Flats,39.912799,-105.188587
84,2023-05-05 17:00:00+00:00,0.052987076,0.06,0.055217955,0.052690372,0.052170716,0.05351464,0.052532706,Rocky Flats,39.912799,-105.188587
85,2023-05-05 18:00:00+00:00,0.06013505,0.065,0.054538816,0.056208815,0.05439794,0.054027926,0.054987364,Rocky Flats,39.912799,-105.188587
86,2023-05-05 19:00:00+00:00,0.06358664,0.065,0.059598897,0.055445477,0.056638364,0.055356443,0.055090114,Rocky Flats,39.912799,-105.188587
87,2023-05-05 20:00:00+00:00,0.06357274,0.065,0.062409703,0.05943636,0.056368362,0.057262417,0.05629048,Rocky Flats,39.912799,-105.188587
88,2023-05-05 21:00:00+00:00,0.06155262,0.069,0.060535155,0.059720367,0.05762586,0.05537254,0.056046043,Rocky Flats,39.912799,-105.188587
89,2023-05-05 22:00:00+00:00,0.0634475,0.07,0.05820212,0.057560544,0.057043657,0.055623572,0.054011676,Rocky Flats,39.912799,-105.188587
90,2023-05-05 23:00:00+00:00,0.063680016,0.066,0.059036512,0.055753674,0.055332113,0.05497759,0.053904835,Rocky Flats,39.912799,-105.188587
91,2023-05-06 00:00:00+00:00,0.060862735,0.064,0.059413996,0.05652854,0.05435732,0.05406182,0.053790264,Rocky Flats,39.912799,-105.188587
92,2023-05-06 01:00:00+00:00,0.059622645,0.067,0.0572486,0.056404687,0.054633763,0.05323983,0.053031124,Rocky Flats,39.912799,-105.188587
93,2023-05-06 02:00:00+00:00,0.06093833,0.065,0.05514652,0.053741474,0.053189952,0.05204482,0.05103906,Rocky Flats,39.912799,-105.188587
