,date,preds_0_Highlands Ranch,actual,preds_1_Highlands Ranch,preds_2_Highlands Ranch,preds_3_Highlands Ranch,preds_4_Highlands Ranch,preds_5_Highlands Ranch,site_name,lat,lon
0,2023-05-02 05:00:00+00:00,0.033506032,0.038,0.038133025,0.040064223,0.039812677,0.03980241,0.03941875,Highlands Ranch,39.567887,-104.957193
1,2023-05-02 06:00:00+00:00,0.038013004,0.04,0.03465607,0.037841585,0.039270222,0.03907225,0.03906372,Highlands Ranch,39.567887,-104.957193
2,2023-05-02 07:00:00+00:00,0.03902254,0.031999999999999994,0.037470005,0.035066422,0.037468534,0.038602922,0.03843956,Highlands Ranch,39.567887,-104.957193
3,2023-05-02 08:00:00+00:00,0.032736246,0.037,0.037929654,0.036778744,0.034926414,0.036868773,0.037809327,Highlands Ranch,39.567887,-104.957193
4,2023-05-02 09:00:00+00:00,0.036361016,0.034,0.03314578,0.037014354,0.036116812,0.034632456,0.036209032,Highlands Ranch,39.567887,-104.957193
5,2023-05-02 10:00:00+00:00,0.03378168,0.031000000000000003,0.035582844,0.033163395,0.03617431,0.035460226,0.034276377,Highlands Ranch,39.567887,-104.957193
6,2023-05-02 11:00:00+00:00,0.031258196,0.028000000000000004,0.033281695,0.03462293,0.032740086,0.035162486,0.03458415,Highlands Ranch,39.567887,-104.957193
7,2023-05-02 12:00:00+00:00,0.02870228,0.028999999999999998,0.0310071,0.032525644,0.033582497,0.032056134,0.034038447,Highlands Ranch,39.567887,-104.957193
8,2023-05-02 13:00:00+00:00,0.029294152,0.031999999999999994,0.029084789,0.030781692,0.031961642,0.032798633,0.03158736,Highlands Ranch,39.567887,-104.957193
9,2023-05-02 14:00:00+00:00,0.033324957,0.033,0.031329487,0.031175468,0.032452185,0.03335122,0.03398597,Highlands Ranch,39.567887,-104.957193
10,2023-05-02 15:00:00+00:00,0.035276435,0.034,0.035527002,0.033967998,0.033848904,0.03484209,0.035534207,Highlands Ranch,39.567887,-104.957193
11,2023-05-02 16:00:00+00:00,0.036654774,0.038,0.03768177,0.03788819,0.036638446,0.03654366,0.037315648,Highlands Ranch,39.567887,-104.957193
12,2023-05-02 17:00:00+00:00,0.040524457,0.045,0.039394233,0.040258043,0.040425975,0.039418112,0.03934408,Highlands Ranch,39.567887,-104.957193
13,2023-05-02 18:00:00+00:00,0.045197353,0.048,0.041556314,0.040651806,0.041336026,0.041470896,0.040684566,Highlands Ranch,39.567887,-104.957193
14,2023-05-02 19:00:00+00:00,0.04834642,0.05500000000000001,0.04608628,0.04331225,0.042641945,0.043169867,0.043270964,Highlands Ranch,39.567887,-104.957193
15,2023-05-02 20:00:00+00:00,0.052179247,0.053000000000000005,0.046906315,0.04522101,0.043133523,0.042611215,0.043022178,Highlands Ranch,39.567887,-104.957193
