,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_1,54.5237,o3_sim_Evergreen_1,39.6203356,-105.33872,7.24e-05
o3_sim_Idaho Springs_1,55.70559,o3_sim_Idaho Springs_1,39.7924483,-105.49127,7.07e-05
o3_sim_Five Points_1,70.765976,o3_sim_Five Points_1,39.7511821,-104.987625,1.9e-06
o3_sim_Welby_1,73.18286,o3_sim_Welby_1,39.8380252,-104.94984,9.38e-05
o3_sim_Highlands Ranch_1,76.55543,o3_sim_Highlands Ranch_1,39.567829599999996,-104.957193,5.74e-05
o3_sim_Rocky Flats_1,68.063126,o3_sim_Rocky Flats_1,39.9127853,-105.188587,1.37e-05
o3_sim_Boulder_1,56.862617,o3_sim_Boulder_1,40.0699168,-105.220238,9.92e-05
o3_sim_Chatfield Reservoir_1,73.529205,o3_sim_Chatfield Reservoir_1,39.534454100000005,-105.070358,3.39e-05
o3_sim_Sunnyside_1,68.75189,o3_sim_Sunnyside_1,39.7793901,-105.00518,9.99e-05
o3_sim_East Plains_1,71.561066,o3_sim_East Plains_1,39.638505200000004,-104.569335,1.68e-05
o3_sim_South Table_1,56.12401,o3_sim_South Table_1,39.743715,-105.177989,9e-06
o3_sim_Evergreen_1,54.5237,o3_sim_Evergreen_1,39.6203225,-105.33872,8.55e-05
o3_sim_Idaho Springs_1,55.70559,o3_sim_Idaho Springs_1,39.7925113,-105.49127,7.7e-06
o3_sim_Five Points_1,70.765976,o3_sim_Five Points_1,39.7511681,-104.987625,1.59e-05
o3_sim_Welby_1,73.18286,o3_sim_Welby_1,39.838091999999996,-104.94984,2.7e-05
o3_sim_Highlands Ranch_1,76.55543,o3_sim_Highlands Ranch_1,39.5678154,-104.957193,7.16e-05
o3_sim_Rocky Flats_1,68.063126,o3_sim_Rocky Flats_1,39.9127029,-105.188587,9.61e-05
o3_sim_Boulder_1,56.862617,o3_sim_Boulder_1,40.0699489,-105.220238,6.71e-05
o3_sim_Chatfield Reservoir_1,73.529205,o3_sim_Chatfield Reservoir_1,39.5344336,-105.070358,5.44e-05
o3_sim_Sunnyside_1,68.75189,o3_sim_Sunnyside_1,39.779414,-105.00518,7.6e-05
o3_sim_East Plains_1,71.561066,o3_sim_East Plains_1,39.6385006,-104.569335,2.14e-05
o3_sim_South Table_1,56.12401,o3_sim_South Table_1,39.7437145,-105.177989,9.5e-06
o3_sim_140,46.35979,o3_sim_140,40.2452011,-105.7200012,9.83e-05
