Welby,Highlands Ranch,Rocky Flats,Boulder,Chatfield Reservoir,Sunnyside,East Plains,South Table,Five Points,Idaho Springs,Evergreen,Forecast Horizon,Mean RMSE (ppb),Forecast Horizon,Mean RMSE (ppb)
5.007643198,3.377372473,3.801300358,3.965802758,4.074765045,4.911226506,3.525892261,3.871992113,4.793600649,3.471630378,4.265589899,1,4.09698324,1,4.09698324
8.641332228,5.614328052,6.363000085,6.15645355,6.653001163,7.57211021,5.976169309,5.742256922,7.434644135,6.211044982,7.136790108,3,6.681920977,3,6.681920977
11.3409195,6.602382126,8.019056511,7.53249466,7.411939793,8.904246965,7.369685958,6.839690934,8.765529693,7.204931997,8.621289768,6,8.055651628,6,8.055651628
11.85363518,6.868875168,8.289480819,7.577273229,7.894103358,9.281927733,7.747932404,6.990817723,9.395890218,7.268877118,8.6383515,9,8.346105859,9,8.346105859
11.42255697,7.141151192,8.325912325,8.170117745,8.088015849,9.321617221,8.07731462,7.27135532,9.378316064,8.020009766,8.884211958,12,8.554598093,12,8.554598093
11.83418214,7.409781729,8.935080034,8.318241288,8.251478583,9.691850633,7.974915038,7.687183405,9.72630208,7.899329734,8.980288218,15,8.791693898,15,8.791693898
12.10522295,7.999189813,9.171082237,8.436706958,8.368641731,10.22528334,8.260169033,7.996320355,10.10111499,8.301668151,9.477121612,18,9.131138289,18,9.131138289
12.00520212,7.82118048,9.615844335,8.405173988,8.6808745,10.00907639,8.631370072,7.832857997,10.22745882,8.535604965,9.244673561,24,9.182665203,24,9.182665203
