,date,preds_0_Idaho Springs,actual,preds_1_Idaho Springs,preds_2_Idaho Springs,preds_3_Idaho Springs,preds_4_Idaho Springs,preds_5_Idaho Springs,preds_6_Idaho Springs,preds_7_Idaho Springs,site_name,lat,lon
29,2023-05-03 12:00:00+00:00,0.046087548,0.045,0.042815298,0.046095937,0.04855447,0.044155106,0.040858734,0.041260567,0.04072563,Idaho Springs,39.792519,-105.49127
30,2023-05-03 13:00:00+00:00,0.042095266,0.039,0.043385815,0.040099725,0.043179646,0.045393795,0.041554183,0.038700238,0.039047822,Idaho Springs,39.792519,-105.49127
31,2023-05-03 14:00:00+00:00,0.03997685,0.043,0.04307363,0.044133075,0.041656427,0.043979872,0.045703333,0.04267209,0.04042575,Idaho Springs,39.792519,-105.49127
32,2023-05-03 15:00:00+00:00,0.049022906,0.048,0.04630968,0.048209958,0.048806466,0.047280755,0.04890022,0.050311115,0.047435813,Idaho Springs,39.792519,-105.49127
33,2023-05-03 16:00:00+00:00,0.049062237,0.052,0.050091792,0.048146095,0.049537156,0.050051726,0.048658136,0.050189234,0.051603355,Idaho Springs,39.792519,-105.49127
34,2023-05-03 17:00:00+00:00,0.053408805,0.055,0.050333075,0.051164918,0.04957936,0.050725255,0.051127993,0.050071683,0.05125886,Idaho Springs,39.792519,-105.49127
35,2023-05-03 18:00:00+00:00,0.05603215,0.056999999999999995,0.054414846,0.05195865,0.05262903,0.05141857,0.052171975,0.052418824,0.05174749,Idaho Springs,39.792519,-105.49127
36,2023-05-03 19:00:00+00:00,0.05759441,0.055,0.05662537,0.055361535,0.05335501,0.05388626,0.053034328,0.053489435,0.053635042,Idaho Springs,39.792519,-105.49127
37,2023-05-03 20:00:00+00:00,0.05569604,0.05750000000000001,0.058346044,0.057575885,0.056519922,0.054872658,0.05528091,0.054694965,0.054962013,Idaho Springs,39.792519,-105.49127
38,2023-05-03 21:00:00+00:00,0.05814347,0.06,0.0562702,0.058462255,0.057819538,0.056968994,0.05571312,0.0560035,0.05564616,Idaho Springs,39.792519,-105.49127
