,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_3,24.4757,o3_sim_Evergreen_3,39.6203413,-105.33872,6.67e-05
o3_sim_Idaho Springs_3,38.51795,o3_sim_Idaho Springs_3,39.7924271,-105.49127,9.19e-05
o3_sim_Five Points_3,30.868484,o3_sim_Five Points_3,39.7511614,-104.987625,2.26e-05
o3_sim_Welby_3,27.166832,o3_sim_Welby_3,39.8380423,-104.94984,7.67e-05
o3_sim_Highlands Ranch_3,37.80997,o3_sim_Highlands Ranch_3,39.5678067,-104.957193,8.03e-05
o3_sim_Rocky Flats_3,40.23943,o3_sim_Rocky Flats_3,39.9127709,-105.188587,2.81e-05
o3_sim_Boulder_3,25.82799,o3_sim_Boulder_3,40.069954200000005,-105.220238,6.18e-05
o3_sim_Chatfield Reservoir_3,35.962906,o3_sim_Chatfield Reservoir_3,39.5344526,-105.070358,3.54e-05
o3_sim_Sunnyside_3,29.974266,o3_sim_Sunnyside_3,39.779405100000005,-105.00518,8.49e-05
o3_sim_East Plains_3,29.937752,o3_sim_East Plains_3,39.6384901,-104.569335,3.19e-05
