,o3,site,latitude,longitude,randoms
o3_sim_77,19.842358,o3_sim_77,39.8328018,-104.9990005,9.87e-05
o3_sim_78,21.789865,o3_sim_78,39.8328018,-105.1019974,8.3e-05
o3_sim_79,34.4831,o3_sim_79,39.8328018,-105.2050018,5.35e-05
o3_sim_80,40.512234,o3_sim_80,39.8328018,-105.3079987,1.7e-06
o3_sim_81,24.256672,o3_sim_81,39.8328018,-105.4110031,1.6e-06
o3_sim_82,31.936642,o3_sim_82,39.8328018,-105.5139999,1.04e-05
o3_sim_83,41.83478,o3_sim_83,39.8328018,-105.6169968,3.63e-05
o3_sim_84,39.20778,o3_sim_84,39.8328018,-105.7200012,1.94e-05
o3_sim_85,34.97874,o3_sim_85,39.9359016,-104.3799973,2.71e-05
o3_sim_86,37.482944,o3_sim_86,39.9359016,-104.4830017,2.69e-05
o3_sim_87,33.443905,o3_sim_87,39.9359016,-104.5859985,3.18e-05
o3_sim_88,30.031254,o3_sim_88,39.9359016,-104.6900024,7.88e-05
o3_sim_89,26.489443,o3_sim_89,39.9359016,-104.7929993,4.4e-06
o3_sim_90,26.744629,o3_sim_90,39.9359016,-104.8960037,8.76e-05
o3_sim_91,29.299322,o3_sim_91,39.9359016,-104.9990005,5.83e-05
o3_sim_92,25.716242,o3_sim_92,39.9359016,-105.1019974,3.1e-05
o3_sim_93,39.58802,o3_sim_93,39.9359016,-105.2050018,1.03e-05
o3_sim_94,38.873787,o3_sim_94,39.9359016,-105.3079987,7.05e-05
o3_sim_95,41.232357,o3_sim_95,39.9359016,-105.4110031,6.65e-05
o3_sim_96,35.606873,o3_sim_96,39.9359016,-105.5139999,8.3e-06
o3_sim_97,34.76379,o3_sim_97,39.9359016,-105.6169968,6.31e-05
o3_sim_98,42.87057,o3_sim_98,39.9359016,-105.7200012,9.73e-05
o3_sim_99,35.661682,o3_sim_99,40.0390015,-104.3799973,8.8e-06
o3_sim_100,38.195744,o3_sim_100,40.0390015,-104.4830017,8.33e-05
o3_sim_101,36.286743,o3_sim_101,40.0390015,-104.5859985,4.64e-05
o3_sim_102,30.828873,o3_sim_102,40.0390015,-104.6900024,3.5e-05
o3_sim_103,27.318056,o3_sim_103,40.0390015,-104.7929993,3.02e-05
o3_sim_104,37.469997,o3_sim_104,40.0390015,-104.8960037,3.49e-05
