,o3,site,latitude,longitude,randoms
o3_sim_Idaho Springs_12,41.757122,o3_sim_Idaho Springs_12,39.7924717,-105.49127,4.73e-05
o3_sim_Five Points_12,21.945745,o3_sim_Five Points_12,39.751139800000004,-104.987625,4.42e-05
o3_sim_Welby_12,14.695877,o3_sim_Welby_12,39.838084099999996,-104.94984,3.49e-05
o3_sim_Highlands Ranch_12,34.26573,o3_sim_Highlands Ranch_12,39.5678496,-104.957193,3.74e-05
o3_sim_Rocky Flats_12,37.361595,o3_sim_Rocky Flats_12,39.9127322,-105.188587,6.68e-05
o3_sim_Boulder_12,24.219774,o3_sim_Boulder_12,40.0699173,-105.220238,9.87e-05
o3_sim_Chatfield Reservoir_12,27.384872,o3_sim_Chatfield Reservoir_12,39.5344732,-105.070358,1.48e-05
o3_sim_Sunnyside_12,18.404772,o3_sim_Sunnyside_12,39.779478000000005,-105.00518,1.2e-05
o3_sim_East Plains_12,31.6789,o3_sim_East Plains_12,39.6384453,-104.569335,7.67e-05
o3_sim_South Table_12,35.85151,o3_sim_South Table_12,39.7436257,-105.177989,9.83e-05
o3_sim_Idaho Springs_12,41.757122,o3_sim_Idaho Springs_12,39.7924289,-105.49127,9.01e-05
o3_sim_Five Points_12,21.945745,o3_sim_Five Points_12,39.7511783,-104.987625,5.7e-06
o3_sim_Welby_12,14.695877,o3_sim_Welby_12,39.8381168,-104.94984,2.2e-06
o3_sim_Highlands Ranch_12,34.26573,o3_sim_Highlands Ranch_12,39.5678524,-104.957193,3.46e-05
o3_sim_Rocky Flats_12,37.361595,o3_sim_Rocky Flats_12,39.9127023,-105.188587,9.67e-05
o3_sim_Boulder_12,24.219774,o3_sim_Boulder_12,40.0699449,-105.220238,7.11e-05
o3_sim_Chatfield Reservoir_12,27.384872,o3_sim_Chatfield Reservoir_12,39.5344725,-105.070358,1.55e-05
o3_sim_Sunnyside_12,18.404772,o3_sim_Sunnyside_12,39.779391600000004,-105.00518,9.84e-05
o3_sim_East Plains_12,31.6789,o3_sim_East Plains_12,39.6384397,-104.569335,8.23e-05
o3_sim_South Table_12,35.85151,o3_sim_South Table_12,39.7437095,-105.177989,1.45e-05
o3_sim_Idaho Springs_12,41.757122,o3_sim_Idaho Springs_12,39.792481699999996,-105.49127,3.73e-05
o3_sim_Five Points_12,21.945745,o3_sim_Five Points_12,39.751152000000005,-104.987625,3.2e-05
o3_sim_Welby_12,14.695877,o3_sim_Welby_12,39.8380778,-104.94984,4.12e-05
o3_sim_Highlands Ranch_12,34.26573,o3_sim_Highlands Ranch_12,39.567836,-104.957193,5.1e-05
o3_sim_Rocky Flats_12,37.361595,o3_sim_Rocky Flats_12,39.9127304,-105.188587,6.86e-05
o3_sim_Boulder_12,24.219774,o3_sim_Boulder_12,40.069921900000004,-105.220238,9.41e-05
o3_sim_Chatfield Reservoir_12,27.384872,o3_sim_Chatfield Reservoir_12,39.5344009,-105.070358,8.71e-05
o3_sim_Sunnyside_12,18.404772,o3_sim_Sunnyside_12,39.779434800000004,-105.00518,5.52e-05
o3_sim_East Plains_12,31.6789,o3_sim_East Plains_12,39.638422500000004,-104.569335,9.95e-05
