,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,site_name,lat,lon
36,2023-05-04 03:00:00+00:00,0.044074595,0.045,0.04102043,0.036522686,0.042597562,0.039315496,0.03653991,Five Points,39.751184,-104.987625
37,2023-05-04 04:00:00+00:00,0.039180294,0.044,0.04156056,0.03448557,0.035237122,0.037255254,0.03480174,Five Points,39.751184,-104.987625
38,2023-05-04 05:00:00+00:00,0.039645974,0.048,0.03931828,0.033371545,0.028033068,0.036694467,0.033353902,Five Points,39.751184,-104.987625
39,2023-05-04 06:00:00+00:00,0.044386234,0.051,0.040942475,0.033361625,0.026151855,0.037282217,0.030981982,Five Points,39.751184,-104.987625
40,2023-05-04 07:00:00+00:00,0.047719363,0.053,0.04390836,0.034517627,0.034094717,0.036815397,0.028198343,Five Points,39.751184,-104.987625
41,2023-05-04 08:00:00+00:00,0.05005497,0.048,0.04548434,0.036382284,0.03960416,0.036406826,0.026887644,Five Points,39.751184,-104.987625
42,2023-05-04 09:00:00+00:00,0.04420777,0.031000000000000003,0.04628309,0.037667677,0.040724024,0.035768762,0.027968952,Five Points,39.751184,-104.987625
43,2023-05-04 10:00:00+00:00,0.028076965,0.036,0.04076435,0.03675855,0.0383367,0.033955384,0.029467138,Five Points,39.751184,-104.987625
44,2023-05-04 11:00:00+00:00,0.03259187,0.035,0.027145661,0.03391815,0.033956688,0.029955097,0.031537514,Five Points,39.751184,-104.987625
45,2023-05-04 12:00:00+00:00,0.030541517,0.022,0.028094696,0.02933644,0.02991422,0.025734477,0.029797653,Five Points,39.751184,-104.987625
46,2023-05-04 13:00:00+00:00,0.020525107,0.021,0.02826954,0.026610807,0.029340606,0.023477037,0.02726286,Five Points,39.751184,-104.987625
47,2023-05-04 14:00:00+00:00,0.023561511,0.019,0.027636586,0.031269025,0.03294679,0.025949763,0.02837704,Five Points,39.751184,-104.987625
48,2023-05-04 15:00:00+00:00,0.023430748,0.031000000000000003,0.03325436,0.038210567,0.036999706,0.033123665,0.03216174,Five Points,39.751184,-104.987625
49,2023-05-04 16:00:00+00:00,0.03335861,0.031000000000000003,0.03440204,0.044335473,0.038869094,0.04073132,0.04070413,Five Points,39.751184,-104.987625
50,2023-05-04 17:00:00+00:00,0.0334051,0.044,0.040643636,0.047889482,0.04020026,0.04532738,0.048464444,Five Points,39.751184,-104.987625
51,2023-05-04 18:00:00+00:00,0.045193095,0.053,0.039521657,0.047402617,0.037412245,0.046973158,0.05303468,Five Points,39.751184,-104.987625
52,2023-05-04 19:00:00+00:00,0.052211985,0.052,0.048826776,0.045994185,0.034869157,0.04742982,0.055846926,Five Points,39.751184,-104.987625
53,2023-05-04 20:00:00+00:00,0.050004486,0.05800000000000001,0.052290387,0.04416634,0.038895566,0.047829453,0.057075612,Five Points,39.751184,-104.987625
54,2023-05-04 21:00:00+00:00,0.05492156,0.054,0.04858313,0.04553882,0.04444218,0.049211744,0.056735627,Five Points,39.751184,-104.987625
