,o3,site,latitude,longitude,randoms
o3_sim_Evergreen_12,58.276245,o3_sim_Evergreen_12,39.620320899999996,-105.33872,8.71e-05
o3_sim_Idaho Springs_12,52.5354,o3_sim_Idaho Springs_12,39.7925123,-105.49127,6.7e-06
o3_sim_Five Points_12,52.46273,o3_sim_Five Points_12,39.751151,-104.987625,3.3e-05
o3_sim_Welby_12,55.222458,o3_sim_Welby_12,39.8380462,-104.94984,7.28e-05
o3_sim_Highlands Ranch_12,60.063454,o3_sim_Highlands Ranch_12,39.5678461,-104.957193,4.09e-05
o3_sim_Rocky Flats_12,61.106915,o3_sim_Rocky Flats_12,39.9127157,-105.188587,8.33e-05
o3_sim_Boulder_12,55.29204,o3_sim_Boulder_12,40.0699999,-105.220238,1.61e-05
o3_sim_Chatfield Reservoir_12,60.604916,o3_sim_Chatfield Reservoir_12,39.5344077,-105.070358,8.03e-05
o3_sim_Sunnyside_12,56.8359,o3_sim_Sunnyside_12,39.7794235,-105.00518,6.65e-05
o3_sim_East Plains_12,68.62578,o3_sim_East Plains_12,39.6385172,-104.569335,4.8e-06
o3_sim_Evergreen_12,58.276245,o3_sim_Evergreen_12,39.6203735,-105.33872,3.45e-05
o3_sim_Idaho Springs_12,52.5354,o3_sim_Idaho Springs_12,39.7924266,-105.49127,9.24e-05
o3_sim_Five Points_12,52.46273,o3_sim_Five Points_12,39.751182400000005,-104.987625,1.6e-06
o3_sim_Welby_12,55.222458,o3_sim_Welby_12,39.8380214,-104.94984,9.76e-05
o3_sim_Highlands Ranch_12,60.063454,o3_sim_Highlands Ranch_12,39.567811999999996,-104.957193,7.5e-05
o3_sim_Rocky Flats_12,61.106915,o3_sim_Rocky Flats_12,39.9127857,-105.188587,1.33e-05
o3_sim_Boulder_12,55.29204,o3_sim_Boulder_12,40.0699856,-105.220238,3.04e-05
o3_sim_Chatfield Reservoir_12,60.604916,o3_sim_Chatfield Reservoir_12,39.534420100000006,-105.070358,6.79e-05
o3_sim_Sunnyside_12,56.8359,o3_sim_Sunnyside_12,39.77947,-105.00518,2e-05
o3_sim_East Plains_12,68.62578,o3_sim_East Plains_12,39.6384879,-104.569335,3.41e-05
o3_sim_140,46.536797,o3_sim_140,40.2452011,-105.7200012,3.36e-05
o3_sim_1,56.256172,o3_sim_1,39.3174019,-104.3799973,3.93e-05
o3_sim_2,57.573647,o3_sim_2,39.3174019,-104.4830017,1.43e-05
o3_sim_3,55.052223,o3_sim_3,39.3174019,-104.5859985,6.75e-05
o3_sim_4,52.727974,o3_sim_4,39.3174019,-104.6900024,2.27e-05
o3_sim_5,52.273083,o3_sim_5,39.3174019,-104.7929993,4.76e-05
o3_sim_6,54.062675,o3_sim_6,39.3174019,-104.8960037,6.77e-05
o3_sim_7,49.562195,o3_sim_7,39.3174019,-104.9990005,7.29e-05
o3_sim_8,51.30845,o3_sim_8,39.3174019,-105.1019974,9.12e-05
o3_sim_9,46.95052,o3_sim_9,39.3174019,-105.2050018,5.66e-05
o3_sim_10,50.40585,o3_sim_10,39.3174019,-105.3079987,3.2e-06
o3_sim_11,47.185413,o3_sim_11,39.3174019,-105.4110031,6.99e-05
o3_sim_12,48.04754,o3_sim_12,39.3174019,-105.5139999,7.94e-05
o3_sim_13,46.418365,o3_sim_13,39.3174019,-105.6169968,8.41e-05
o3_sim_14,50.372997,o3_sim_14,39.3174019,-105.7200012,8.15e-05
o3_sim_15,60.58091,o3_sim_15,39.4205017,-104.3799973,7.12e-05
o3_sim_16,57.76439,o3_sim_16,39.4205017,-104.4830017,1.65e-05
o3_sim_17,56.25316,o3_sim_17,39.4205017,-104.5859985,4.53e-05
o3_sim_18,53.15575,o3_sim_18,39.4205017,-104.6900024,2.29e-05
o3_sim_19,56.09864,o3_sim_19,39.4205017,-104.7929993,2.84e-05
o3_sim_20,53.581223,o3_sim_20,39.4205017,-104.8960037,9.05e-05
o3_sim_21,56.566475,o3_sim_21,39.4205017,-104.9990005,7.15e-05
o3_sim_22,45.386913,o3_sim_22,39.4205017,-105.1019974,5.3e-06
o3_sim_23,53.643387,o3_sim_23,39.4205017,-105.2050018,2.2e-06
o3_sim_24,52.316418,o3_sim_24,39.4205017,-105.3079987,6.81e-05
o3_sim_25,53.360344,o3_sim_25,39.4205017,-105.4110031,2.14e-05
o3_sim_26,48.75693,o3_sim_26,39.4205017,-105.5139999,4.74e-05
o3_sim_27,43.790054,o3_sim_27,39.4205017,-105.6169968,5.54e-05
o3_sim_28,40.62428,o3_sim_28,39.4205017,-105.7200012,5e-07
o3_sim_29,59.13913,o3_sim_29,39.5236015,-104.3799973,5.67e-05
o3_sim_30,58.260258,o3_sim_30,39.5236015,-104.4830017,5.59e-05
o3_sim_31,58.67864,o3_sim_31,39.5236015,-104.5859985,3.08e-05
o3_sim_32,57.2022,o3_sim_32,39.5236015,-104.6900024,8.68e-05
o3_sim_33,53.114166,o3_sim_33,39.5236015,-104.7929993,8.59e-05
o3_sim_34,55.340736,o3_sim_34,39.5236015,-104.8960037,4.64e-05
