,date,preds_0_South Table,actual,preds_1_South Table,preds_2_South Table,preds_3_South Table,preds_4_South Table,preds_5_South Table,preds_6_South Table,preds_7_South Table,preds_8_South Table,preds_9_South Table,preds_10_South Table,preds_11_South Table,preds_12_South Table,preds_13_South Table,preds_14_South Table,preds_15_South Table,preds_16_South Table,preds_17_South Table,preds_18_South Table,preds_19_South Table,preds_20_South Table,preds_21_South Table,preds_22_South Table,preds_23_South Table,site_name,lat,lon
14,2023-05-03 13:00:00+00:00,0.041073013,0.04,0.038911577,0.035588965,0.032957125,0.031499624,0.027250476,0.028868923,0.027669389,0.02670303,0.026199222,0.025371857,0.024526559,0.024015537,0.023879938,0.02366782,0.023603579,0.023595024,0.023382284,0.0233728,0.023372091,0.02337685,0.023387555,0.023385609,0.023382338,South Table,39.743724,-105.177989
15,2023-05-03 14:00:00+00:00,0.03852827,0.033,0.03949553,0.037895177,0.03550279,0.03351951,0.032393612,0.029120816,0.030363236,0.02944311,0.02870884,0.028326841,0.027700657,0.027063718,0.026680108,0.02657583,0.026409408,0.026363853,0.02635805,0.026245104,0.026284212,0.026282785,0.026287775,0.026294684,0.026295245,South Table,39.743724,-105.177989
16,2023-05-03 15:00:00+00:00,0.03397345,0.04,0.03914547,0.039857775,0.038720217,0.036950372,0.03545434,0.03461324,0.03219812,0.03309918,0.03242876,0.031898357,0.031619422,0.031155754,0.030676879,0.030382445,0.030298017,0.030155238,0.030116254,0.030111063,0.029995393,0.029994838,0.029994937,0.029993162,0.029986195,South Table,39.743724,-105.177989
17,2023-05-03 16:00:00+00:00,0.04270677,0.041,0.03677258,0.04074504,0.04126696,0.04042532,0.039103087,0.03802243,0.037422113,0.035775337,0.036373656,0.035922073,0.035564158,0.03536917,0.035030976,0.034666535,0.03443104,0.034358077,0.034224287,0.034184817,0.03417907,0.034009416,0.033929937,0.03393241,0.03392191,South Table,39.743724,-105.177989
18,2023-05-03 17:00:00+00:00,0.042361367,0.048,0.04414841,0.039432436,0.04244065,0.042820774,0.04221322,0.041320514,0.040620524,0.0402568,0.039356418,0.039656207,0.03941509,0.03922195,0.03910634,0.038886692,0.03863036,0.038451005,0.038389627,0.038266364,0.038226064,0.03821969,0.037988797,0.037825137,0.037829883,South Table,39.743724,-105.177989
19,2023-05-03 18:00:00+00:00,0.049628466,0.054,0.043331236,0.04481652,0.041081723,0.043339346,0.043616038,0.043209996,0.04264144,0.04225676,0.04207884,0.04178364,0.04184845,0.04177227,0.04170682,0.04165333,0.041527428,0.04135833,0.041225385,0.04117445,0.0410625,0.04102172,0.04101483,0.04073137,0.04050139,South Table,39.743724,-105.177989
20,2023-05-03 19:00:00+00:00,0.05403118,0.06,0.048935212,0.043415308,0.044663202,0.041732047,0.043486655,0.043685846,0.043399904,0.043053366,0.0428608,0.04280178,0.042871553,0.04279475,0.04281496,0.042823397,0.04280564,0.042733874,0.042615112,0.042508837,0.042464264,0.04235955,0.04231753,0.04231016,0.04198557,South Table,39.743724,-105.177989
21,2023-05-03 20:00:00+00:00,0.05975061,0.064,0.052720867,0.04830396,0.043510787,0.044544335,0.042134266,0.043509364,0.04366622,0.043463673,0.04323714,0.0431614,0.04316567,0.043430313,0.04328433,0.043351352,0.043394018,0.043392945,0.043346573,0.04325165,0.043158013,0.043116838,0.043016456,0.04297331,0.04296563,South Table,39.743724,-105.177989
22,2023-05-03 21:00:00+00:00,0.061919723,0.066,0.05696705,0.051149208,0.047376093,0.043330505,0.044209827,0.042212557,0.04338282,0.043508522,0.04334454,0.043189924,0.04316566,0.04320048,0.04354461,0.043369785,0.04345552,0.043512315,0.04351856,0.04348425,0.043400895,0.04331294,0.04327322,0.0431747,0.04313085,South Table,39.743724,-105.177989
23,2023-05-03 22:00:00+00:00,0.06250273,0.069,0.05797786,0.05398078,0.04911514,0.0459975,0.042564865,0.043303523,0.04158249,0.042560555,0.04266949,0.04253424,0.04240556,0.04239955,0.042437527,0.042776693,0.04260996,0.042688675,0.04273843,0.042741477,0.042702634,0.042614426,0.04252258,0.04248211,0.04238273,South Table,39.743724,-105.177989
24,2023-05-03 23:00:00+00:00,0.065200984,0.067,0.058032192,0.05452277,0.051330604,0.047422312,0.04485936,0.04203607,0.042657856,0.041231517,0.04206404,0.042155392,0.042035785,0.041921414,0.04190762,0.041933753,0.042201847,0.042070393,0.04212246,0.042148966,0.0421406,0.042084463,0.041979317,0.041877825,0.041835938,South Table,39.743724,-105.177989
25,2023-05-04 00:00:00+00:00,0.061344925,0.066,0.059675567,0.054524474,0.051982667,0.049675412,0.046782237,0.044878904,0.04272306,0.04319563,0.04208134,0.042726,0.042800356,0.042700134,0.0425908,0.042559344,0.042563207,0.04271539,0.04263989,0.042654194,0.04264943,0.04262718,0.042553082,0.042434517,0.0423288,South Table,39.743724,-105.177989
26,2023-05-04 01:00:00+00:00,0.059196215,0.06,0.054850157,0.053690087,0.050035376,0.048158415,0.04641642,0.044221174,0.042718228,0.041005816,0.041392695,0.04046302,0.04102562,0.041094393,0.0409909,0.04085965,0.040790517,0.040765237,0.040797453,0.04077387,0.040752154,0.04071852,0.040682696,0.040588208,0.04044742,South Table,39.743724,-105.177989
27,2023-05-04 02:00:00+00:00,0.05250623,0.056,0.051793464,0.048785876,0.0480138,0.045304965,0.043891314,0.042566862,0.04083339,0.03964453,0.038271736,0.038585015,0.037804056,0.03828911,0.038353343,0.038248587,0.038097676,0.037995692,0.037944138,0.03786616,0.03789023,0.03783738,0.037779287,0.03773249,0.037622154,South Table,39.743724,-105.177989
28,2023-05-04 03:00:00+00:00,0.050233524,0.056,0.04728505,0.046773244,0.044625647,0.04401031,0.04178764,0.040617798,0.03948453,0.037987735,0.03695339,0.035763822,0.036037307,0.035346795,0.035783403,0.03584358,0.03574062,0.035584237,0.03546847,0.03540493,0.03527086,0.03532026,0.035250377,0.035177473,0.035123043,South Table,39.743724,-105.177989
29,2023-05-04 04:00:00+00:00,0.051076695,0.052,0.04626892,0.04412596,0.043750014,0.042007457,0.041487046,0.039613817,0.03860395,0.037615135,0.036302052,0.035399154,0.03436939,0.034605574,0.034004793,0.034387134,0.03444159,0.03434523,0.034193262,0.03407439,0.03400569,0.03383678,0.03390375,0.03382223,0.033738837,South Table,39.743724,-105.177989
30,2023-05-04 05:00:00+00:00,0.047725752,0.054,0.04694523,0.04328962,0.041655384,0.04134645,0.039868277,0.039426662,0.037817344,0.0369436,0.036079008,0.034931753,0.034148145,0.03326259,0.033465292,0.0329462,0.033279236,0.03332824,0.033238646,0.033093,0.03297395,0.03290221,0.032705,0.032787625,0.032695055,South Table,39.743724,-105.177989
31,2023-05-04 06:00:00+00:00,0.049925357,0.053000000000000005,0.044664826,0.04407227,0.041256282,0.039929748,0.039672032,0.03842828,0.03805325,0.036679704,0.035932783,0.03518823,0.034203526,0.033535644,0.032786045,0.03295733,0.032515626,0.032800805,0.03284392,0.03276301,0.03262845,0.03251438,0.032442767,0.032226067,0.03232115,South Table,39.743724,-105.177989
32,2023-05-04 07:00:00+00:00,0.049257603,0.045,0.046642553,0.042527765,0.0420615,0.039728526,0.038606133,0.03838706,0.037315913,0.036989667,0.03578808,0.035133284,0.03447414,0.03360131,0.033009283,0.032344345,0.032496497,0.03210281,0.03235755,0.032396343,0.03232273,0.032198288,0.032089114,0.032018,0.031790577,South Table,39.743724,-105.177989
33,2023-05-04 08:00:00+00:00,0.04268599,0.04900000000000001,0.04626309,0.044150855,0.040834803,0.04044134,0.03842965,0.037458442,0.037266634,0.036314674,0.036021538,0.034932926,0.034336835,0.033728797,0.03291888,0.03236607,0.031741463,0.03188477,0.031514112,0.031753965,0.03179018,0.03172091,0.031600367,0.0314911,0.03142044,South Table,39.743724,-105.177989
34,2023-05-04 09:00:00+00:00,0.04636589,0.04700000000000001,0.040944144,0.043800384,0.04209299,0.039308324,0.03897162,0.037242733,0.036398016,0.036228847,0.03537479,0.035108235,0.034100804,0.0335423,0.032963235,0.03218532,0.031649854,0.03104238,0.0311819,0.030823404,0.031055594,0.031090263,0.031021958,0.030898837,0.030791918,South Table,39.743724,-105.177989
35,2023-05-04 10:00:00+00:00,0.044067066,0.044,0.04349607,0.03905696,0.04139474,0.0399245,0.0374854,0.037189517,0.035651043,0.034889765,0.034734786,0.033938847,0.03368706,0.03271152,0.032163672,0.03158938,0.030817276,0.030286765,0.029690241,0.029826421,0.0294802,0.029706068,0.029740388,0.029670388,0.029549472,South Table,39.743724,-105.177989
36,2023-05-04 11:00:00+00:00,0.040752616,0.045,0.040812995,0.04034259,0.036716457,0.03872089,0.03742658,0.035276856,0.035013605,0.033629883,0.032936726,0.0327934,0.03204545,0.031806424,0.030866135,0.030342149,0.029794946,0.0290742,0.028591609,0.028066399,0.02818426,0.02788701,0.02808489,0.028116385,0.028052174,South Table,39.743724,-105.177989
37,2023-05-04 12:00:00+00:00,0.04114634,0.041,0.03733228,0.03738173,0.03699807,0.03388282,0.035647873,0.03449946,0.032580327,0.03234419,0.031091914,0.030460227,0.030327624,0.029625297,0.029399652,0.028524766,0.028061394,0.027590938,0.027006067,0.026640829,0.026272718,0.026352454,0.026148621,0.026290255,0.026316075,South Table,39.743724,-105.177989
38,2023-05-04 13:00:00+00:00,0.038212307,0.033,0.03834033,0.035355695,0.03539376,0.035081774,0.03247958,0.033957202,0.03298532,0.031358108,0.031157339,0.03008577,0.029541928,0.029425474,0.028796349,0.028593136,0.027850986,0.027502531,0.027171783,0.02680879,0.026615394,0.026451908,0.026486205,0.026381304,0.026481453,South Table,39.743724,-105.177989
39,2023-05-04 14:00:00+00:00,0.03290134,0.05,0.037292395,0.037385713,0.03523413,0.035263054,0.035018828,0.032975867,0.034144487,0.03336665,0.03205807,0.031895585,0.031015454,0.030561654,0.030461164,0.029901605,0.02971768,0.029093767,0.02884199,0.028624516,0.028422639,0.028338702,0.028282417,0.028297657,0.028208278,South Table,39.743724,-105.177989
40,2023-05-04 15:00:00+00:00,0.048626307,0.05,0.03477235,0.037808035,0.0378738,0.036278877,0.036300886,0.036114816,0.034554455,0.035449922,0.03484339,0.033814874,0.03368515,0.032964006,0.032581467,0.032493178,0.031984456,0.03181245,0.031247083,0.03103377,0.030854823,0.03069079,0.030615723,0.030543298,0.030569708,South Table,39.743724,-105.177989
41,2023-05-04 16:00:00+00:00,0.04749654,0.052,0.046228386,0.036283813,0.03842561,0.03847511,0.037245266,0.03726215,0.03711875,0.03592024,0.036614016,0.03613332,0.035306334,0.03519963,0.03458693,0.034251355,0.03417101,0.033695422,0.033530224,0.032982,0.03276626,0.03257647,0.032374706,0.032256365,0.03211292,South Table,39.743724,-105.177989
42,2023-05-04 17:00:00+00:00,0.04977593,0.052,0.045913108,0.044975553,0.037665125,0.039283283,0.039321568,0.03838318,0.038396016,0.038287394,0.03738087,0.03791123,0.03753077,0.03686338,0.03677472,0.036246978,0.035948683,0.035875104,0.035430957,0.03527335,0.034733817,0.03450305,0.034284394,0.034020297,0.03384351,South Table,39.743724,-105.177989
43,2023-05-04 18:00:00+00:00,0.05004684,0.058,0.04802201,0.045254685,0.044593498,0.039196983,0.04041282,0.040441036,0.03975199,0.039761283,0.039681885,0.039019194,0.039415896,0.039117932,0.038582325,0.03850898,0.038057737,0.03779625,0.03773039,0.037328146,0.037183248,0.03667182,0.036435287,0.0361993,0.035894454,South Table,39.743724,-105.177989
44,2023-05-04 19:00:00+00:00,0.055306185,0.06,0.04826932,0.046770286,0.04474285,0.04425142,0.040120125,0.04101798,0.04103845,0.04055727,0.04056364,0.04050885,0.040050127,0.040335245,0.040104274,0.039675888,0.039615016,0.039226573,0.038996182,0.038937144,0.038573693,0.038441308,0.037958078,0.037716188,0.037465077,South Table,39.743724,-105.177989
45,2023-05-04 20:00:00+00:00,0.05593508,0.06299999999999999,0.051750235,0.046495333,0.045392096,0.04386514,0.043485478,0.04035724,0.04102877,0.041043527,0.04070517,0.040709525,0.040671084,0.040347178,0.040559433,0.04037265,0.04001629,0.039964166,0.03962282,0.039417677,0.03936464,0.039037187,0.038917094,0.038466662,0.0382281,South Table,39.743724,-105.177989
46,2023-05-04 21:00:00+00:00,0.05954979,0.058,0.051714092,0.04828242,0.044157337,0.043280765,0.042054776,0.04175581,0.03931294,0.039801594,0.039812237,0.03957474,0.039577805,0.03954892,0.039298013,0.039473306,0.039307024,0.03898425,0.038936358,0.03861949,0.038428754,0.03837943,0.0380752,0.037963357,0.037534524,South Table,39.743724,-105.177989
47,2023-05-04 22:00:00+00:00,0.051968224,0.053000000000000005,0.05368951,0.04728877,0.044450577,0.04120595,0.040502973,0.039570663,0.03934386,0.03769769,0.037974514,0.037980083,0.03786415,0.037865646,0.03784798,0.037681896,0.037814606,0.037673786,0.037395343,0.03735357,0.037075896,0.036909606,0.03686692,0.036605783,0.0365109,South Table,39.743724,-105.177989
48,2023-05-04 23:00:00+00:00,0.048714556,0.053000000000000005,0.0478115,0.049182385,0.044037882,0.041765846,0.03905877,0.038481615,0.03770306,0.037518736,0.036274306,0.036435276,0.036438275,0.036385246,0.036385942,0.03637429,0.03625454,0.03636168,0.03623837,0.035991415,0.03595406,0.035704352,0.03555474,0.035516772,0.03528948,South Table,39.743724,-105.177989
49,2023-05-05 00:00:00+00:00,0.049637664,0.053000000000000005,0.04576586,0.045086596,0.04611689,0.042165726,0.040385585,0.038234077,0.03775997,0.03712328,0.03696964,0.03598675,0.036094934,0.03609695,0.03606088,0.036061417,0.03605081,0.035936806,0.036039278,0.035922978,0.035690926,0.035656117,0.035425954,0.035289276,0.035255093,South Table,39.743724,-105.177989
50,2023-05-05 01:00:00+00:00,0.049302608,0.05,0.045966513,0.042901095,0.042360093,0.04318006,0.040074132,0.038675234,0.036892448,0.036497764,0.03595573,0.035822194,0.034961183,0.03505546,0.035057575,0.035008807,0.035009623,0.034996506,0.034858167,0.03497234,0.034853224,0.03461836,0.034583755,0.034360666,0.034231115,South Table,39.743724,-105.177989
51,2023-05-05 02:00:00+00:00,0.04432159,0.046,0.04363407,0.040974703,0.03871554,0.038302425,0.038944844,0.03654801,0.035431955,0.033964347,0.033632442,0.033170138,0.033051282,0.032265972,0.032363247,0.03236583,0.03229561,0.032296803,0.032280687,0.032115664,0.0322418,0.03212055,0.031883996,0.03184983,0.031636667,South Table,39.743724,-105.177989
52,2023-05-05 03:00:00+00:00,0.041301575,0.043,0.03970842,0.039143518,0.037087835,0.03533037,0.035002016,0.0355128,0.033591125,0.032688454,0.031455714,0.031175517,0.030778525,0.030673413,0.029957494,0.03005512,0.030057961,0.029975336,0.029976742,0.02995924,0.029782483,0.029912034,0.029793752,0.029564627,0.02953215,South Table,39.743724,-105.177989
53,2023-05-05 04:00:00+00:00,0.039407067,0.046,0.037867054,0.036555447,0.036103874,0.03440186,0.032931104,0.03265806,0.03309012,0.03147355,0.03070519,0.029633787,0.029389614,0.029040994,0.028946625,0.02829179,0.02838672,0.028389614,0.028302416,0.028303903,0.028286118,0.028106794,0.02823564,0.028121797,0.027903184,South Table,39.743724,-105.177989
54,2023-05-05 05:00:00+00:00,0.04241961,0.048,0.036485154,0.035241034,0.034187086,0.033810493,0.032360815,0.031106934,0.03087282,0.031245228,0.029856658,0.029192535,0.028248139,0.028033374,0.027725171,0.027640529,0.02704589,0.027135354,0.02713817,0.027051196,0.027052684,0.027035208,0.026857654,0.026983928,0.026875744,South Table,39.743724,-105.177989
55,2023-05-05 06:00:00+00:00,0.04420965,0.041,0.03905362,0.034139607,0.03313105,0.032253537,0.03193327,0.03069434,0.029614123,0.029412676,0.029736118,0.02853362,0.027951939,0.027111912,0.026921043,0.026646309,0.026570218,0.026030207,0.026114866,0.026117576,0.026032584,0.026034055,0.026016973,0.025841963,0.025964128,South Table,39.743724,-105.177989
56,2023-05-05 07:00:00+00:00,0.03785168,0.041,0.040833786,0.036539394,0.03255275,0.031717535,0.030980973,0.030710764,0.029657098,0.028728895,0.028555078,0.02883755,0.027782552,0.027266731,0.026517248,0.026347306,0.026102206,0.02603433,0.025546618,0.02562773,0.025630334,0.025547838,0.02554929,0.02553272,0.025365792,South Table,39.743724,-105.177989
57,2023-05-05 08:00:00+00:00,0.037959047,0.042,0.03497569,0.03757099,0.03392933,0.030488988,0.029762877,0.029120622,0.02888357,0.027950196,0.02711626,0.026959212,0.027219027,0.026238723,0.025757816,0.025064873,0.024908505,0.024682835,0.024620578,0.024163516,0.024246875,0.024249552,0.024163662,0.024165176,0.024148906,South Table,39.743724,-105.177989
58,2023-05-05 09:00:00+00:00,0.038817555,0.038,0.034996502,0.0324324,0.034629412,0.03145152,0.028440237,0.027806712,0.027243767,0.02703501,0.026206957,0.025458857,0.025317676,0.025554573,0.024661016,0.02422749,0.023614282,0.02347774,0.023280872,0.02322641,0.022809979,0.022896072,0.022898877,0.02280825,0.022809776,South Table,39.743724,-105.177989
59,2023-05-05 10:00:00+00:00,0.034570917,0.031000000000000003,0.035332743,0.032085836,0.02997275,0.03185725,0.029087422,0.026475696,0.025925182,0.025433451,0.025250608,0.024522306,0.023860283,0.023736132,0.023945937,0.023167554,0.02279894,0.022290062,0.022179473,0.02202033,0.021975575,0.021609515,0.021697419,0.02170032,0.021608489,South Table,39.743724,-105.177989
60,2023-05-05 11:00:00+00:00,0.028335916,0.028000000000000004,0.03150141,0.032126736,0.029507175,0.027743476,0.029352024,0.026975995,0.024739549,0.02426847,0.023846287,0.023689536,0.023065507,0.022499647,0.022395955,0.02256995,0.021955667,0.021676842,0.021302084,0.021224486,0.021112705,0.021079626,0.020773025,0.020860834,0.020863766,South Table,39.743724,-105.177989
61,2023-05-05 12:00:00+00:00,0.026316857,0.025000000000000005,0.0266129,0.029088382,0.029578557,0.027424665,0.025945388,0.027299693,0.025293684,0.0234181,0.023025552,0.022674048,0.022544375,0.022031013,0.021571524,0.02149171,0.021621352,0.021215122,0.021044685,0.020821612,0.020780677,0.020720638,0.020700153,0.02045442,0.02054365,South Table,39.743724,-105.177989
62,2023-05-05 13:00:00+00:00,0.02460031,0.031999999999999994,0.025708986,0.02592927,0.027798057,0.028191444,0.02641869,0.02520348,0.026314795,0.024673311,0.023161909,0.022850525,0.02257301,0.022471698,0.02207367,0.021725807,0.021671267,0.021752719,0.021567075,0.021504063,0.021421378,0.021413287,0.021398602,0.021388609,0.021170214,South Table,39.743724,-105.177989
63,2023-05-05 14:00:00+00:00,0.03224742,0.037,0.026016314,0.02680935,0.026967194,0.028395604,0.028705599,0.0273116,0.026366904,0.027226375,0.02596267,0.024826286,0.024596786,0.024392694,0.024318604,0.024026671,0.023776783,0.02374332,0.023785165,0.02376671,0.023777137,0.023784017,0.0237956,0.023805924,0.02379862,South Table,39.743724,-105.177989
64,2023-05-05 15:00:00+00:00,0.038079526,0.048,0.033474185,0.028934235,0.029490715,0.029606737,0.030685015,0.030917233,0.02988522,0.02920348,0.029822383,0.028913494,0.028114619,0.027955499,0.027811812,0.0277588,0.02754229,0.027354639,0.027332788,0.027354537,0.027401607,0.027431868,0.027456224,0.027468888,0.027470324,South Table,39.743724,-105.177989
65,2023-05-05 16:00:00+00:00,0.050004367,0.056,0.03970515,0.036057927,0.032672636,0.033090185,0.033177573,0.033958886,0.034123704,0.033415236,0.032964576,0.0333741,0.032762818,0.032234546,0.032128345,0.032027278,0.03198773,0.031812046,0.03164938,0.031630073,0.03165004,0.031674437,0.031683106,0.031673674,0.03167292,South Table,39.743724,-105.177989
66,2023-05-05 17:00:00+00:00,0.056821913,0.058,0.050148744,0.041741036,0.038983446,0.03651621,0.036813427,0.036869727,0.03734106,0.037433546,0.03705923,0.03684759,0.03704667,0.036729652,0.03646024,0.036402803,0.036339123,0.03631045,0.036162633,0.036008835,0.03598702,0.03601688,0.03595681,0.035917263,0.03584268,South Table,39.743724,-105.177989
67,2023-05-05 18:00:00+00:00,0.056707367,0.06,0.055355884,0.04989766,0.043432258,0.04147082,0.03976635,0.039941147,0.03996953,0.040148832,0.040178157,0.040100005,0.040094256,0.04011141,0.04004618,0.04000011,0.03998479,0.039954048,0.039935213,0.039814986,0.039672274,0.03964805,0.0396881,0.039540466,0.039456643,South Table,39.743724,-105.177989
68,2023-05-05 19:00:00+00:00,0.058061995,0.06299999999999999,0.05423626,0.053131603,0.048849605,0.04414934,0.042746805,0.041693497,0.041783813,0.04179084,0.041773915,0.041759674,0.041873787,0.04200147,0.041904055,0.04199735,0.04208913,0.042099506,0.042088807,0.042075917,0.04197273,0.04183589,0.04180893,0.041858695,0.04163499,South Table,39.743724,-105.177989
69,2023-05-05 20:00:00+00:00,0.06067428,0.064,0.055133276,0.051969953,0.05107227,0.047804486,0.044181608,0.04317933,0.04246716,0.042503268,0.042499788,0.042378653,0.04234426,0.042546872,0.04272948,0.04258559,0.042740382,0.04288224,0.042901173,0.042896952,0.042885814,0.04278754,0.0426505,0.042621057,0.042678516,South Table,39.743724,-105.177989
70,2023-05-05 21:00:00+00:00,0.060123455,0.06299999999999999,0.056987364,0.052754447,0.0503711,0.04972018,0.04731741,0.04472488,0.043994173,0.043549746,0.043563478,0.043555915,0.04341655,0.043379746,0.0435809,0.043755118,0.04361932,0.043765787,0.04389682,0.043914028,0.043910284,0.04390016,0.043810964,0.043685436,0.043657575,South Table,39.743724,-105.177989
71,2023-05-05 22:00:00+00:00,0.059038896,0.062,0.056234907,0.053848967,0.050665375,0.048799463,0.048286654,0.04638702,0.04426472,0.043690436,0.043341067,0.043344036,0.043335944,0.043198943,0.043165058,0.04334739,0.04350424,0.043383542,0.043510243,0.043624815,0.043639384,0.04363464,0.043624587,0.043537457,0.0434131,South Table,39.743724,-105.177989
72,2023-05-05 23:00:00+00:00,0.05730866,0.06299999999999999,0.054330707,0.052190706,0.050361447,0.047848947,0.04632418,0.045905422,0.044308465,0.042544715,0.042057667,0.041780196,0.041781656,0.041774474,0.041661218,0.041634627,0.041774016,0.0418954,0.041807987,0.04188703,0.041956447,0.041962154,0.04195095,0.041939184,0.041847754,South Table,39.743724,-105.177989
