,date,preds_0_Evergreen,actual,preds_1_Evergreen,preds_2_Evergreen,preds_3_Evergreen,preds_4_Evergreen,preds_5_Evergreen,preds_6_Evergreen,preds_7_Evergreen,preds_8_Evergreen,preds_9_Evergreen,preds_10_Evergreen,preds_11_Evergreen,preds_12_Evergreen,preds_13_Evergreen,preds_14_Evergreen,preds_15_Evergreen,preds_16_Evergreen,preds_17_Evergreen,preds_18_Evergreen,preds_19_Evergreen,preds_20_Evergreen,preds_21_Evergreen,preds_22_Evergreen,preds_23_Evergreen,site_name,lat,lon
0,2023-06-03 06:00:00+00:00,0.021531006,0.023,0.019113341,0.020494368,0.02021716,0.022717793,0.021054232,0.023220137,0.022201095,0.021865591,0.02100454,0.020687688,0.02100488,0.020690998,0.020230817,0.020239543,0.020186327,0.020142116,0.020128338,0.02013106,0.020125948,0.020215984,0.02045693,0.020765606,0.020141756,Evergreen,39.620408,-105.33872
1,2023-06-03 07:00:00+00:00,0.021281283,0.02,0.02004817,0.01809228,0.019310359,0.019066216,0.021158738,0.019800644,0.021542344,0.020735966,0.020478293,0.019821007,0.019590825,0.01981972,0.019594286,0.019277321,0.01928288,0.019251803,0.019230012,0.019214,0.019217182,0.019211458,0.019311037,0.01957688,0.019920703,Evergreen,39.620408,-105.33872
2,2023-06-03 08:00:00+00:00,0.019131955,0.021,0.020196814,0.019197987,0.017462872,0.018534604,0.018331103,0.020018473,0.018938594,0.020308124,0.019681657,0.019488327,0.019000908,0.018842617,0.01899811,0.018846592,0.018648345,0.018651286,0.018638771,0.018634742,0.018617218,0.018620618,0.01861449,0.018723512,0.019022869,Evergreen,39.620408,-105.33872
3,2023-06-03 09:00:00+00:00,0.019921523,0.016,0.018363878,0.019231638,0.018334888,0.016785042,0.017692493,0.017526155,0.018877188,0.018019725,0.019093337,0.018608488,0.018465953,0.01811481,0.01801425,0.018110184,0.018018937,0.01791622,0.017917072,0.0179196,0.017926097,0.017906552,0.017910155,0.01790337,0.018028306,Evergreen,39.620408,-105.33872
4,2023-06-03 10:00:00+00:00,0.01559993,0.015,0.018841919,0.017546605,0.018331934,0.017516192,0.016168995,0.016932974,0.016795583,0.017903315,0.017198365,0.01807613,0.017680692,0.017566783,0.017283285,0.017205521,0.017278943,0.017209245,0.017123826,0.01712474,0.017123777,0.017114379,0.017085955,0.017089924,0.017083209,Evergreen,39.620408,-105.33872
5,2023-06-03 11:00:00+00:00,0.014360042,0.013000000000000001,0.014846251,0.017515799,0.016366344,0.017082192,0.016363986,0.015200566,0.015857106,0.015737109,0.016736088,0.01607583,0.016926236,0.016523173,0.016396858,0.016068054,0.015964303,0.016066378,0.015966732,0.015820334,0.015823012,0.015806198,0.015775995,0.015737897,0.015741799,Evergreen,39.620408,-105.33872
6,2023-06-03 12:00:00+00:00,0.012442453,0.013000000000000001,0.013534402,0.013918523,0.01616293,0.015146079,0.01576654,0.015155431,0.0141758,0.014731247,0.014627454,0.015519278,0.014915272,0.015698552,0.015327119,0.015217009,0.014955588,0.014894347,0.014947031,0.014901744,0.014868294,0.014867836,0.014875199,0.014853771,0.014801683,Evergreen,39.620408,-105.33872
7,2023-06-03 13:00:00+00:00,0.015723849,0.015,0.015277795,0.016084451,0.01638469,0.018244753,0.01741262,0.017912082,0.017425392,0.016649975,0.017089503,0.017006518,0.017721273,0.017241178,0.017828938,0.017580975,0.017532889,0.017472943,0.017515931,0.01745671,0.017519051,0.017656539,0.017652584,0.017667606,0.017529055,Evergreen,39.620408,-105.33872
8,2023-06-03 14:00:00+00:00,0.023006935,0.016,0.023598807,0.023297459,0.023858348,0.024077514,0.025384348,0.02481941,0.025150236,0.024833579,0.024334036,0.024617003,0.024562476,0.025036821,0.024714984,0.02508978,0.024945881,0.02493488,0.024958448,0.025026299,0.024956541,0.025003372,0.025047008,0.02504754,0.02498763,Evergreen,39.620408,-105.33872
9,2023-06-03 15:00:00+00:00,0.026221905,0.037,0.03219495,0.032580037,0.03239642,0.032733485,0.03285084,0.033477545,0.033232454,0.03336282,0.033249438,0.033084366,0.03317572,0.03315618,0.033345383,0.033197712,0.033384927,0.03328777,0.033269223,0.033211596,0.033209328,0.03323373,0.033164993,0.032968357,0.032975826,Evergreen,39.620408,-105.33872
