,date,preds_0_Five Points,actual,preds_1_Five Points,preds_2_Five Points,preds_3_Five Points,preds_4_Five Points,preds_5_Five Points,preds_6_Five Points,preds_7_Five Points,preds_8_Five Points,preds_9_Five Points,preds_10_Five Points,preds_11_Five Points,preds_12_Five Points,preds_13_Five Points,preds_14_Five Points,preds_15_Five Points,preds_16_Five Points,preds_17_Five Points,preds_18_Five Points,preds_19_Five Points,preds_20_Five Points,preds_21_Five Points,preds_22_Five Points,preds_23_Five Points,site_name,lat,lon
13,2023-06-03 19:00:00+00:00,0.04807485,0.048,0.044540383,0.044860996,0.040853065,0.04097504,0.041227162,0.03999574,0.040561102,0.039640352,0.03986907,0.04001161,0.039916556,0.039774414,0.0391266,0.039014418,0.0386464,0.038266,0.0376638,0.03828937,0.03763815,0.03798349,0.03731575,0.037284106,0.03675969,Five Points,39.751184,-104.987625
14,2023-06-03 20:00:00+00:00,0.04634401,0.04700000000000001,0.04641803,0.043669768,0.043912422,0.040748414,0.040840555,0.041027695,0.040193956,0.040541016,0.040052656,0.04015018,0.040241778,0.040164437,0.040033747,0.03940924,0.03930096,0.03894868,0.03859194,0.038033787,0.0386094,0.03800464,0.038328532,0.03766207,0.03762961,Five Points,39.751184,-104.987625
15,2023-06-03 21:00:00+00:00,0.044432215,0.048,0.04381984,0.043877013,0.041783918,0.04197564,0.039554354,0.03962335,0.039753985,0.039230242,0.039408647,0.03924667,0.03924884,0.039303236,0.03923943,0.0391204,0.03853569,0.038435206,0.03811181,0.037791148,0.037295382,0.037804283,0.0372628,0.037556004,0.03691861,Five Points,39.751184,-104.987625
16,2023-06-03 22:00:00+00:00,0.045294724,0.054,0.041996803,0.04152781,0.041571982,0.03987306,0.040025435,0.038107205,0.038159225,0.038253468,0.037923988,0.03800229,0.03801496,0.037969235,0.03800833,0.03794953,0.0378355,0.037276343,0.03718198,0.036881883,0.036589663,0.03614247,0.03660156,0.03610714,0.03637757,Five Points,39.751184,-104.987625
17,2023-06-03 23:00:00+00:00,0.050192878,0.054,0.04190243,0.03935054,0.03898209,0.039018493,0.03764226,0.03776636,0.036241744,0.0362817,0.03635141,0.03614402,0.0361728,0.03625429,0.03619902,0.036240604,0.03617876,0.036062382,0.03550554,0.03541388,0.035125215,0.034847435,0.034424502,0.034857817,0.03438782,Five Points,39.751184,-104.987625
18,2023-06-04 00:00:00+00:00,0.04917629,0.04900000000000001,0.045481015,0.03909789,0.03710914,0.036804765,0.03683438,0.035708513,0.03580975,0.034575682,0.03460726,0.03466106,0.034510992,0.034526125,0.03458904,0.034552623,0.034608316,0.034539368,0.03441718,0.03384793,0.03375599,0.03346794,0.033191916,0.03277317,0.033196203,Five Points,39.751184,-104.987625
19,2023-06-04 01:00:00+00:00,0.043752402,0.045,0.043930583,0.041126795,0.03623891,0.03461204,0.03436792,0.03439214,0.033468034,0.033552185,0.032516647,0.03254259,0.03258964,0.032449655,0.03248518,0.03245964,0.032467604,0.03254853,0.0324672,0.03233355,0.031730857,0.03163556,0.031340577,0.031059796,0.030637294,Five Points,39.751184,-104.987625
20,2023-06-04 02:00:00+00:00,0.03952393,0.041,0.03832187,0.03845733,0.036441192,0.032625306,0.03139041,0.031197598,0.031216882,0.030465435,0.030535698,0.029663846,0.029686384,0.029730437,0.02956391,0.029636024,0.029479846,0.02954546,0.029656535,0.02956087,0.029413467,0.028769799,0.028670304,0.028368723,0.028085161,Five Points,39.751184,-104.987625
21,2023-06-04 03:00:00+00:00,0.035845853,0.04,0.034464013,0.033546053,0.03364766,0.032070216,0.029117562,0.028140115,0.027985914,0.028001705,0.027376326,0.027435867,0.026687168,0.026706615,0.026747577,0.026573483,0.026665987,0.026431486,0.02653414,0.026663467,0.026559303,0.026403924,0.025736999,0.025635418,0.02533398,Five Points,39.751184,-104.987625
22,2023-06-04 04:00:00+00:00,0.035674013,0.042,0.031782735,0.030720254,0.030018704,0.030100178,0.028845865,0.026443144,0.02564819,0.02552028,0.025533523,0.025003882,0.025054844,0.024411995,0.02442872,0.024465814,0.024293525,0.024396524,0.024111638,0.024240853,0.02438196,0.024273003,0.024114292,0.023445189,0.023345113,Five Points,39.751184,-104.987625
